,song,time,lyrics
0,Il  Faut Taper,5:18,"Hey, [?]   Ils insèrent le gadjo  Tu bouges pas, là!  Nan, nan, c'est pas moi! (tu bouges pas, j'te dis!)  Je sais, c'est lui (bouge pas!)  Vas au quartier, sur ma vie, tu vas l'trouver, vas-y (relaxe, relaxe)  Oh, qu'est-ce-que tu es fada!    Oui tu es un fou, oui tu es un dji  Oui tu fait des braqu', oui tu baises tes amis  Bien sûr tu as un gun et tu t'en sers  Et ça fait plus voyou de ne pas respecter son père et sa mère  Oui tu fais des arnaques de shit à tour de bras  Oui les femmes c'est des merdes et tu ne les respecte pas  Oui tu es plein d'or, t'as un Dominator  Que toutes les vieilles reconnaissent quand tu sors  Oui t'es du milieu et t'as des tas d'amis trempés  L'été pour t'amuser tu fais le zguegue à Saint-Tropez  Mais un jour poto, j'ai vu que c'était faux  Que c'était du pipeau, et toi un gros puceau  Ce fameux soir où les condés t'ont attrapé  Il fallait qu'ils tapent pour que tu t'arrêtes de parler  Voici ma conclusion accepte-la sans offense  Tu fais le dji mais t'es d'Octobre, le mois de la balance    Il faut taper pour qu'il s'arrête de parler  Il faut taper pour qu'il s'arrête de parler  Si un jour il tombe entre les mains des condés  Il faudra taper pour qu'il s'arrête de parler  Il faut taper pour qu'il s'arrête de parler  Il faut taper pour qu'il s'arrête de parler  Si un jour il tombe entre les mains des condés  Il faudra taper pour qu'il s'arrête de parler    Être craint et respecté, dans le quartier c'était sa fierté  Il aimait qu'on dise de lui ""ouais, c'est un taré!""  Il sortait toujours calibré le soir et la journée  Mais ça a mal tourné lorsque les flics l'ont contrôlé  Toute la nuit au poste, tranquille avec ses potes  Eux voulaient des histoires, lui en avait plein les poches  Un coup de bottin lui a suffit pour craquer  Il a tout envoyé, même les voleurs de VTT  Il a dit ""s'il vous plaît, arrêtez de me donner des coups""  Si vous êtes cool je vous file un scoop""  Il a voulu esquiver la prison en jouant les glace-man  Et s'est balancé comme un Tarzan accroché à sa liane    Il faut taper pour qu'il s'arrête de parler  Il faut taper pour qu'il s'arrête de parler  Si un jour il tombe entre les mains des condés  Il faudra taper pour qu'il s'arrête de parler  Il faut taper pour qu'il s'arrête de parler  Il faut taper pour qu'il s'arrête de parler  Si un jour il tombe entre les mains des condés  Il faudra taper pour qu'il s'arrête de parler    Je t'ai vu faire le Flanagan  Estouffer des gadji dans le square avec des histoires de mythomane  C'est maladroit, tu peux raconter ça mais pas à moi  Tu jubiles quand elle s'écrie ""haa-yaa!""  Tu portes bien ton nom mon médaillon  Tu balances tellement qu'à ton quartier ils t'ont appelé la terraillon  Même les flics en ont marre de ta voix  Tu viens les nifler quand ils jouent aux cartes dans le commissariat, sûr  Tu es comme le minitel, on allume, on tape et tu envoies des noms  Schindler n'était pas de ta famille  Ta liste tu l'envoies quand le compte est bas, toi tu lances gras  Tu fais le chaud au volant de ta 16-Soupapes  T'as changé de statut on ne t'appelle plus petite frappe  Tu cries sur tous les toits que tu ne rigoles pas  Que hier soir les caïds sont venus manger chez toi  T'es un fachomako, un dur, un dangereux gadjo  Pour ça il n'y a qu'a regarder tes tatouages au stabilo  Mais tout le monde le sait ton truc c'est la collaboration  Chaque semaines tu fais des stages, de communication  Au commissariat ils en ont marre de toi  Ils n'ont pas assez d'hommes pour coincer tout ceux que tu envoies  Tout le monde plonge il n'y a que toi qui résiste  Quoi de plus normal que le roi des trapézistes    Il faut taper pour qu'il s'arrête de parler  Il faut taper pour qu'il s'arrête de parler  Si un jour il tombe entre les mains des condés  Il faudra taper pour qu'il s'arrête de parler  Il faut taper pour qu'il s'arrête de parler  Il faut taper pour qu'il s'arrête de parler  Si un jour il tombe entre les mains des condés  Il faudra taper pour qu'il s'arrête de parler  Il faut taper pour qu'il s'arrête de parler  Il faut taper pour qu'il s'arrête de parler  Si un jour il tombe entre les mains des condés  Il faudra taper pour qu'il s'arrête de parler  Il faut taper pour qu'il s'arrête de parler  Il faut taper pour qu'il s'arrête de parler  Si un jour il tombe entre les mains des condés  Il faudra taper pour qu'il s'arrête de parler    On te trouvera, on te bastonnera et on t'embarquera  Qui est-ce, qui est là? Comment t'appelles-tu?  Voilà qui ait parlé  Voilà qui ait parlé  Voilà qui ait parlé  Voilà qui ait parlé  Voilà qui ait parlé  Voilà qui ait parlé  Voilà qui ait parlé  Voilà qui ait parlé"
1,Flawsw/ Mike Petrone,3:46,"Hey hey, lets do it again baby  We gotta do it again  Lets make them go krazy this time  I don't think they ready Chico  Lets hit em one time    Latinas they get krazy (Hey)(Hey)(Let's go)   Blanquitas they get krazy (Hey) (Let's go)   Negritas they get krazy (Hey) (Let's go)   Yo Mama she gets krazy (Everybody)     Latinas they get krazy (Hey)(Hey)(Let's go)   Blanquitas they get krazy (Hey) (Let's go)   Negritas they get krazy (Hey) (Let's go)   Yo Mama she gets krazy (Everybody)     Now Jump up let's get krazy  Now Jump up let's get krazy  Now Jump up let's get krazy    Now Jump up let's get krazy  Now Jump up let's get krazy  Now Jump up let's get krazy  Now Jump up let's get krazy  I said damn that's krazy   Let's get krazy     (eh yo)   Kanye no style  J Lo no ass   Fifty no beef  Jay Z no cash   Diddy no Biggie  Fat Joe no Pun   Lil Jon no crunk  D-M-C no Run   Jeezy no coke  Katt Williams no Joke   M-C Hammer still rich not broke (Yeah)   Just imagine all this baby (Yeah)   It's enough to make you go krazy (krazy)   (woo)     Latinas they get krazy  Blanquitas they get krazy  Negritas they get krazy  Yo Mama she gets krazy (Hey)     Latinas they get krazy (Hey)(Hey)   Blanquitas they get krazy (Hey) (Let's go)   Negritas they get krazy (Hey) (Let's go)   Yo Mama she gets krazy (Everybody)     Now Jump up let's get krazy  Now Jump up let's get krazy  Now Jump up let's get krazy  Now Jump up let's get krazy (krazy)   Now Jump up let's get krazy  Now Jump up let's get krazy (krazy)   Now Jump up let's get krazy    I said Damn that's krazy    Iraq no war  U.S no Bush   Cuba no Castro  Atlanta no kush   Britney with no drama  Alicia with no Karma   New York with no flavor  The World with no Haters   Obama with no color   Hillary with no Bill   Pit with no Miami and soon with no deal   Just imagine all this baby   It's enough to make you go krazy  (woo)     Latinas they get krazy  Blanquitas they get krazy  Negritas they get krazy (krazy)   Yo Mama she gets krazy (Let's go)    Latinas they get krazy (Hey)(Hey)   Blanquitas they get krazy (Hey) (Let's go)   Negritas they get krazy (Hey) (Let's go)   Yo Mama she gets krazy (Everybody)     Now Jump up let's get krazy  Now Jump up let's get krazy  Now Jump up let's get krazy    Now Jump up let's get krazy (come on)   Now Jump up let's get krazy (come on)   Now Jump up let's get krazy (hey)   Now Jump up let's get krazy    Damn that's krazy     Break it down   In L.A they get krazy (Hey)  Miami they get krazy   In New York they get krazy (I see it)  Atlanta they get krazy (A-T-L baby)   In London they get krazy (a huh)   In Paris they get krazy (a huh)   In Rome they get krazy (a huh)  Ibizas they get krazy (We gotta tell 'em)   In Trini they get krazy (Come on)   Jamaica they get krazy (Come on)   Australia they get krazy (Come on)  Japan they get krazy (Let's go)   Cubanos they get krazy (Let's go)  Dominicanos they get krazy   Boricua they get krazy (Everybody put there hands up right now)   Mexicano they get krazy (Everybody)     Now Jump up let's get krazy (Jump) (Jump) (Jump) (Jump)   Now Jump up let's get krazy (Jump) (Jump) (Jump) (Jump)   Now Jump up let's get krazy (Jump) (Jump) (Jump) (Jump)   Now Jump up let's get krazy (Jump) (Jump) (Jump) (Jump)   Now Jump up let's get krazy (Jump) (Jump) (Jump) (Jump)   Now Jump up let's get krazy (Jump) (Jump) (Jump) (Jump)   Now Jump up let's get krazy (Jump) (Jump) (Jump) (Jump)   (Jump) (Jump) (Jump) (Jump)   Damn that's krazy     Sube sube sube   Sube el volumen   Sube sube sube   Sube el volumen   Sube sube sube   Sube el volumen   Sube sube sube   Sube el volumen   Haha como     It looks like we going to take over the game   They ain't even see this one coming right here   Boom Boom I'm a make 'em go krazy  Boom Boom I'm a make 'em go krazy  Boom Boom I'm a make 'em go krazy  Boom Boom I'm a make 'em go krazy  Boom Boom I'm a make 'em go krazy  Boom Boom I'm a make 'em go krazy"
2,Crack,:04,Quand on fume du crack on sais plus très bien ce qu'on fait
3,Crécelle,1:02,"Oui, j'étais funky, très funky, tu vois, ouais  J'aime ce style, maintenant voici les lyrics  Il y a quelques années, j'étais MC  Connu à Lyon, à Marseille, à Paris  On m'appelait de Toulouse à Sarcelles  Le MC qui rappe avec la voix de crécelle  Mais depuis 6 mois, ça a été trop sale  IAM a mis un terme à ma carrière musicalele  J'ai décidé de devenir très sage et de me recycler dans le jardinage  Oui, j'étais funky, oui, j'étais très funky  Tout le monde à l'amende, on met tout le monde à l'amende  Allez, je retourne à mes poireaux et à mes tomates  Peace!"
4,Disco Club,:32,"Eh bien bonsoir à tous et à toutes  Bienvenue ce soir au New Star Flash Night Laser Light Action Club  En compagnie de votre DJ préféré  OK, alors un maximum d'ambiance garantie  Pour cette super soirée fun tropicale  Avec bien sûr des cadeaux déments à gagner  A venir retirer à la cabine sono  On démarre tout de suite avec la série tendre et sentimentale  Le quart d'heure américain, alors attention les filles  -Oh! Tu vas t'arrêter dis!  Ta gueule!"
5,Do the Raï Thing,1:18,"Eho, c'est Malek Sultan, en plein effet mon frère  Tu connais la 404 bâchée, en plein effet  La mécanique, elle est impeccable  C'est un vrai chef d'oeuvre  C'est un Picasso de la mécanique actuelle  Cheb Khaled, tu connais au moins?  C'est le Public Enemy arabe, il raconte tout du début jusqu'à la fin  Du début jusqu'à la fin, j'te dis  Do the raï thing, mon frère  C'est lui qui l'a dit en vérité en Arabe  Ca fait longtemps, il a dit ""Do the raï thing""  J'ai mon cousin en Amérique  Il s'appelle Mellow Man Ace, tu connais Mellow Man Ace  C'est un grand chanteur, comme moi, quoi!  Malek Sultan, l'Algérien!"
6,I a M Bercy,:25,"Hola Hola Hola  (Hola, hola, hola)  Hola Hola Hola  (Hola, hola, hola)  Paris"
7,Jazz,:09,Jazz
8,Khéops E à l'Horizon,3:35,"Khéops est divin, grand, puissant,obscur, fantastique, magique, royal  Quand on prononce son nom le prêtre courbe la tête  Les simples mortels se prosternent khéops  Voici le tombeau de pharaon  La pyramide qu'ils lui construisent pour y subir le siège d'un millénaire khéops  Pharaon de la quatrième dynastie    Appartient à l'horizon  Appartient à l'horizon  Appartient à l'horizon  Appartient à l'horizon    D'emblée il atteignit avec 146 mètres de haut le point culminant de l'ambition humaine  Pour cette fantastique construction  La foi des ouvriers de khéops a entassé 3 millions de blocs de pierre dont certains pèsent 30 tonnes  Au pied de ses montagnes de pierre, tout parait minuscule  Khéops, pharaon de la quatrième dynastie    Appartient à l'horizon  Appartient à l'horizon  Appartient à l'horizon  Appartient à l'horizon​    Qui es-tu?   Je suis khéops, roi du sud et du nord  Chef de tous les vivants à jamais  Maître de la terreur, seigneur du désert, seigneur du ciel  J'ai choisi pour l'ibis un proverbe arabe qui dit  L'univers redoute le temps mais le temps redoute les tirants  Ecoutez-moi maintenant, écoutez-le, celui qu'on appelle khéops  Essayez d'entendre khéops, pharaon de la quatrième dynastie    Appartient à l'horizon  Appartient à l'horizon  Appartient à l'horizon  Appartient à l'horizon    Pharaon pouvait poursuivre son obscur voyage vers l'éternité"
9,Lève Ton Slip,:26,OK lève ton slip mama  OK mama lève ton slip  Lève ton slip  OK mama
