,song,time,lyrics
0,"Bling Blingw/ Sofiane, Kalash Criminel",3:55,"2.7  (Double X on the track)  Kaaris    Tant mieux si t'as un trop gros boule, j'ai le permis camion  Elle a cent millilitres de liquide dans la culotte, elle peut même plus prendre l'avion  Si tu me cherches, ne sois pas bête, tape mon blaze sur ta tablette  Je serai neuf millimètres, tu ne seras plus donc fuck Hamlet  Je t'ai eu tu le sais skinny, désolé ma belle  Si c'est pour me dire que c'est fini, t'aurais pu me le dire au phone-tél'  Si t'es une puta, si t'es un teur-men gare aux débordements, débordements, débordements  Je veux une chicha goût the-men, je garde le comportement comportement comportement    Je suis dans l'avion de Pablo, je plane  Tu m'allumes comme un bédo, t'es ma flamme  Je brille comme un bling-bling, bling-bling, bling-bling, bling-bling, bling-bling  Sur le toit du building, building, building, building, building  Tout ce qui se voit est éphémère, tu le sais  Ce qui ne se voit pas est éternel, tu le sais    Je mets du sang partout, pas venu faire de style  J'ai des frères de lait, j'ai des frères de sky  Je n'ai personne en face, qui me fait baliser  Aucun rêve que mon arme ne puisse réaliser  Tu crois que le succès m'égare frangin mais t'as tort  Je garde tous mes réflexes même quand le métal dort  Gros, dis-moi ce qu'on fête, une tournée complète?  Un tapin de compét', une pute médaille d'or  Salside de Dakar gros son pas ti-gen  Chiriki d'Alger, nouchi d'Abidjan  Sse-lia, sac de congél', cellophane, aluminium  L'empire du 9-3, multiplatinium  Tête de skunk opé' et même les anges toussent  Pas de steak de Kobe, je préfère qu'on mange tous  Je bosse le CAC 40, je garde le cours instable  Je les préfère marrantes, qu'elle suce pour un snap    Je suis dans l'avion de Pablo, je plane  Tu m'allumes comme un bédo, t'es ma flamme  Je brille comme un bling-bling, bling-bling, bling-bling, bling-bling, bling-bling  Sur le toit du building, building, building, building, building  Tout ce qui se voit est éphémère tu le sais  Ce qui ne se voit pas est éternel tu le sais    (Gang, Sauvagerie)  Faut faire des sous, j'ai plus le temps pour les embrouilles de quartier  Mon fils a quelques mois porte du Balmain, Gucci, Versace  Si tu savais comment j'ai trimé pour en arriver là  Je m'arrêterai pas tant que j'ai pas ma villa sur la French Riviera  Cagoulé tard la night, ouais je drive et la mitraillette est yougoslave  35 heures pour 1 200 c'est grave, travailler pour l'État, c'est être esclave  J'ai un tour d'avance, ils pensent que je suis en retard  Je leurs mets des Fimbu comme le père fouettard  On achète ton père, ta mère, ton frère, ta sœur avec les sous du Qatar    Je suis dans l'avion de Pablo, je plane  Tu m'allumes comme un bédo, t'es ma flamme  Je brille comme un bling-bling, bling-bling, bling-bling, bling-bling, bling-bling  Sur le toit du building, building, building, building, building  Tout ce qui se voit est éphémère tu le sais  Ce qui ne se voit pas est éternel tu le sais"
1,Courez,3:07,"Vrooum, vroum  Pute, pute, pute, pute  Zongo Dozo  Pute pute pute pute  Zongo Dozo  Kaaris  Zongo le Dozo    Désolé mais j'suis pas désolé  Balle dans le crâne, tu l'auras pas volé  Y'a du renfort, je ne suis pas isolée  Si t'es une chienne, je t'attrape par le collier  J'suis en transit comme une tonne de pure  La douane volante fouille dans la doublure  Les singes ont déjà défoncé la clôture  Je suis dans la haute couture et dans la torture  Chérie, t'inquiète nous deux c'est fusionnel  Vous mourez bientôt dans mon prévisionnel  T'es mon ennemi, y'a rien de personnel  Si je ne t'aime pas, est-ce un crime passionnel?  La vérité va bientôt éclater  T'as voulu me doubler pendant qu'on me clashait  Ta tête va bientôt se faire écraser  La rafale va retracer ton trajet    Courez (biatch), courez ou mourez  Courez ou mourez  Courez ou mourez  Ton navire, j'vais le faire couler  T'es touché-coulé  Ton équipe va se faire fourrer  J'vais toutes les fourrer  Courez (2.7), courez ou mourez (S.E)  Courez (2.7), courez ou mourez    J'ai une vue d'ensemble puisque j'suis perché  Si je l'ai fumé, c'est que la victime l'a cherché  J'vide les sh-fla et les Magnum  J'remplis le carnet du funérarium  Elle me donnent leur miches et je leur démonte  J'dois vaincre mes ennemis et leurs démons  Voi-tu-re alle-man-de é-vi-de-mment  Ton derrière va se sentir déchiré, t'es em-pe-tré  J'trouve que se retenir de tirer c'est mauvais comme se retenir de péter  J'ai encore la recette, mauvais djo oh click  J'vais finir en deux sets comme Djokovic (biatch)    Courez, courez ou mourez (2.7, 2.7)  Courez ou mourez  Courez ou mourez  Ton navire, j'vais le faire couler  T'es touché-coulé  Ton équipe va se faire fourrer  J'vais toutes les fourrer (biatch)  Courez, courez ou mourez (Kaaris)  Courez, courez ou mourez    J’vais faire bouger tout Paris  J’suis le cauchemar de toute ta vie  J’fais du bizz dans le V.I.P  J’fais construire en CIV  J’suis redouté comme la peste  Soit tu t’en vas soit tu reste  Arrête de retourner ta veste  La famille c’est tout ce qui me reste (biatch)    Courez, courez ou mourez (Kaaris)  Courez ou mourez  Courez ou mourez  Ton navire, j'vais le faire couler (2.7)  T'es touché-coulé  Ton équipe va se faire fourrer (2.7)  J'vais toutes les fourrer (Kaaris)  Courez (oh), courez ou mourez (2.7)  Courez (click), courez ou mourez    2.7  2.7  Pute, pute, pute, pute  Zongo zongo"
2,Diarabi,3:06,"Quand elle rentre ça fait blo-blo-blo-blo-blo  Skip, brrrrah  Ratata-ta-ta-ta  Grah, grah, grah, grah  Blo-blo-blo-blo-blo  Skip, brrrrah  Ratata-ta-ta-ta  Grah, grah, grah, grah    Diarabi, diarabi, diarabi, ma chérie  Diarabi, diarabi, faut qu'on fasse du wari  Diarabi, mes amis, mes ennemis  Je ne sais plus qui est qui  Faut qu'on se barre loin d'ici  Surtout ne leur dis pas, surtout ne leur dis pas  Surtout ne leur dis pas, entre nous ce qu'il y a  Ça reste entre toi et moi, même si on est en lère-ga  Surtout ne leur dis pas, ils n'attendent que ça-a    J'te laisse tirer sur ma chicha, et tu veux plus me rendre le tuyau  J'résiste comme un dozo, j'te le chante comme un griot  Puit, pierre, feuille, ciseaux, pour tirer sur le physio  J'ouvre les bras larges comme le dos  J'suis tout en haut comme au Corcovado    Diarabi, diarabi, diarabi, ma chérie  Diarabi, diarabi, faut qu'on fasse du walid  Diarabi, mes amis, mes ennemis  Je ne sais plus qui est qui  Faut qu'on se barre loin d'ici  Surtout ne leur dis pas, surtout ne leur dis pas  Surtout ne leur dis pas, entre nous ce qu'il y a  Ça reste entre toi et moi, même si on est en lère-ga  Surtout ne leur dis pas, ils n'attendent que ça-a    Y a de la meuf partout, y a des seufs partout  Mais je ne pense qu'à toi, quand je suis dans ma loge  Depuis que tu m'as quitté, mon coeur s'est arrêté comme une horloge  Je tiens mon automatique, j'imagine ta plastique  Mes rêves s'envolent comme un sac plastique    Diarabi, diarabi, diarabi, ma chérie  Diarabi, diarabi, faut qu'on fasse du walid  Diarabi, mes amis, mes ennemis  Je ne sais plus qui est qui  Faut qu'on se barre loin d'ici  Surtout ne leur dis pas, surtout ne leur dis pas  Surtout ne leur dis pas, entre nous ce qu'il y a  Ça reste entre toi et moi, même si on est en lère-ga  Surtout ne leur dis pas, ils n'attendent que ça-a  Dozo"
3,Être deux,3:39,"(Double X on the track)    Bébé, qu'est ce que tu crois?  J'suis un garçon comme les autres, moi  Des fois, j'fais de la merde  Même si j'sais qu'j'vais te perdre  Quand on s'est rencontré  Je te parlais de bails de fidélité  On court tous comme des canidés  Pourtant, maman nous a bien éduqué  Tu m'parles fiançaille, tu m'parles mariage  Moi, j'veux juste qu'on s'enjaille, n'ai pas la rage  Pour traverser ce monde de haineux  Vaut mieux être deux, je le sais    J'ai posé pleins d'bouteilles  Tu n'as même pas calculé  J'ai la plus grande suite de l'hôtel  Faut qu'je fasse tout pour t'y attirer  J'vais faire gol-ri toutes tes copines  Avec un p'tit ""Wesh wesh wesh""  Tu peux m'trouver dans la cabine  Ou à El Mamounia à Marrakech  J'suis pas un joli garçon  J'maîtrise la cuisson, tu mords à l'hameçon  Une dose de parfum Dior fève délicieuse  J't'en mets plein les yeu-z  Tu aimerais que je sois ton hlel  Tes embrouilles, c'est d'la bagatelle  Des filles faciles on en trouve  À chaque coin de rue, y'en a à la pelle    Bébé, qu'est ce que tu crois?  J'suis un garçon comme les autres, moi  Des fois, j'fais de la merde  Même si j'sais qu'j'vais te perdre  Quand on s'est rencontré  Je te parlais de bails de fidélité  On court tous comme des canidés  Pourtant, maman nous a bien éduqué  Tu m'parles fiançaille, tu m'parles mariage  Moi, j'veux juste qu'on s'enjaille, n'ai pas la rage  Pour traverser ce monde de haineux  Vaut mieux être deux, je le sais    Je sais qu'j'suis refais  Donc j'fais le beau  Même quand j'dis vrai  Tu dis qu'ça sonne faux  Pour t'avoir, j'fais des choses insensées  Tu connais mes arrières pensées  Quand tu m'demandes de me lancer  C'est là qu'je parle amour et français  J'déboule comme un S63  Si t'es la plus fraîche, t'es ma proie  Y'a v'là la meuf mais j'te té-ma toi  Regarder tes fesses ou écouter ta voix  Les meufs biens veulent avoir raison  Les autres meufs ne posent pas de questions    Bébé, qu'est ce que tu crois?  J'suis un garçon comme les autres, moi  Des fois, j'fais de la merde  Même si j'sais qu'j'vais te perdre  Quand on s'est rencontré  Je te parlais de bails de fidélité  On court tous comme des canidés  Pourtant, maman nous a bien éduqué  Tu m'parles fiançaille, tu m'parles mariage  Moi, j'veux juste qu'on s'enjaille, n'ai pas la rage  Pour traverser ce monde de haineux  Vaut mieux être deux, je le sais"
4,Feghouli,3:54,"Double X on the track, bitch    Arrête de faire ta meuf, c'est pas ce que tu m'avais dit  Gros gamos tout neuf, je te ramène en vie  Les tchoins parlent avec les keufs, les ients-cli aussi  Je roule un petit joint de peuf, c'est d' la grosse frappe à la Feghouli  Frappe à la Feghouli, frappe à la Feghouli  Frappe à la Feghouli, frappe à la Feghouli  Je t'avais dis oui mais j'ai changé d'avis  Donc casse pas les glawi j'te mets une frappe à la Feghouli    Louboutins dans la Aston Martin, semelles rouges comme le fond d' la rétine  Sabre d'Anakin je découpe la résine, je cours après les soleils jumeaux de Tatooine  450 chevaux je suis à donf', je gagne le tartare prix de l'Arc de Triomphe  Dans la street pas de stage  Les ennemis niquent leur race, prépare tir de barrage  J'ai le sommeil léger, lash-Ka est chargée  Leurs tombes sont enneigées, c'est L'Alaska l'été  Elle dit qu'elle a pas mon temps  Que pour l'avoir faut que j'creuse  Elle a de gros diamants à la place de ses yeuz  J'suis dans la boîte, je possède le truc que tu convoite  Quand tu nous voit bah, tu boîtes  J'pose mon gros bras-ras sur tes épaules  T'as même l'impression de faire du squat  Coup de crosse dans l'arcade  J’accélère, j'rétrograde  Braquage, butin, fusillade    Arrête de faire ta meuf, c'est pas ce que tu m'avais dit  Gros gamos tout neuf, je te ramène en vie  Les tchoins parlent avec les keufs, les ients-cli aussi  Je roule un petit oinj de peuf, c'est d'la grosse frappe à la Feghouli  Frappe à la Feghouli, frappe à la Feghouli  Frappe à la Feghouli, frappe à la Feghouli  Je t'avais dis oui mais j'ai changé d'avis  Donc casse pas les glawi j'te mets une frappe à la Feghouli    Du pays au 2.7  Je manie la gâchette (click)  Je tire dans la tête  J'appuie sur reset  J' termine à la mitraillette  Les ennemis sont à la diète  Je te ramène au Fouquet  En jean ou en survêt  Allume ta tige et rends-moi mon briquet  J'viens de l'acheter  Partout où il y a litige on est impliqué  Y en a jamais assez, j'veux du cuir sur mes accoudoirs  Tu peux pas me nuire, j'ai le savoir  Tu peux pas me fuir, je suis tout-par  Tu peux en déduire que j'suis de Côte d'Ivoire  J'vais te faire sortir du game par la cuvette des chiottes  Tu parles de moi et tu fais monter ma côte  J'veux pas d'une relation, bitch fais pas l'idiote  J'vais faire tourner le re-fou pour payer ta dote  J'bois du pussy limonade à la source à la tête du peloton à la fin de la course  Roi de la Trap enveloppé dans une peau d'ours  De l'école des hauts couteaux et de la drogue douce    Arrête de faire ta meuf, c'est pas ce que tu m'avais dit  Gros gamos tout neuf, je te ramène en vie  Les tchoins parlent avec les keufs, les ients-cli aussi  Je roule un petit oinj de peuf, c'est d' la grosse frappe à la Feghouli  Frappe à la Feghouli, frappe à la Feghouli  Frappe à la Feghouli, frappe à la Feghouli  Je t'avais dis oui mais j'ai changé d'avis  Donc casse pas les glawi j'te mets une frappe à la Feghouli    Yeah, yeah, yeah  Yeah, yeah, yeah  Yeah, yeah, yeah, yeah, yeah, yeah  Yeah, yeah, yeah, yeah, yeah, yeah"
5,Marchand d’ivoire,3:23,"2-7  Double X    Mode confort dans le Merco  Y'a pas le feu au lac  Milliers d'euros perdus c'est quelques grains tombés du sac  Où les faux frères sont des vampires, j'leur enfonce un pieu  On est tellement petits face à l'énorme coeur de Dieu  La vie dépend des saisons (yeah)  Ne pas fumer donne-moi une raison (tire)  Je suis descendu je fais que remonter  Je veux tout car choisir c'est renoncer  Non, inutile de chercher trop loin, ma liberté se trouve dans mon joint  De toi et mon arme je prends soin  Panthère noire je lève le poing  Africain j'suis sauvage, je maîtrise les dosages  Je parcours cette life à travers la nature sans âge    Ça n'a rien à voir  Les autres haineux  Qui doit me croire?  C'est eux les faux  Et les autres et nous  Ça n'a rien à voir  Ils trahiront pour des sous  Oui, tu dois me croire  Le pouvoir de l'amour face à l'amour du pouvoir  Fait qu'ils auront le cœur noir comme des marchands d'ivoire    Mon caractère est bien trempé  Dans les tranchées comme Lucien Sampé  J'préfère mourir que de ramper  Y'aura jamais de repos sans paix  Donc j'ouvre une bouteille de Ciroc  Pétasse à ma table, sirote  Je supprime les obstacles  Regarde le spectacle  Reste dans l'habitacle  Je ne m'en fais pas pour eux  Ils ne s'en feront pas pour moi  Attend faut que je déroule ma queue  Tu me connais je suis courtois  Ils parlent de nous dans les trafics  Il y a nos blases à la balistique  Automatique dans le 4Matic  2-7, je maîtrise la pratique    Ça n'a rien à voir (non, non, non, non)  Les autres haineux (non, non, non, non)  Qui doit me croire? (ouais, ouais, ouais, ouais)  C'est eux les faux  Et les autres et nous  Ça n'a rien à voir  Ils trahiront pour des sous  Oui, tu dois me croire  Le pouvoir de l'amour face à l'amour du pouvoir  Fait qu'ils auront le cœur noir comme des marchands d'ivoire    Et les autres et nous  Ça n'a rien à voir  Ils trahiront pour des sous  Oui, tu dois me croire  Le pouvoir de l'amour face à l'amour du pouvoir  Fait qu'ils auront le cœur noir comme des marchands d'ivoire"
6,Menace,3:23,"Vroum vroum  Pute, pute, pute, pute  Pute, pute, pute, pute  2.7  2.7    À la guerre comme à la guerre (biatch)  C'est soit je gagne, soit tu perds  Quand tu tombes, c'est super  C'est ton terrain qu'on récupère  L'argent ne tombe pas des arbres  Pour l'avoir faut sortir des armes  Je m'avance vers mes fans, je marche sur des tibias et des crânes  J'ai des traces de poudre sur les pecs  Je renifle comme un chien, bitch  Ton cœur appartient à ton mec  Mais ton cul m'appartient (bitch)  Mitraillette, mort aux lâches (mort aux lâches)  Je me répète, j'ai dit ""mort aux lâches"" (bitach)  Lamborghini (hein)  Tu commences, je finis  Tah la Houdini (2.7) (tu commences, je fini)  Pendant le ness-bui, si t'es touché par les flics (bang bang)  Meurs deus-pi, mais ne saignes pas sur mon fric (bang bang)  Sur le rain-té, armé sous le chasuble (ouais)  Vitres teintés, les deux mains sous ta jupe (bitch)  J'ai la rage, j'accélère dans les virages  Il me reste plus de balles que toi, j'gagne au goal-average    Tous armés (ouais) tous armés (ouais) tous armés  Tous armés, on est tous armés  On est tous armés, toute l'année  Toute l'année, toute l'année, toute l'année  On est tous armés, on est tous armés  Joint de H, des grosses liasses, on a aussi des kalach', des kalach'  On a aussi, des famas, des famas  On a aussi quelques schlass, quelques schlass  Si tu nous menaces (pute, pute, pute, pute)    Tellement de fierté, que je ne peux pas déserter  Y'a moyen de fermer des gueules, Magnum, Desert Eagle  Toute l'année, y'a de la neige en bas des tours  La vie c'est comme un manège mais t'as le droit qu'à un seul tour  T'as pas de talent et tu veux mon feu-bi  Tu tiens pas ta langue, ze-bi  Je t'arrose pour t'effacer de la planète  Comme quand je pisse sur une merde pour l'effacer de la cuvette  J'fais des disques d'or, je dois rappeler au pays  Ce gros bâtard de porc ne fait que d'appeler l'OPJ  Je te présente mon joujou, c'est ma moitié  Mais avant, je vais présenter ta joue à mon pied  Sur le toit du building, on fait nos nids  On dort jamais deux nuits dans le même lit  On enchaîne les pillons, on enchaîne les re-vés  On se couche sur des coussins de litrons, on dort sans rêver    Tous armés (ouais) tous armés (ouais) tous armés  Tous armés, on est tous armés  On est tous armés, toute l'année  Toute l'année, toute l'année, toute l'année  On est tous armés, on est tous armés  Joint de H, des grosses liasses, on a aussi des kalach', des kalach'  On a aussi, des famas, des famas  On a aussi quelques schlass, quelques schlass  Si tu nous menaces (pute, pute, pute, pute)"
7,Mood,3:49,"Telegram Sam Telegram Sam  You're my main man    Golden Nose Slim Golden Nose Slim  I know's where you've been  Purple Pie Pete Purple Pie Pete  Your lips are like lightning  Girls melt in the heat    Telegram Sam  You're my main man  Telegram Sam  You're my main man    Bobby's alright Bobby's alright  He's a natural born poet  He's just outta sight  Jungle faced Jake  Jungle faced Jake  I say make no mistake  About Jungle faced Jake    Automatic shoes  Automatic shoes  Give me three D vision  And the California blues  Me I funk but I don't care  I ain't no square with my corkscrew hair    Telegram Sam, Telegram Sam    I'm a howlin' wolf"
8,Oublier,3:18,"J'peux mettre des milliers de dollars sur ton compte en banque  J'ai tout ce qu'il me faut il n'y a que ton niar qui me manque  Dès que je passe, tu t'demandes si tu ne rêvais pas  C'est comme si le soleil s'en allait et ne revenait pas  Je monte au créneau et tu descends d'un cran  J'suis pas dans un groupe, j'suis dans un clan  Je découpe des grosses tête de beuh sur un plan  Des grillz sur les dents  Je compte les diams entailleusés sur ma montre  Quand j'ai mal à mon petit cœur de monstre  Je brille comme poussière d’étoile dans l'espace  Puisque j'en viens, je sais ce qu'il s'y passe    Non, j'peux pas oublier  Que je viens du quartier  Non, j'peux pas roupiller  Kalaché, bombardier  (On a oublié) Oublié  (On a oublié) On a oublié  (On a oublié) (?)  (On a oublié) J'peux pas roupiller    Des fois, j'sais pas pourquoi j'ai l'seum  Pour me calmer, j'compte mes leums  Calibré, j'peux tous vous délivrer  J'viens du ciel comme un tir aérien  On te calcule pas si t'es un galérien  Calme même sous dialyse, on s'en bat les reins  Enterrez mes (?), on en valait rien  J'ai un avion de chasse dans la Benz  J'fais le tour des grosses enseignes  Des poulets patrouilles dans la band  J'serai au four s'ils se renseignent  Même au volant d'un Maybach, je sais d'où je viens  Sous les photos des flashs avec un gros joint    Non, j'peux pas oublier  Que je viens du quartier  Non, j'peux pas roupiller  Kalaché, bombardier  (On a oublié) Oublié  (On a oublié) On a oublié  (On a oublié) (?)  (On a oublié) J'peux pas roupiller    4 kilo 7 AK  Tu n'aurais jamais dû  On joue tous en Liga  Tu joues sur terrain battu  Tout est sous controlla  J'ai mon sil-fu à l'épaule sur tous les pôles  Je pense à la mama  Dans le ciel y'a papa, no more drama  Pour la mifa faut des lovés, faut des loves, faut des loves, faut des loves  J'suis du 9.3. comme Sefyu, molotov, molotov, molotov    Non, j'peux pas oublier  Que je viens du quartier  Non, j'peux pas roupiller  Kalaché, bombardier  (On a oublié) Oublié  (On a oublié) On a oublié  (On a oublié) (?)  (On a oublié) J'peux pas roupiller"
9,Pas idée,3:09,"J'aime tes yeux  J'ai trimé, j'ai dû dealer  La beuh dans mon narguilé pour oublier  Loin de tout, loin des fous, exilé  C'est stylé, je vais kiffer, la tête vidée  Quelques Benz dans les poches, le soutien de mes proches  Les quatre pots de ma Porsche, j'exauce mes rêves de mioche    Je fais planer comme le seum, il faut me légaliser  Je suis là depuis les Pump et tu veux rivaliser  T'es loin du paradis mama m'a dit fils  Des gens auront le seum mais tu n'as pas idée    Je pense aux frères qui sont bloqués en prison  Je pense aux frères qui m'ont lâché sans raison  Les vrais disparaissent comme les saisons  Ouvre-moi tes bras que je me sente à la maison  Ce que tu as dans tes mains, tu l'as dans ton cœur  J'ai un Magnum, Ruger    Je fais planer comme le seum, il faut me légaliser  Je suis là depuis les Pump et tu veux rivaliser  T'es loin du paradis mama m'a dit fils  Des gens auront le seum mais tu n'as pas idée    Comme Jérome Cahuzac, je veux un compte en Suisse  Big booty qui claque, le piège se trouve entre tes cuisses  Toutes tes récompenses, tu peux te les mettre où je pense  Je viens d'une autre galaxie, je vibre sur autre fréquence  Je veux rentrer dans le jeu mettre la balle dans le panier  Sortir les frères du creux, voir des bouteilles dans le charnier    Je fais planer comme le seum, il faut me légaliser  Je suis là depuis les Pump et tu veux rivaliser  T'es loin du paradis mama m'a dit fils  Des gens auront le seum mais tu n'as pas idée"
