,song,time,lyrics
0,"Sans thèmew/ Alonzo, Naza, Dadju, Vegedream",4:20,"Yeah! yeah! yeah!  On a jamais fini, c'est le spécial remix  Hey tornado    Ça sert à rien de te cacher  Nous, on aura ta peau  Même si tu t'en fuis sur la lune  Nous, on aura ta peau  C'est aujourd'hui que tu vas payer, sur ma mère que tu vas payer  Aujourd'hui que tu vas payer, sur ma mère que tu vas payer  Aujourd'hui que tu vas payer, sur ma mère que tu vas payer  Tu vas payer  Mmm oh oh ah    Capo fait le, fait le, et fait le vide  Ils se prennent pour qui ces ti-pe et tue-les vite  Vu le monde qui y'a, y 'pas un boule dans leur VIP  Vu le monde qui y'a, y'a pas un boule dans leur VIP  Wallah que ça sert rien qu'tu t'caches  Marseille c'est, c'est dangereux  Dans l'habitat: Kalash, arrache en moins de deux  J'fais des miracles, pourtant j'fume beaucoup moins d'beuh  Je suis au rap c'que Drucker est à France 2  Bat les couilles hein, on met le Balmain  Cabre sans les mains, tête à queue sans frein à main  On est postiche sur le terrain pour l'appât du gain  Et fait le, et fait le bitch, ouais mais fait le bien  Zen comme le Dalaï-Lama  Personne va rien faire, on a le temps de manger  Ça sert à rien de te cacher, je pose avec Djuna  Personne va rien faire, on a le temps de chanter, bitch    C'est aujourd'hui que tu vas payer mon ami  C'est aujourd'hui que tu vas payer mon ami  C'est la débauche, Naza restera le débauchard  Même si tu t'enfuis sur la lune  Naza restera le débauchard  Ah j'ai pas besoin de câlin, moi je veux que danser  Quand je bouge mon bassin oh, toute la foule ambiancer  Jamais je n'ai tort  Qui va siffler la mi-temps?  Moi, c'est le public qui me réclame  J'éteins mon tel, sur la scène c'est le fire    Ça sert à rien de te cacher  Nous, on aura ta peau  Même si tu t'en fuis sur la lune  Nous, on aura ta peau  C'est aujourd'hui que tu vas payer, sur ma mère que tu vas payer  Aujourd'hui que tu vas payer, sur ma mère que tu vas payer  Aujourd'hui que tu vas payer, sur ma mère que tu vas payer  Tu vas payer  Mmm oh oh ah    Ti ti ti (ayakaka)  C'est MHD là  Mais qui qui qui? (ayakaka)  Qui vas payer là  Sortez les billets de 500  Sortez les billets en purple  Si y'a embrouille, nous on descend  Toujours poser dans mon cartel  Oh la la la, j'peux craquer pour ma money  Oh la la la, j'veux toucher seize sans amené  Nouveau gamos, nouvelle baraque  Nouvelle life, l'oseille ça embellit  J'veux mon khaliss même si faut aller sur la lune  On te pi pi pi    Si j'devais m'arrêter à tous ce que les gens disent, j'serais déboussoler  Si j'devais m'arrêter à tous ce que les gens disent, j'pourrais plus respirer  C'est pour ça que j'insulte ta maman  J'encule le game, ça fait un moment  C'est pour ça que j'insulte ta maman  J'm'en bas les couilles de c'que disent les gens  C'est pour ça que j'insulte ta maman  On m'a dit, Vegedream t'es trop insolent  C'est pour ça que j'insulte ta maman  J'encule le game, ça fait un moment  Demande à Dadju, on sera millionnaire dans quelques années  Si t'es trop jaloux, on va t'niquer ta mère, personne va séparer    Ça sert à rien de te cacher  Nous, on aura ta peau  Même si tu t'en fuis sur la lune  Nous, on aura ta peau  C'est aujourd'hui que tu vas payer, sur ma mère que tu vas payer  Aujourd'hui que tu vas payer, sur ma mère que tu vas payer  Aujourd'hui que tu vas payer, sur ma mère que tu vas payer  Tu vas payer  Mmm oh oh ah    Demande à Alonzo papé (Tu vas payer)  Tu pourras pas l'éviter (Tu vas payer)  Demande même à MHD (Tu vas payer)  Tu pourras pas l'éviter (Tu vas payer)  Demande même à Vegedream (Tu vas payer)  Tu pourras pas l'éviter (Tu vas payer)  T'as pas vu l'gaba à N.A.Z.A (Tu vas payer)  Impossible à éviter (Tu vas payer)  Oh oh ah    Tu vas payer  Tu vas Khalass  Tu vas payer  O ko futa  Tu vas payer  Tu vas payer  C'est toujours le prince Dadj (Tu vas payer)  Ça ne bouge pas (Tu vas payer)  Juste pour le plaisir des oreilles (Tu vas payer)  Another one (Tu vas payer)  Tornado"
1,Na Lingui Yéw/ Fally Ipupa,3:23,"Eeeeeh!  Ouuuuh!  Mwana maman Ello!  El Mara, Fally Ipupa, MHD!  (Paw paw paw paw)    Seul ton amour peut me combler  Ma chérie si tu savais toutes les galères que j'ai eues pour te trouver  De minuit à minuit je pense à toi  La suite de ma vie je ne la fais pas sans toi  Na lingui, na lingui, na lingui yo  Trop de qualités, zéro défaut!  Une femme en diamant c’est pas trop tôt  Matin, midi, comme le soir  Un sourire, sincère quand j’te revois  N’écoutes pas les autres, vis ta va-vie  Les sentiments vont partir très vite    Na lingui yé  Na lingui yé  Na lingui yé  (Je ferai tout pour elle)  Na lingui yé  Na lingui yé  Na lingui yé  (Je serai tout pour elle)  Na lingui yéeeeeeeee  (Je ferai tout pour elle)  Na lingui yéeeeeeeee  (Je serai tout pour elle)  Na lingui yé    Unis comme les alliés  Il ne m’a jamais laissé tomber  Tes problèmes sont les miens  Ensemble, on va tout partager  Ma vie d’avant je l’ai abandonné pour toi  Pasi esili na motema  Pas sans toi, j'te quitterai jamais ma chérie  Pas sans toi, pas sans toi, j'te quitterai jamais ma chérie    Na lingui yé, na lingui yé, na lingui yé  (Je ferai tout pour elle)  Na lingui yé, na lingui yé, na lingui yé  (Je serai tout pour elle)  Na lingui yé  (Je ferai tout pour elle)  Na lingui yé  (Je serai tout pour elle)  Na lingui yé    Na ko bondela mama  Na ko bondela yé  Na ko bondela chérie  Na ko bondela yé  Non, ne me quitte pas  Peu importe les problèmes  Na ko bondela yé  Ma chérie, c’est toi et moi  Les autres, on s’en fout  Na ko bondela yé  Juste un sourire, donne-moi de l’importance  Na ko bondela yé  Oublions l'passé, pensons à l’avenir  Na ko bondela yé    Na lingui yé  Na lingui yé  Na lingui yé  (Je ferai tout pour elle)  Na lingui yé  Na lingui yé  Na lingui yé  (Je serai tout pour elle)  Na lingui yéeeeeeeee  (Je ferai tout pour elle)  Na lingui yéeeeeeeee  (Je serai tout pour elle)  Na lingui yé    El Rey  Fally Ipupa  MHD  Tokooos!    Na lingui yé  Na lingui yé  Na lingui yé"
2,"Afro Trap, Pt. 2 [Kakala Bomaye]",2:05,"Nombreux sont les fils de pute sur ma liste d'attente, frère  Ils parlent sur moi mais j'les baise fort  Posé au fond du bar tabac  Beurs, Babtous, Négros sont mes confrères  Poto, tu sers à rien comme un rrain-té qu'a pas d'shit  Comment veux-tu investir si tu fais pas d'chiffre?  Fils de ah, me parle pas de 6.3  J'ai une arme de guerre depuis la tétine  C'est le Dix-Neuvième bande de bâtards  Rue des Chaufourniers pour les couche-tards  On est tous sous l'porche et dans les coins dark  Fils de, y'a que la moula dans des pochetards  On est sur le rrain-té, pas besoin de gardien  Mon seul but sera de viser que tes potos  J'dois le répéter : des MHD il en reste qu'un  Comme Eto'o j'veux des pe-sa en peau de croco  La concu' dans le rétro  T'as bibi quelques barrettes et tu fais l'ssiste-gro  M H Dinguerie, 2015 le retour du Réseau, pow  La machine est lancée, active le compte à rebours  J'suis seul dans mon délire  Y'a pas de concurrents, c'est ça qu'est relou  Active le compte à rebours  Mes négros sont spécialisés dans la vente de gue-dro  Et pour casser des bouches, pow    Afro Trap partie 2, DJ Did  T'as fumé ma moula, t'as toussé  Ah, pow, pow pow  Bande de kakala    Kakala Bomaye  Kakala Bomaye Bomaye Bomaye  Kakala Bomaye  Kakala Bomaye Bomaye Bomaye  Kakala Bomaye  Kakala Bomaye Bomaye Bomaye  Kakala Bomaye  Kakala Bomaye Bomaye Bomaye  Bande de kakala  Bande de kakala"
3,"Afro Trap, Pt. 3 [Champions League]",2:18,"Afro Trap partie 3!    La moula vient d'paname  Intouchable comme Verrati ou Motta  J'suis sur l'rain-té, t'es sur l'banc touche  Afro Trap a marqué donc ça kouma  Gros! File mon chèque  On ma donné la ce-for j'connais plus l'échec  J'connais plus l'échec  Toujours titulaire comme Keita Cheick  Les négros en redemandent  Passe un coup d'fil y'a de la peufra sur commande  Tu m'parles sur les réseaux tu téma mes clip  Tu dis c'est d'la merde passe me voir que j'te démonte  J'suis toujours en apnée  Ces bâtards j'les sens pas  Tu t'butes a la yeuka  On s'bute a peufra    C'est la Champions League  75 c'est la Champions League  91 c'est la Champions League  92 c'est la Champions League  93 c'est la Champions League  94 c'est la Champions League  95 c'est la Champions League  77 c'est la Champions League  78 c'est la Champions League  C'est la Champions League  Paname c'est la Champions League  Fuck si t'es pas d'ma team  Paname c'est la Champions League  On baise tout en Champions League  Paname c'est la Champions League  Fuck si t'es pas d'ma team  On baise tout en Champions League    Paname c'est la Champions League    Les gavas m'ont dit ""Bombarde-les""  Ces pédés s'approchent font semblant de m'ignorer  Retrouve-moi sur l'corner rue des Chaufourniers  Gros à part ta lumière tu vas rien allumer  Un Glock dans la main, mais qu'est-ce que tu vas faire?  C'est bête d'avoir les couilles vides et un 9 millimètres  Trou d'uc, on t'a pas dit que l'élève dépassait pas l'maître  Un mytho à droite  Un mytho à gauche  Tout l'quartier croit qu'il est riche  Versace par là, Gucci par là  La mala, ton frigo est vide  Barre ta main d'mon épaule si t'es pas de mon équipe  Le téléphone sonne j'peux pas rester tranquille  L'atmosphère est tendue comme une transac' de kil    C'est la Champions League  75 c'est la Champions League  91 c'est la Champions League  92 c'est la Champions League  93 c'est la Champions League  94 c'est la Champions League  95 c'est la Champions League  77 c'est la Champions League  78 c'est la Champions League  C'est la Champions League  Paname c'est la Champions League  Fuck si t'es pas d'ma team  Paname c'est la Champions League  On baise tout en Champions League  Paname c'est la Champions League  Fuck si t'es pas d'ma team  On baise tout en Champions League  Paname c'est la Champions League"
4,"Afro Trap, Pt. 4 [Fais le mouv]",2:37,"Paw paw paw paw  Afro Trap partie 4  Fais le mouv'  Fais le mouv' fais le mouv'  Hahaha, MHD, Dany Synthé    Eh p'tit con, arrête le rap  J'ai pas l'temps d'causer, négro, bon débarras  J'suis dans les parages, demande à Djanka  Le polo 1.9 Réseaux à la place du pare-balles  Qu'ils viennent au tiekson, lunettes Cartier  Les petits qui parlent mal, wAllah, faut tous les tarter  T'es p't-être armé, chez nous y'a les bravas  Nombreux sont les fils de pute qui parlent  Mais mettent des lettes-ga    Tous ces enfoirés j'sais qu'ils parlent sur moi  Ouais, ces batards m'envient  J'ai pas d'fiche de paye  J'connais pas mon salaire mais j'porte des Gucci  On m'a dit ""Cafu, guette la concurrence  J'vois que des abrutis""  Tous là pour le même but  Reste dans l'mur fiston et puis fais le mouv'    Fais le mouv' fais le mouv'  Fais le mouv' fais le mouv'  Fais le mouv' fais le mouv'  Fais le mouv' fais le mouv'  Fais le mouv' fais le mouv'  Fais le mouv' fais le mouv'  Fais le mouv' fais le mouv'  Fais le mouv' fais le mouv'    Laisse-les ces jaloux  Laisse-les kouma, la mala c'est pour nous  Ils diront MHD il est relou  En 4 parties le mec nous a ché-cou  Eh l'ingé, va doucement sur l'vocoder  Qui m'aime me suive, on s'follow sur Twitter  Ma chérie me presse pas l'amour est tueur  I kadi gné, c'est ça qui me fait peur    Tous ces enfoirés j'sais qu'ils parlent sur moi  Ouais, ces batards m'envient  J'ai pas d'fiche de paye  J'connais pas mon salaire mais j'porte des Gucci  On m'a dit ""Cafu, guette la concurrence  J'vois que des abrutis""  Tous là pour le même but  Reste dans l'mur fiston et puis fais le mouv'    Fais le mouv' fais le mouv'  Fais le mouv' fais le mouv'  Fais le mouv' fais le mouv'  Fais le mouv' fais le mouv'  Fais le mouv' fais le mouv'  Fais le mouv' fais le mouv'  Fais le mouv' fais le mouv'  Fais le mouv' fais le mouv'    C'est nous, c'est la Champions League  C'est nous, c'est la Champions League, ah  Mais qui veut de la moula encore?  Mais qui veut de la moula, ah?    Fais le mouv' fais le mouv'  Fais le mouv' fais le mouv'  Fais le mouv' fais le mouv'  Fais le mouv' fais le mouv'  Fais le mouv' fais le mouv'  Fais le mouv' fais le mouv'  Fais le mouv' fais le mouv'  Fais le mouv' fais le mouv'    Haha, nique ta putain de race"
5,Afro Trap Pt. 5 [Ngatie Abedi],2:36,"Afro Trap Partie 5  Ngatié abédi    On reconnaît les bavons  On reconnaît les bâtards qui parlent que par intérêt  Enfoiré tu pensais m'éteindre?  Apprends qu’MHD il est tout terrain  Qui veut la bagarre?  Enfile ta tenue mon gars, place au combat  On chipote pas, tu payes, j’encaisse  Mon banquier va gérer mes fins de mois  MHD ça tue pour les mecs de la ue-r  Faut pas s'demander l'heure j’sais pas si t’as vu  Hein mon ami c’est moi l’enfoiré qui fait bouger ta ville  Marseille, Bordeaux et Lille, Strasbourg, Nantes, Paris m'valident  Fuck les jaloux j'vis ma va-vie, à onze heures j'vais visser à Vavin    Ngatié abédi  Passe me voir j’ai la moula du Brésil  Imbécile, j’me barre loin d’ici  J’oublie les galères et les soucis  Ngatié abédi, ngatié abédi abédi  Ngatié abédi, ngatié abédi abédi    Tout ça n’est qu’éphémère, bats les couilles si j’te plais pas  J’fais mes biz’ et mes gars font mes playbacks  Ça m’fait bizarre quand j’vois les gens danser sur la mula  Ouais j’les baise mais qu’est-c’qui s’passe?  J’ai pris du galon depuis la Partie 1  Gros, j’ai pas quitté l’tieks, la rue, la vraie  Abou dis-leur qu’on n’est pas là pour plaire  Onze titulaires et c’est moi qu’ai le brassard  Tu parles, tu parles, on sait que tu ne brasses pas  J’ai plus d’cellulaire gros la ligne est restreinte    Ngatié abédi  Passe me voir j’ai la moula du Brésil  Imbécile, j’me barre loin d’ici  J’oublie les galères et les soucis  Ngatié abédi, ngatié abédi abédi  Ngatié abédi, ngatié abédi abédi    Ngatié abédi  Passe me voir j’ai la moula du Brésil  Imbécile, j’me barre loin d’ici  J’oublie les galères et les soucis  Ngatié abédi, ngatié abédi abédi  Ngatié abédi, ngatié abédi abédi    Ngatié abédi, ngatié abédi abédi"
6,"Afro Trap, Pt. 6 (Molo Molo)",2:22,"Afro Trap partie 6  MHD va molo molo    On pourrait t'liquider pour des grosses sommes  Billets green et purple, fruits d'la passion  Négro, vouloir m'attaquer, wAllah qu'c'est une mauvaise idée  On m'a dit qu'j'étais le prince, maintenant j'peux plus m'arrêter  Gros t'as fumé ma moula, arrête tes palabres  T'es dans les bouchons, moi j'suis seul dans mon couloir  J'sais qu't'as l'seum, j'sais j'sais j'sais qu't'as l'seum  Comparez pas les Mathusalem aux Capri-Sun  Suffit d'une bastos pour retrouver le silence  Les javons m'appellent, j'ai répondu présent  Gros, j'ai peur de personne, j'ai les couilles en ciment  Libérez nos potos, ça fait déjà longtemps  Ouais, ça fait déjà longtemps  Que t'aimes ou t'aimes pas, j'vais rester le même  J'y vais molo molo car les jaloux s'inquiètent  Eh fils, on fait les choses bien  Afro Trap partie 6 fait l'effet d'un extinct'    Paw paw paw  Wooh  Afro Trap partie 6    J'y vais molo molo  MHD va molo molo  Frappe-les mais molo molo  J'y vais molo molo  La concu est dans le rétro  Les potos m'ont dit  ""Cafu, vas-y, mais molo molo""  MHD va molo molo  Frappe-les mais molo molo  J'y vais molo molo  La concu est dans le rétro  Les potos m'ont dit  ""Cafu, vas-y, mais molo molo""    Rentré dans l'rap game, un p'tit geste technique  J'm'emmêle pas les pinceaux, j'suis pas assez artistique  Afro Trap partie 6 sur l'instru acoustique  J'représente Paname, 19 red city, reste tranquille  Colonel à bord, Guevara Che  Vise la première place tel un cheval du tiercé  Sache que j'veux percer  Trouer l'ter-par comme une perceuse ambiancé  Pas une vie de merde dans une cité des cités  Corriger mes fautes comment dicter la scène du R.A.P  J'me suis injecté, turbo injection, (?) en pression  Au tier-quar, à base de jeux d'mains, de coup de pression  7-5 au taquet, freestyle j'mets l'paquet  Je rêvais d'être Piqué mais l'cro-mi m'a braqué  Des joues j'ai claqué, ok j'ai capté  J'commets p't'être des erreurs, mais j'préfère les zapper    J'y vais molo molo  MHD va molo molo  Frappe-les mais molo molo  J'y vais molo molo  La concu est dans le rétro  Les potos m'ont dit  ""Cafu, vas-y, mais molo molo""  MHD va molo molo  Frappe-les mais molo molo  J'y vais molo molo  La concu est dans le rétro  Les potos m'ont dit  ""Cafu, vas-y, mais molo molo"""
7,"Afro Trap, Pt. 7 (La Puissance)",2:20,"La puissance, que la puissance  J'ai pas connu la défaite depuis mon existence  Gros, j'm'en sors bien, suis-je un miraculé?  Parle en français, parle en cash ou prends tes distances  Ramenez-moi la tête, je reste content, passe un tabac  Qu'est-ce qu'tu m'parles? Dans ta zone, t'es qu'un guetteur  Ceux qui pensent me connaître me connaissent pas  Maintenant j'suis rodave comme les bacqueux dans mon secteur  T'es dans la merde, j'suis au fond d'un carré V.I.P, ces bâtards sont à la dèche  T'es mon adversaire, t'as pas d'chance, tu veux tej' la bouteille à la mer  Où sont les vrais? Ceux qui parlent peu, ils frappent fort, à l’affût de tous les dièses  Recule-toi et laisse-moi faire, quand les opposés s'attirent mon gars, c'est là que les balles se perdent  Rien qu'elles s'perdent et même toi, t'es du-per, toujours attendu comme un rayon d'soleil  Gros, c'est la puissance, rien que la puissance, respecte le protocole, gros y'a pas d'secret    La puissance  Gros, c'est la puissance, c'est la puissance  La puissance  Gros, c'est la puissance, c'est la puissance  La puissance  Gros, c'est la puissance, c'est la puissance  La puissance  Gros, c'est la puissance, c'est la puissance    Ça revient plus fort, j'suis toujours le même, c'est moi contre moi, toi tu finis par terre  Mon bigo sonne, j'suis en mode avion, pour qu'j'arrête, faut qu'on m'tranche les cordes vocales  Ça blesse, MHD, Afro Trap partie 7, le projet est dans les bacs  J'ai la grinta, tout est bon, oui tout est félé, la Moula Gang n'oubliera pas  J'ai rien vu, j'ai rien entendu, j'ai rien dit, mais du sale je vous promets  Tu m'attendais, cálmate, j'arrive, 2017, on reprend les hostilités  Ils ont voulu m'boycotte sans y arriver, seul Dieu pourra m'en protéger  Le chemin est long, je compte plus d'ennemis que d'alliés  J'suis seul, j'ai besoin d'personne, m'man prie pour moi  Offensive est la guerre, ils l'auront tôt ou tard    La puissance  Gros, c'est la puissance, c'est la puissance  La puissance  Gros, c'est la puissance, c'est la puissance  La puissance  Gros, c'est la puissance, c'est la puissance  La puissance  Gros, c'est la puissance, c'est la puissance"
8,Amina,3:25,"Amina, eh, 'Mina, 'Mina, eh, Amina  Amina, eh, 'Mina, 'Mina, eh, Amina eh  (Amina, eh, Amina, eh)  Amina, eh, Amina, eh  (Amina, eh, Amina, eh)  Amina, eh, Amina, eh    Elle fait mal à la tête  Amina me fait perdre mes moyens  J'avoue j'ai l'démon quand elle répond pas  Même dans l'obscurité j'irais suivre ses pas  Sache que j'ai pas l'habitude  J'suis pas trop galant, j'ai grandi dans la street  Les potos m'ont dit ""Cafu, laisse""  Les femmes te blessent, elles te blaguent et te laissent à la rue  Suffit d'un regard pour t'embobiner  Une de perdue, dix de retrouvées  Elle fait trop la miss  Amina sur ton cœur j'ai la mainmise  J'veux pas perdre mon temps pour des futilités  Tu m'as jeté sans même hésiter  J'sais qu'tu m'aimes en 'scrète  Fais ta vie, l'mektoub se charge du reste    Amina, eh, 'Mina, 'Mina, eh, Amina  Amina, eh, 'Mina, 'Mina, eh, Amina eh  (Amina, eh, Amina, eh)  Amina, eh, Amina, eh  (Amina, eh, Amina, eh)  Amina, eh, Amina, eh    Tu m'parles de sentiments  Tu vois le buzz qui monte  T'en connais un peu plus sur mon statut  Tu veux faire le tour du monde avec moi  De quoi tu m'parles?  J'voulais rien dépenser, mais elle est trop sheïtan  Un resto chic, un cinq étoiles  Everyday dans la capitale avec Amina  J'peux pas t'dire ""Je t'aime"", c'est trop difficile  Rien n'nous unit, t'es ma p'tite copine  Laisse-moi faire mes dièses  Me prends pas la tête pour tes coups d'fil  J'l'ai piqué  Elle est folle de moi, elle veut plus m'quitter  Suis-moi et j'te fuis  Fuis-moi et j'te laisse, y'a pas d'souci    Amina, eh, 'Mina, 'Mina, eh, Amina  Amina, eh, 'Mina, 'Mina, eh, Amina eh  (Amina, eh, Amina, eh)  Amina, eh, Amina, eh  (Amina, eh, Amina, eh)  Amina, eh, Amina, eh    Tout est fini  Oui, tout est fini  Tout est fini  Amina ne veut plus de moi  Tout est fini, Amina ne veut plus de moi  Qui est l'fautif?  Chacun fait sa vie, ce soir: c'est chacun chez soi    Amina, eh, 'Mina, 'Mina, eh, Amina  Amina, eh, 'Mina, 'Mina, eh, Amina eh  (Amina, eh, Amina, eh)  Amina, eh, Amina, eh  (Amina, eh, Amina, eh)  Amina, eh, Amina, eh    Amina, eh, 'Mina, 'Mina, eh, Amina  Amina, eh, 'Mina, 'Mina, eh, Amina eh  (Amina, eh, Amina, eh)  Amina, eh, Amina, eh  (Amina, eh, Amina, eh)  Amina, eh, Amina, eh"
9,Interlude Trap,2:12,"Ah ouais  Allô? Allô?    Salam, j'arrive dans l'game  Un 16 mesures, pas l'temps de vous kala  C'est bien qu'tu parles des embrouilles de quartiers  C'est moins crédible, surtout quand t'es pas là  J'parle et j'assume  J'recule jamais, frère, mes potos m'assurent  Nouvelle année que des fils de putain  Qui, pour leurs intérêts, se disent être mes gars sûrs  Des barres de rire  Allez casse toi de là  Pour le jour de paye, j'attends pas les fins d'mois  Rien que ça parle mais ça brase que dalle  Tu n'as pas porté tes couilles quand j'étais face à toi  Bande de merdes  MHD déboule, forcément, c'est la merde  Tu sais déjà qu'mon équipe est spécialisée  Dans la vente de gue-dro, ils pourraient niquer des mères    Wesh hombre  Tu butes pour moi  Tu m'douilles, wAllah j'te bute  Un pote qui parle derrière ton dos  WAllahi c'est un fils de pute (Sacré fils de pute)    Négro, partout c'est la même merde  Nos frères bétom, c'est pas les mêmes peines  C'est pour mes gavas sous l'porche  Qui butent sur l'rrainté et qui s'prennent des coups de poches  Fidèle au poste, drugs dealers  On veut péter les 10 bars à la Mac Miller  Paire de Dita, veste Philipp  Green et purple coffrés sous l'lit  J'irai pas faire confiance a la nourrice  On retombe a zéro après la perquise  MH' graille-les  La concu' n'attend que de bronzer  J'entends les échos  Oui, j'entends les échos  J'ai des mecs qui m'envient  J'ai des couteaux dans l'dos  (J'entends les échos)  (J'ai des mecs qui m'envient)  (J'ai des couteaux dans l'dos)    Allô? Eh! Allô?"
