,song,time,lyrics
0,L' Amour C'est Pas Confortable,3:34,"T'as pris un coup d'plus  Ne pleur' pas tu vas mouiller la table  On t'avait bien prévenu  L'amour c'est pas confortable   C'est pas un Pullman à bercer les âmes  Ca peut faire mal une femme  Et tout le temps que tu passes à penser  Quand elle va s'faire la malle   C'est bien c'est mal  L'amour l'amour c'est pas confortable  C'est bien c'est mal  L'amour l'amour c'est pas confortable   Huit heures et tu l'attends  Et tu sens tes doigts griffer la table  Qu'a-t-elle fait tout c'temps  L'amour c'est pas confortable   T'as choisi pour deux un lit d'aventure  Ne pleur' pas sur mon tapis  Si elle tire à elle toutes les couvertures  Quand t'es tout nu dans la nuit   C'est bien c'est mal  L'amour l'amour c'est pas confortable  C'est bien c'est mal  L'amour l'amour c'est pas confortable   Tu as vôté pour un drôle d'animal  C'est pas le moins méchant  Que tu meurs de ça ou du gardénal  Ce n'est qu'une question de temps...   C'est bien c'est mal  L'amour l'amour c'est pas confortable  C'est bien c'est mal  L'amour l'amour c'est pas confortable   C'est comme ça  C'est comme ça, comme ça"
1,Cendrillon De Chinatown,4:43,Cendrillon de Chinatown  Faut pas traîner  Le bouge où ton père se came  C'est du passé  Car la Chine opaline  De son vieux cinéma parlant   M arie-Jeanne  Opiomane  L'ont endormie pour longtemps...  Longtemps   Tu te fends d'une robe longue  Sur le côté  Mais le monde de Suzie Wong  Il est râpé  Car la belle  Ô belle  De ce vieux cinéma dormant   L'Amérique  Boulimique  L'a engloutie pour longtemps...  Longtemps   Au milieu des Hills et de Beverly  Dans un ciné désert  Une chinoise de quinze ans vend du pop-corn  Dans un kimono vert...  Elle se voit déjà  Greta   Cendrillon de Chinatown  Et la Chine héroïne  Se perd derrière ses paravents   Je me mine  Je m'abîme  Mes rêves  N'en ont plus pour longtemps...  Longtemps   Pourtant...   Cendrillon de Chinatown
2,Kimono,5:00,Kimono et coca-cola  Du saké chaud à Osaka  Des guincheries avec les geishas  Japon t'es pas tout à fait ça  T'es pas tout à fait ça (Bis)   Une viking toute nue dans Stockholm  Et du sexe qui sent bon l'cadum  L'aquavit pour requinquer l'homme  Suède t'es pas tout à fait ça  T'es pas tout à fait ça (Bis)   Un béret sur la Tour Eiffel  Du onze degrés à l'arc-en-ciel  Poule au pot qu'a perdu ses ailes  La France t'es pas tout à fait ça  T'es pas tout à fait ça (Bis)   Président Carter pour le foie  Une maffia sans un Sinatra  Des Manson et des lolitas  U.S. t'es pas tout à fait ça  T'es pas tout à fait ça (Bis)   Un para paré au combat  Un paria qui vit hors des lois  Et Paris qui tremble pour moi  Ma vie c'est pas tout à fait ça  C'est pas tout à fait ça  T'es pas tout à fait ça (Bis)   Kimono et coca-cola  Du saké chaud à Osaka  Des guincheries avec les geishas  Japon t'es pas tout à fait ça  T'es pas tout à fait ça
3,Y' a Des Jours,3:32,T'es à peine sorti de l'enfance  Que l'on te donne un métier bonne chance  Quand ce n'est pas des idées resucées  Comme un chewing-gum usagé  Y'a des jours où on voudrait laisser tomber   J'avais pas dit bonjour aux rois mages  Qu'ils ont mis mes plâneries en cage  Avec leur école et tous leurs lendemains  Qui devaient chanter  Y'a des jours où on voudrait laisser tomber   Y'a des jours qui font des p'tits matins  Où l'on se fout des gens qui ont faim  Y'a des crois-moi on voudrait bien  Ne plus s'en faire pour son prochain   Y'a la nana dont tu veux pas  Et puis celle qui s'pend comme un porte-clefs à ton bras  Marie-Madeleine avec laquelle faudrait oser mais on n'ose jamais  Et puis y'a la fille qu'on laisse toujours tomber...   Y'a la chanson qui ne vient pas  Et puis celle qu'on écrit sans en penser un mot  Y'a les idées auxquelles on ne croit pas  Mais qu'on porte comme un drapeau  Il y a des jours où vaudrait mieux se foutre à l'eau   Y'a des jours qui font des p'tits matins  Où l'on se fout des gens qui ont faim  Y'a des crois-moi on voudrait bien  Ne plus s'en faire pour son prochain   J'en ai marre de faire des miracles  Pour une bande de types qui s'en grattent et s'en tapent  J'ai une p'tite croix qui m'attend  Et trois clous qui m'attendent sur le Mont des Oliviers  Si j'vais pas mieux un jour je m'y laisserai clouer
4,"Bijou, Bijou",4:08,"Bijou, bijou  Te réveille pas surtout  Je vais pas faire de bruit, juste un café c'est tout  Je peux plus rester ici  Je dormirai je sais pas où    Bijou, bijou  Le temps ça pourrit tout  Les cheveux dans le lavabo, les mégots écrasés n'importe où  Puis tu prends ton bain  Avec de drôles de joujoux    Bijou, bijou  Y'a des feux rouges partout  Puis au coin de la rue l'Armée du Salut qui joue    À ma montre y'a plus de chaîne  À mes cols de chemise plus de baleine    Bijou, bijou  Pense à tes rendez-vous  Rappeler le gynéco, passer à la banque prendre des sous  Trouver quelqu'un d'autre  Moi je mets les bouts    Bijou, bijou  Je pourrai pas te dire au revoir, ce matin j'ai pas le bambou  Putain ce que t'as été belle  Quand tu te mettais à genoux    Bijou, bijou  Je vais pas faire de bruit, juste un café c'est tout  Je peux plus rester ici  Je dormirai je sais pas où"
5,Gaby Oh Gaby,3:46,"J'fais mon footing au milieu des algues et des coraux  Et j'fais mes pompes sur les restes d'un vieux cargo  J'dis bonjour, faut bien que j'me mouille  C'est ma dernière surprise partie j'm'écrase le nez au hublot  J'ai mon contrat d'confiance, l’encéphalo qui faut  J'ai du bol, j'en vois un qui rigole  Oh Gaby, Gaby  Tu devrais pas m'laisser la nuit  J'peux pas dormir, j'fais qu'des conneries  Oh Gaby, Gaby  Tu veux qu'j'te chante la mer  Le long, le long, le long des golfes  Pas très clairs    En r'gardant les résultats d'son check-up  Un requin qui fumait plus a rallumé son clop  Ça fait frémir  Faut savoir dire stop (stop)  Tu sais, tu sais c'est comme ce type qui voudrait que j'me soigne  Et qu'abandonne son clebs au mois d'août en Espagne  J'sens comme un vide  Remets-moi Johnny Kidd  Oh Gaby, Gaby  Tu devrais pas m'laisser la nuit  J'peux pas dormir, j'fais qu'des conneries  Oh Gaby, Gaby  Tu veux qu'j'te chante la mer  Le long, le long, le long des golfes  Pas très clairs    Gaby, j't'ai déjà dit qu't'es bien plus belle que Mauricette  Qu'est belle comme un pétard qu'attend plus qu'une allumette  Ça fait craquer  Au feu, les pompiers  Aujourd'hui c'est vendredi et j'voudrais bien qu'on m'aime  J'sens qu'j'vais encore finir chez Wanda et ses sirènes, et ses sirènes  Oh, oh-oh-oh-oh  Oh, Gaby, Gaby  Tu devrais pas m'laisser la nuit  J'peux pas dormir, j'fais qu'des conneries  Oh Gaby, Gaby  Tu veux qu'je te chante la mer  Le long, le long, le long des golfes  Pas très clairs    Gaby  Gaby  Alors à quoi ça sert la frite si t'as pas les moules  Ça sert à quoi l'cochonnet si t'as pas les boules?    Oh, oh-oh-oh-oh    Ah-ah-ah, oh-oh-oh-oh"
6,Pas Question Que J'Perde le Feeling,3:54,"Je tapote nerveusement sur le volant  Je m'étire les jambes sur le siège avant  Je m'arrange un peu les valseuses  Dans le rétro, j'ai la raie douteuse    Une petite lapine dans son Austin  Me glisse en douce des regards de fouine  Encore une fille que j'épate  J'aurais dû mettre une cravate    Pas question que j'perde le feeling  Je me la prends et je la roule dans la farine  Suppose qu'un lascar veuille me doubler  J'arrive au poteau toujours bien coiffé    Je pianote dans mes bottes à bouts pointus  Sur la radio, je mets plus d'aigus  Encore un jet qui s'enflamme  C'est fou ce que j'ai la banane    Pas question que j'perde le feeling  Je me la prends et je la roule dans la farine  Suppose qu'un lascar veuille me doubler  J'arrive au poteau toujours bien coiffé    Entre la queue du tigre qui s'en balance  Et le Saint-Christophe pour la prudence  Y'a la photo de mes marmots  J'aurais dû rentrer plus tôt    Pas question que j'perde le feeling  Je me la prends et je la roule dans la farine  Suppose qu'un lascar veuille me doubler  J'arrive au poteau toujours bien coiffé    Une petite lapine dans son Austin  Me glisse en douce des regards de fouine  Encore une fille que j'épate  J'aurais dû mettre une cravate"
7,Y a un Yeti,2:37,Marcel dépêche-toi  Branche-moi la sirène  Je vois un type qui gaule  Une cassette d’Éric Charden  Heureusement qu'on est là  Pour faire respecter la loi    Il a des plumes partout  Et le teint basané  Je te parie ma paye  Que c'est un étranger  Heureusement qu'on est là  Pour faire respecter la loi    Y a un yéti dans le Monoprix  Y a un yéti    Tiens ça me fait penser  Faut que j'aille à la police  Faire renouveler ma vieille carte de milice  Ensuite on se retrouve chez moi  J'ai reçu un kilo de foie gras    Tu crois qu'on va l'avoir la guerre avec les frisés  La dernière fois j'ai pas pu résister  Mais c'est pas tout ça mon gars  Comment tu trouves mon calva    Y a un yéti dans le Monoprix  Y a un yéti    Marcel vise le vidéo  Nos gars lui mettent sur la gueule  Faudrait y aller  Vont pas y arriver seuls  Remarque pour un étranger  Je dois dire qu'il sait encaisser    Si c'est pas malheureux notre monde qui part en brioche  Marcel regarde-moi je vais pleurer c'est moche  Heureusement qu'on est là  Pour faire respecter la loi    Y a un yéti dans le Monoprix  Y a un yéti dans le Monoprix
8,Milliards de Nuits dans le Frigo., ,"Milliards de nuits dans l’frigo Entre l’jambon de la veille et les salades du jour  Et cett’lamp’ qui n’veut jamais la mettre en veilleuse   Milliards de nuits à m’les geler Sur un coeur de palmier et pas d’pirogue autour  Ma p’tit’ amie partie au ciné fair’ l'ouvreuse   Milliards de nuits mauvais shirt  J’suis p’têt’ allé m’fourrer dans une date limite  Dis, tu crois qu’j’suis encor’ bon, j’suis encor’ bon   J’veux pas finir comme un p’tit suisse  Qu'on balance dans un sac plastic  Y'a un boeuf de l'aut’ côté d’la rue  Et si j’suis pas au menu  Ce s’ra pour l'aut’ week-end   Milliards d'oiseaux pas très clairs  Qu'arrêtent pas d’me noter, faut pas qu’je tombe par terre  J’crie à l'aide dans l’microphone, dans l’microphone   Milliards de nibards sous les blouses  Comment veux-tu qu’je dorme, j'ai les mains qui ventousent  Va falloir que je cartonne, que je cartonne  J’veux pas finir comme un p’tit suisse  Qu'on balance dans un sac plastic  Y'a un boeuf de l'aut’ côté d’la rue  Et si j’suis pas au menu  Ce s’ra pour l'aut’ week-end  Milliards de nuits dans l’ frigo  Entre le jambon d’la veille et les salades du jour  Toujours pas fait mon beurre, jamais un radis   Milliards de nuits faut qu’j’m’excite On me prédit qu’le blé, l’amour, la réussite Ce s’ra pour l’aut’ week-end"
9,Gaby Oh Gaby.,3:55,"J'fais mon footing au milieu des algues et des coraux  Et j'fais mes pompes sur les restes d'un vieux cargo  J'dis bonjour, faut bien que j'me mouille  C'est ma dernière surprise partie j'm'écrase le nez au hublot  J'ai mon contrat d'confiance, l’encéphalo qui faut  J'ai du bol, j'en vois un qui rigole  Oh Gaby, Gaby  Tu devrais pas m'laisser la nuit  J'peux pas dormir, j'fais qu'des conneries  Oh Gaby, Gaby  Tu veux qu'j'te chante la mer  Le long, le long, le long des golfes  Pas très clairs    En r'gardant les résultats d'son check-up  Un requin qui fumait plus a rallumé son clop  Ça fait frémir  Faut savoir dire stop (stop)  Tu sais, tu sais c'est comme ce type qui voudrait que j'me soigne  Et qu'abandonne son clebs au mois d'août en Espagne  J'sens comme un vide  Remets-moi Johnny Kidd  Oh Gaby, Gaby  Tu devrais pas m'laisser la nuit  J'peux pas dormir, j'fais qu'des conneries  Oh Gaby, Gaby  Tu veux qu'j'te chante la mer  Le long, le long, le long des golfes  Pas très clairs    Gaby, j't'ai déjà dit qu't'es bien plus belle que Mauricette  Qu'est belle comme un pétard qu'attend plus qu'une allumette  Ça fait craquer  Au feu, les pompiers  Aujourd'hui c'est vendredi et j'voudrais bien qu'on m'aime  J'sens qu'j'vais encore finir chez Wanda et ses sirènes, et ses sirènes  Oh, oh-oh-oh-oh  Oh, Gaby, Gaby  Tu devrais pas m'laisser la nuit  J'peux pas dormir, j'fais qu'des conneries  Oh Gaby, Gaby  Tu veux qu'je te chante la mer  Le long, le long, le long des golfes  Pas très clairs    Gaby  Gaby  Alors à quoi ça sert la frite si t'as pas les moules  Ça sert à quoi l'cochonnet si t'as pas les boules?    Oh, oh-oh-oh-oh    Ah-ah-ah, oh-oh-oh-oh"
