,song,time,lyrics
0,Au Bois De Saint-Amand,1:39,"Y a un arbre, je m'y colle  Dans le petit bois de Saint-Amand  Je t'attrape, tu t'y colles  Je me cache, à toi maintenant    Y a un arbre, pigeon vole  Dans le petit bois de Saint-Amand  Où tournent nos rondes folles  Pigeon vole, vole, vole au vent    Dessus l'arbre, oiseau vole  Et s'envole, voilà le printemps  Y a nos quinze ans qui s'affolent  Dans le petit bois de Saint-Amand    Et sous l'arbre, sans paroles  Tu me berces amoureusement  Et dans l'herbe, jupon vole  Et s'envolent nos rêves d'enfants    Mais un beau jour, tête folle  Loin du petit bois de Saint-Amand  Et loin du temps de l'école  Je suis partie, vole, vole au vent    Bonjour l'arbre, mon bel arbre  Je reviens, j'ai le coeur content  Sous tes branches qui se penchent  Je retrouve mes rêves d'enfant    Y a un arbre, si je meurs   Je veux qu'on m'y couche doucement  Qu'il soit ma dernière demeure  Dans le petit bois de Saint-Amand  Qu'il soit ma dernière demeure  Dans le petit bois de Saint-A    Y a un arbre, pigeon vole  Mon cœur vole  Pigeon vole et s'envole  Y a un arbre, pigeon vole"
1,Bref,2:34,"La fille, pour son plaisir  Choisit le matelot  L'eau voulut des navires   Pour voguer à son eau  L'homme choisit la guerre   Pour jouer au soldat   Et partit pour la faire   Sur l'air de ""Ça ira""   Bref, chacun possédait   Ce qu'il avait souhaité    Moi, je voulais un homme   Ni trop laid, ni trop beau  Qui promènerait l'amour  Sur les coins de ma peau  Un homme qui, au petit matin  Me prendrait par la main   Pour m'emmener croquer   Un rayon de soleil  Moi, je voulais un homme    À chacun sa merveille   Et la vie, en passant   Un jour, me l'amena  Puis, la fille prit des coups   Par son beau matelot  La guerre, en plein mois d'août  Nous faucha le soldat  Le navire qui passait   Juste à ce moment-là  Le navire qui passait   Prit l'eau et puis coula  Bref, on ne sait pourquoi   Mais tout se renversa    Moi, je pris en plein cœur   Un éclat de son rire   Quand il jeta mon bonheur   Dans la fosse aux souvenirs  Je le vis s'en aller  Emportent mon soleil  Emportant mes étés  J'avais voulu un homme  J'aurais dû me méfier   Cette garce de vie   Un jour, me le reprit     Qu'importe si la vie   Nous donne et nous reprend   Puis-qu’ici-bas, tout n'est   Que recommencement   La fille, pour son plaisir  Reprendra des matelots  On refera des navires   Pour le ventre de l'eau  Y aura toujours des guerres   Pour jouer aux soldats   Qui s'en iront les faire   Sur l'air de ""Ça ira""    Eh ben moi, je reprendrai un homme  Pas de mal à ça  Un homme  Les hommes, j'aime ça  Un homme, un homme, un homme"
2,Chapeau Bas,2:21,"Est-ce la main de Dieu, Est-ce la main de Diable Qui a tissé le ciel De ce beau matin-là , Lui plantant dans le cÂœur Un morceau de soleil Qui se brise sur l'eau En mille éclats vermeils ?  Est-ce la main de Dieu, Est-ce la main du Diable Qui a mis sur la mer Cet étrange voilier Qui, pareil au serpent, Semble se déplier, Noir et blanc, sur l'eau bleue Que le vent fait danser ?  Est-ce Dieu, est-ce Diable Ou les deux à  la fois Qui, un jour, s'unissant, Ont fait ce matin-là  ? Est-ce l'un, est-ce l'autre ? Vraiment, je ne sais pas Mais, pour tant de beauté, Merci, et chapeau bas.  Est-ce la main de Dieu, Est-ce la main de Diable Qui a mis cette rose Au jardin que voilà  ? Pour quel ardent amour, Pour quelle noble dame La rose de velours Au jardin que voilà  ?   Et ces prunes éclatées, Et tous ces lilas blancs, Et ces groseilles rouges, Et ces rires d'enfants, Et Christine si belle Sous ses jupons blancs, Avec, au beau milieu, L'éclat de ses vingt ans ?  Est-ce Dieu, est-ce Diable Ou les deux à  la fois Qui, un jour, s'unissant, Ont fait ce printemps-là  ? Est-ce l'un, est-ce l'autre ? je ne sais pas Mais pour tant de beauté, Merci, et chapeau bas !  Le voilier qui s'enfuit, La rose que voilà  Et ces fleurs et ces fruits Et nos larmes de joie... Qui a pu nous offrir Toutes ces beautés-là  ? Cueillons-les sans rien dire. Va, c'est pour toi et moi !  Est-ce la main de Dieu Et celle du Malin Qui, un jour, s'unissant, Ont croisé nos chemins ? Est-ce l'un, est-ce l'autre ? Vraiment, je ne sais pas Mais pour cet amour-là  Merci, et chapeau bas!...  Mais pour toi et pour moi Merci, et chapeau bas"
3,La Complainte des Filles de Joie,2:58,"Bien que ces vaches de bourgeois  Bien que ces vaches de bourgeois  Les appellent des filles de joie  Les appellent des filles de joie  C’est pas tous les jours qu’elles rigolent  Parole, parole  C’est pas tous les jours qu’elles rigolent.    Car même avec des pieds de grue  Car même avec des pieds de grue  Faire les cent pas le long des rues  Faire les cent pas le long des rues  C’est fatigant pour les guiboles  Parole, parole  C’est fatigant pour les guiboles    Non seulement elles ont des cors  Non seulement elles ont des cors  Des œils de perdrix mais encore  Des œils de perdrix mais encore  C’est fou ce qu’elles usent de groles  Parole, parole  C’est fou ce qu’elles usent de groles.    Y’a des clients, y’a des salauds  Y’a des clients, y’a des salauds  Qui se trempent jamais dans l’eau  Qui se trempent jamais dans l’eau  Faut pourtant qu’elles les cajolent  Parole, parole  Faut pourtant qu’elles les cajolent.    Qu’elles leur fassent la courte échelle  Qu’elles leur fassent la courte échelle  Pour monter au septième ciel  Pour monter au septième ciel  Les sous croyez pas qu’elles les volent  Parole, parole  Les sous croyez pas qu’elles les volent    Elles sont méprisées du public  Elles sont méprisées du public  Elles sont bousculées par les flics  Elles sont bousculées par les flics  Et menacées de la vérole  Parole, parole  Et menacées de la vérole    Bien qu’toute la vie elles fassent l’amour  Bien qu’toute la vie elles fassent l’amour  Qu’elles se marient vingt fois par jour  Qu’elles se marient vingt fois par jour  La noce est jamais pour leur fiole  Parole, parole  La noce est jamais pour leur fiole    Fils de pécore et de minus  Fils de pécore et de minus  Ris pas de la pauvre Vénus  Ris pas de la pauvre Vénus  La pauvre vieille casserole  Parole, parole  La pauvre vieille casserole    Il s’en fallait de peu mon cher  Il s’en fallait de peu mon cher  Que cette putain ne fût ta mère  Que cette putain ne fût ta mère  Cette putain dont tu rigoles  Parole, parole  Cette putain dont tu rigoles."
4,Mes Hommes,5:30,"Ils marchent le regard fier,  Mes hommes,  Moi devant, et eux derrière,  Mes hommes  Et si j'allonge le pas,  Ils me suivent pas à pas.  Je leur échappe pas,  Mes hommes, mes hommes.    Où que je sois, ils sont là,  Mes hommes.  Je n'ai qu'à tendre les bras,  En somme.  Je les regarde venir,  Fière de leur appartenir.  C'est beau de les voir sourire,  Mes hommes.    Moi qui suis fille des brumes,  En somme,  De la nuit et de la lune,  Tout comme,  Quand j'arrive, le teint clair,  Moi devant et eux derrière,   Je comprends bien que les gens   S'étonnent, s'étonnent     Car, ils viennent de Tunisie,   Mes hommes,   Marseille, Toulon, le Midi,   Mes hommes.  Ils marchent avec insolence,  Un petit rien dans la hanche.  Ça ressemble à une danse,  Mes hommes.    Ils ne m'appellent Madame,  Mes hommes  Mais, tendrement, ils me nomment  Patronne.  Ils se soumettent à ma loi.  Je me soumets à leur loi.  Que c'est doux d'obéir  A mes hommes.     Tout d'amour et de tendresse,   Mes hommes,  M'ont fait une forteresse,  Mes hommes.  Non, vous ne passerez pas.  C'est à eux, n'y touchez pas.  Ils sont violents, quelquefois,  Mes hommes, mes hommes.    Ils se sont fait sentinelles,  Mes hommes.  Ils pourraient être cruels,  Mes hommes.  Ils me veillent, comme moi  Je les veille quelquefois.  Moi pour eux, et eux pour moi,  Mes hommes.    Quand naissent les premières feuilles  D'automne,  Quand le chagrin se fait lourd,  Mes hommes,  Vont se mettre, sans un mot,  Debout autour du piano  Et me disent tendrement,  Patronne, patronne.    C'est fou comme ils sont heureux,  Mes hommes,  Quand le son du piano noir  Résonne.  Ils vont faire leurs bagages   Et on reprend le voyage.   Faut qu'ils voient du paysage,  Mes hommes.    Quand descend la nuit furtive,  Mes hommes.  A pas de loup, ils s'esquivent.  Personne.  Ils vont chasser dans la nuit.  Bergers, gardez vos brebis  Qui ont le goût et l'envie,  Des hommes, des hommes    Car, de la blonde à la rousse,  Mes hommes,  Ils vont coucher leur peau douce,  Mes hommes  Et repartent dans la nuit,  Courtois, mais pas attendris  Quand ils ont croqué le fruit,  La pomme.    Ils reviennent au matin,  Mes hommes,  Avec des fleurs dans les mains,  Mes hommes  Et restent là, silencieux,  Timides, baissant les yeux  En attendant que je leur  Pardonne.    Ils ont installé mon lit,  Mes hommes,  Au calme d'une prairie,  Mes hommes.  Je peux m'endormir à l'ombre.  Ils y creuseront ma tombe  Pour la longue nuit profonde  Des hommes, des hommes.    Pas de pleurs, pas une larme,  Mes hommes,  Je n'ai pas le goût du drame,  Mes hommes,  Continuez, le regard fier.  Je serai là, comme hier,  Vous devant, et moi derrière,  Mes hommes."
5,Mon Enfance,3:22,"J'ai eu tort, je suis revenue dans cette ville loin perdue ou j'avais passe mon enfance. J'ai eu tort, j'ai voulu revoir le coteau ou glissaient le soir bleus et gris ombres de silence. Et je retrouvais comme avant, longtemps apres, le coteau, l'arbre se dressant, comme au passe. J'ai marche les tempes brulantes, croyant etouffer sous mes pas. Les voies du passe qui nous hantent et reviennent sonner le glas. Et je me suis couchee sous l'arbre et c'etaient les memes odeurs. Et j'ai laisse couler mes pleurs, mes pleurs. J'ai mis mon dos nu a l'ecorce, l'arbre m'a redonne des forces tout comme au temps de mon enfance. Et longtemps j'ai ferme les yeux, je crois que j'ai prie un peu, je retrouvais mon innocence. Avant que le soir ne se pose j'ai voulu voir les maisons fleuries sous les roses, j'ai voulu voir le jardin ou nos cris d'enfants jaillissaient comme source claire. Jean-Claude, Regine, et puis Jean - tout redevenait comme hier - le parfum lourd des sauges rouges, les dahlias fauves dans l'allee, le puits, tout, j'ai tout retrouve. Helas La guerre nous avait jete la, d'autres furent moins heureux, je crois, au temps joli de leur enfance. La guerre nous avait jetes la, nous vivions comme hors la loi. Et j'aimais cela. Quand j'y pense ou mes printemps, ou mes soleils, ou mes folles annees perdues, ou mes quinze ans, ou mes merveilles - que j'ai mal d'etre revenue - ou les noix fraiches de septembre et l'odeur des mures ecrasees, c'est fou, tout, j'ai tout retrouve. Helas Il ne faut jamais revenir aux temps caches des souvenirs du temps beni de son enfance. Car parmi tous les souvenirs ceux de l'enfance sont les pires, ceux de l'enfance nous dechirent. Oh ma tres cherie, oh ma mere, ou etes-vous donc aujourd'hui? Vous dormez au chaud de la terre. Et moi je suis venue ici pour y retrouver votre rire, vos coleres et votre jeunesse. Et je suis seule avec ma detresse. Helas Pourquoi suis-je donc revenue et seule au detour de ces rues? J'ai froid, j'ai peur, le soir se penche. Pourquoi suis-je venue ici, ou mon passe me crucifie? Elle dort a jamais mon enfance. __________________________________________________________________________________________ I was wrong, I'm back in this city far lost or I spend my childhood. I was wrong, I wanted to review the slope and slid the evening blue and gray shadows of silence. And I found as before, long after, the hillside, the tree standing, as the password. I walk the temples challenge, believing stifle under my feet. The ways of the past haunt us and return sound the death knell. And went to sleep under the tree and it was the same odor. And I let my tears flow, my tears. I put my bare back to the bark, the tree gives me forces as at the time of my childhood. I have long and close your eyes, I think I prayed a little, I found my innocence. Before the evening arises I wanted to see Houses under the pink flowers, I wanted to see garden or the cries of our children jaillissaient source clear. Jean-Claude, Regine, and then Jean -- everything reverts as yesterday -- the heavy scent of red sages, dahlias fawn in the Aisle, well, everything I have found. Helas The war we had thrown it, others were less fortunate, I think, nice time of their childhood. The war we had thrown it, we lived as outlaws. And I liked that. When I think of or my spring, or my suns, or my crazy years lost or my fifteen years, or my wonders -- I badly to be returned -- nuts or fresh in September and the smell of ripe crushed it's crazy, everything I have found. Helas Never return times caches memories Nami time of his childhood. Because of all the memories those children are the worst, Children of those we tear. Oh my very dear, oh my mother, or are you then today? You sleep warm the earth. And I've come here to find your laughter, your anger and your youth. And I'm alone with my distress. Helas Why am I therefore revenue and only to detour these streets? I am cold, I fear, the evening looks. Why am I came here, or crucified me my password? It has never sleeps my childhood."
6,Pierre,4:07,"Il pleut  Il pleut  Sur les jardins alanguis  Sur les roses de la nuit  Il pleut des larmes de pluie  Il pleut  Et j'entends le clapotis  Du bassin qui se remplit  Oh mon Dieu, que c'est joli  La pluie    Quand Pierre rentrera  Il faut que je lui dise  Que le toit de la remise  A fui  Il faut qu'il rentre du bois  Car il commence à faire froid  Ici    Oh, Pierre  Mon Pierre    Sur la campagne endormie  Le silence et puis un cri  Ce n'est rien, un oiseau de la nuit  Qui fuit  Que c'est beau cette pénombre  Le ciel, le feu et l'ombre  Qui se glisse jusqu'à moi  Sans bruit    Une odeur de foin coupé  Monte de la terre mouillée  Une auto descend l'allée  C'est lui    Oh, Pierre  Pierre"
7,La Solitude,2:48,"Je l'ai trouvée devant ma porte  Un soir, que je rentrais chez moi  Partout, elle me fait escorte  Elle est revenue, elle est là  La renifleuse des amours mortes  Elle m'a suivie, pas à pas  La garce, que le Diable l'emporte   Elle est revenue, elle est là     Avec sa gueule de carême   Avec ses larges yeux cernés  Elle nous fait le coeur à la traîne  Elle nous fait le coeur à pleurer  Elle nous fait des matins blêmes   Et de longues nuits désolées  La garce ! Elle nous ferait même   L'hiver au plein coeur de l'été    Dans ta triste robe de moire   Avec tes cheveux mal peignés  T'as la mine du désespoir  Tu n'es pas belle à regarder  Allez, va t-en porter ailleurs   Ta triste gueule de l'ennui  Je n'ai pas le goût du malheur  Va t-en voir ailleurs si j'y suis     Je veux encore rouler des hanches  Je veux me saouler de printemps  Je veux m'en payer, des nuits blanches  A coeur qui bat, à coeur battant  Avant que sonne l'heure blême   Et jusqu'à mon souffle dernier  Je veux encore dire je t'aime  Et vouloir mourir d'aimer    Elle a dit Ouvre-moi ta porte  Je t'avais suivie pas à pas  Je sais que tes amours sont mortes  Je suis revenue, me voilà  Ils t'ont récité leurs poèmes  Tes beaux messieurs, tes beaux enfants  Tes faux Rimbaud, tes faux Verlaine  Eh ! bien, c'est fini, maintenant    Depuis, elle me fait des nuits blanches  Elle s'est pendue à mon cou  Elle s'est enroulée à mes hanches  Elle se couche à mes genoux  Partout, elle me fait escorte   Et elle me suit, pas à pas  Elle m'attend devant ma porte  Elle est revenue, elle est là  La solitude, la solitude"
8,Fragson,2:40,"Allez savoir pourquoi, au piano, ce jour-là, Y avait une musique sur le bout de mes doigts, Une musique. Allez savoir pourquoi, les pianos jouent parfois De drôles de musiques sur le bout de nos doigts. Allez savoir, pourquoi.  Dans le salon vieil or où j'aime travailler Tout en regardant vivre mes objets familiers, Je jouais, jouais Pendant que, sur mon mur, dansait la Loie Fuller, Sous l'?il énamouré et l'air patibulaire De Fragson, Fragson.  Allez savoir pourquoi, il existe des nuits Où, sous un ciel de soie, des papillons de nuit Volent, multicolores. Allez savoir pourquoi, mais c'était une nuit Où, seule à mon piano, j'étais au paradis Quand tout à coup, venu de ta planète, Le téléphone sonne sur mon île déserte Et c'était toi, ô toi.  Allô, allô, mon c?ur, me murmurait ta voix. Je n'étais pas ton c?ur et c'était une erreur Mais, je n'ai pas raccroché Et tu n'as pas raccroché Et si je n'ai jamais su qui tu cherchais, J'ai tout de même compris que l'on s'était trouvés Et, depuis ce jour-là où tu l'as découverte, Tu es le Robinson de mon île déserte, Tu es le Robinson de mon île déserte Parce qu'un jour, un piano, allez savoir pourquoi, Jouait une musique sur le bout de mes doigts, Une musique, Parce qu'un jour, un piano, Un piano, un piano... ======================================================= (ENGLISH VERSION)  Who knows why, at the piano that day, There was music on the tips of my fingers, Music. Who knows why, sometimes play piano Strange music on the tips of our fingers. Who knows why.  In the old gold salon where I work While watching live my familiar objects, I played, played While on my wall in the Loie Fuller, Under the eye énamouré and air patibulaire From Fragson, Fragson.  Who knows why there are nights Where, under a sky of silk moths Fly, multicolored. Who knows why, but it was a night Which only my piano, I was in paradise When suddenly come to your planet, The phone rings on my desert island And it was you, O you.  Hello, hello, my heart, I whisper to your voice. I was not your heart and it was a mistake But I did not hang And you do not hang And if I never knew who you were looking for, I even realized that we had found And since that day where you have discovered, You are the Robinson of my desert island, You are the Robinson of my desert island Because one day, a piano, who knows why, Music played on the tips of my fingers, Music, Because one day, a piano, A piano, a piano ..."
9,Dis Quand Reviendras-Tu? (Chanté Par le Public),2:05,"Voilà combien de jours, voilà combien de nuits  Voilà combien de temps que tu es reparti  Tu m'as dit cette fois, c'est le dernier voyage  Pour nos cœurs déchirés, c'est le dernier naufrage  Au printemps, tu verras, je serai de retour  Le printemps, c'est joli pour se parler d'amour  Nous irons voir ensemble les jardins refleuris  Et déambulerons dans les rues de Paris    Dis, quand reviendras-tu?  Dis, au moins le sais-tu?  Que tout le temps qui passe ne se rattrape guère  Que tout le temps perdu  Ne se rattrape plus    Le printemps s'est enfui depuis longtemps déjа  Craquent les feuilles mortes, brûlent les feux de bois  À voir Paris si beau dans cette fin d'automne  Soudain je m'alanguis, je rêve, je frissonne  Je tangue, je chavire, et comme la rengaine  Je vais, je viens, je vire, je me tourne, je me traîne  Ton image me hante, je te parle tout bas  Et j'ai le mal d'amour, et j'ai le mal de toi    Dis, quand reviendras-tu?  Dis, au moins le sais-tu?  Que tout le temps qui passe ne se rattrape guère  Que tout le temps perdu  Ne se rattrape plus    J'ai beau t'aimer encore, j'ai beau t'aimer toujours  J'ai beau n'aimer que toi, j'ai beau t'aimer d'amour  Si tu ne comprends pas qu'il te faut revenir  Je ferai de nous deux mes plus beaux souvenirs  Je reprendrai la route, le monde m'émerveille  J'irai me réchauffer à un autre soleil  Je ne suis pas de celles qui meurent de chagrin  Je n'ai pas la vertu des femmes de marins    Dis, mais quand reviendras-tu?  Dis, au moins le sais-tu?  Que tout le temps qui passe ne se rattrape guère  Que tout le temps perdu  Ne se rattrape plus"
