,song,time,lyrics
0,Les Amantsw/ Édith Piaf, ,"LES AMANTS  Quand les amants entendront cette chanson C'est sûr ma belle, c'est sûr qu'ils pleureront Ils écout'ront les mots d'amour que tu disais Ils entendront ta voix d'amour quand tu m'aimais Quand tu croyais Que tu m'aimais Que je t'aimais Que l'on s'aimait Quand les amants entendront cette chanson C'est sûr ma belle c'est sûr qu'ils pleureront.  COUPLET (Récitatif)  J'entends toujours, j'entends ton rire Quand quelque fois je te disais si un jour tu ne m'aimais plus Si un jour je ne t'aimais plus Tu répondais c'est impossible Et tu riais, et tu riais Et bien tu vois, tu n'aurais pas dû rire  Quand les amants entendront cette chanson C'est sûr ma belle, c'est sûr qu'ils pleureront Ils écout'ront les mots d'amour que tu disais Ils entendront ta voix d'amour quand tu m'aimais Quand tu croyais Que tu m'aimais Que je t'aimais Que l'on s'aimait Quand les amants entendront cette chanson C'est sûr ma belle c'est sûr qu'ils pleureront."
1,Eteins La Lumière,3:45,"Éteins la lumière Viens contre mon coeur Que mes bras te serrent Prennent ta tiédeur Que la nuit entière Nous comble de joie Éteins la lumière Rampe contre moi  Éteins la lumière Tire les rideaux Coule sur la terre Faible de ma peau Deviens la rivière La source d'amour Qui me désaltère Jusqu'au petit jour A l'heure où tout sombre Et devient murmure A l'heure où les ombres  Se collent au mur Dans la chambre sombre Mordons dans le fruit De ces joies sans nombre Qui vivent la nuit  Éteins la lumière Love-toi sur moi Que l'amour éclaire Nos tendres ébats Et nous pourrons faire Détachés du temps Le doux inventaire De nos sentiments  Éteins la lumière Dans l'obscurité Mes mains qui te serrent Vont remodeler Ton front, tes paupières Tes lèvres et ton cou Éteins la lumière La nuit est à nous  Éteins la lumière Couvre nos folies D'un peu de mystère D'un peu de magie Laisse tes chimères Sombrer tendrement Dans l'aimable guerre Que font les amants  A l'heure où les choses Semblent délaissées A l'heure où la rose Attend la rosée Le bonheur propose Ses rêves pour deux Et l'amour s'impose Pour les amoureux  Éteins la lumière Pour dans la grandeur Extraordinaire De notre bonheur N'être que matière N'être que pensée Éteins la lumière Viens, on va s'aimer"
2,Quand Tu Vas Revenir,2:10,"Quand tu vas revenir Tout va refleurir Et je vais renaître Quand au bout du chemin Me tendant les mains Tu vas apparaître Moi je vais courir, courir Sur la route Me jeter dans tes bras Sur la route Me serrer contre toi Et sans doute Rire et pleurer de joie Joie de t'avoir enfin Pour ces lendemains Qui se désespèrent Joies de te retrouver Et de te garder Pour ma vie entière Quand l'amour reviendra  Que l'on entendra A nouveaux des rires Mon coeur au bois dormant S'éveillera quand Tu vas revenir Quand tu vas revenir Bâtir l'avenir Qui dort dans nos têtes Quand tu vas pour toujours Donner à l'amour Un air de conquête Moi je vais crier, crier Que je t'aime Pour que tu saches bien Que je t'aime Et dire à mon destin Que tu m'aimes Puisque tu me reviens Viens, viens toi pour qui les nuits J'implore et je prie La force éternelle Viens crever l'horizon Vers notre maison Où j'attends fidèle Car pour combler mon coeur Je veux le meilleur J'ai vécu le pire Mes maux et mes tourments S'effondreront quand Tu vas revenir"
3,Ne Dis Rien,2:13,"Ne dis rien   Mais reste contre moi encore   Ne dis rien   Mais laisse-moi serrer ton corps   Que j'adore   Ne dis rien   Et si tu vois poindre l'aurore   Ne dis rien   Oublie tout on est trop bien     On est trop bien dans le silence   Avec les gestes de l'amour   Trop bien pour reprendre conscience   Avec le jour   Demain commence la semaine   Qui nous verras compter les nuits   Avant que la vie nous ramène   Au paradis     Ne dis rien   Mais reste contre moi encore   Ne dis rien   Mais laisse-moi serrer ton corps   Que j'adore   Ne dis rien   Et si tu vois poindre l'aurore   Ne dis rien   Oublie tout on est trop bien     On est trop bien l'un contre l'autre   Au bout du monde bien caché   Dans l'univers qu'on a fait nôtre   Pour mieux s'aimer   Pour mieux s'aimer à tête folle   À cœur troublé, à corps perdu   Sans échanger une parole   Superflue     Ne dis rien   Mais reste contre moi encore   Ne dis rien   Mais laisse-moi serrer ton corps   Que j'adore   Ne dis rien   Et si tu vois poindre l'aurore   Ne dis rien   Oublie tout on est trop bien"
4,Si tu m'emportes,2:22,"Si tu m'emportes dans le torrent de joies De la jeunesse qui s'éveille et parle en toi Je pourrai sans mesure Me baigner dans l'eau pure Et blanche de ton corps  Si tu m'emportes dans ton printemps nouveau J'y cueillerai la fleur sauvage de ta peau Avant que de m'étendre Au jardin des mots tendres Et fort comme la mort  Rien que toi et moi La nuit, le jour Rien que toi et moi Et pour toujours Rien que toi et moi Nous et notre amour Nous et notre amour  Si tu m'emportes sur le bateau léger De tes espoirs et de tes rêves insensés J'amènerai la voile Et nous ferons escale Aux rives du bonheur  Si tu m'emportes dans le désert brûlant Où naissent les folies de ton âme d'enfant J'y bâtirai un monde Pour qu'à chaque seconde On vive coeur à coeur  Rien que toi et moi La nuit, le jour Rien que toi et moi Et pour toujours Rien que toi et moi Nous et notre amour Nous et notre amour  Mais que tu m'emportes vers le printemps, la mer Dans le torrent de tes idées ou le désert Qu'importe où tu m'emportes, mais verrouilles la porte Et viens, viens contre moi Emporte-moi"
5,C'Est Fini,2:44,Je ne peux détacher  Mes yeux de ton visage  Et ne peux m'empêcher  De penser à demain  Qui s'annonce déjà  Comme un mauvais orage  Qui lavera nos rires  A l'eau de mon chagrin    J'ai le cœur déchiré  Et j'ai mal de comprendre  Que les mots que tu dis  Veulent tous dire adieu  Je regarde sans voir  J'écoute sans entendre  Le chagrin me surprend  Debout silencieux    Je rêve de passé  Quand le présent t'emporte  Qu'il ne me reste plus  Qu'à te serrer la main  Je voudrais la garder  Mais nos amours sont mortes  A deux pas de mon cœur  Tu es déjà si loin    C'est fini fini fini fini fini fini fini    Se peut-il qu'un bonheur  Qui tenait tant de place  Et donnait tant de joie  Disparaisse à jamais  Effaçant de ta vie  Même jusqu'à la trace  Du moindre souvenir  Que l'amour nous a fait    Je ne sais comment faire  Et je ne sais que dire  Je veux paraître fort  Une dernière fois  Les larmes au coin des yeux  Je me force à sourire  D'un sourire forcé  Qui ne te trompe pas    Trop lâche pour mourir  Bien qu'effrayé de vivre  Je compte sur l'oubli  Pour trouver le repos  Il faudra m'habituer  Dans les années à suivre  A des jours sans ta voix  A des nuits sans ta peau    C'est fini fini fini fini fini fini fini
6,Une Enfant,3:41,"Une enfant,  Une enfant de seize ans,  Une enfant du printemps,  Couché sur les chemins.    Elle vivait dans un de ces quartiers  Ou tout le monde riche a crevé.  Elle avait quitté ses parents  Pour suivre un garçon, un bohème,  Qui savait signer et dire je t'aime,  Et sans que ça devenait bouleversant,  Et leur cœurs parait-il sans laisser d'adresse,  Emportant juste la jeunesse  Et le douceur de leur pêché.    Une enfant    Leurs cœurs n'avaient pas le saison  Et ne voulaient pas de prison.  Tout de vivait au jour de jour,  Restant jamais à la même place.  Leurs cœurs avaient besoin d'espace  Pour contenir un tel amour.  Son présent comme son futur,  C'était cet amour magnifique,  Qu'il avait refait un cantique  Et perdit ses yeux dans l'azure.    Une enfant    Mais son amour était trop grande,  Trop grande pour l'âme d'une enfant.  Elle ne vivait que par son cœur  Et son cœur faisait un monde,  Mais Dieu n'acceptait pas le monde  Quand Il n'est pas le créateur.  L'amour était leur seul festin  Et la guitare pour quelques miettes,  Alors sa vie bâtit en retraite  Et puis l'enfant connaît la fin.    Une enfant,  Une enfant de seize ans,  Une enfant, un printemps,  Couché sur le chemin."
7,A T'Regarder,2:23,"Tout le jour tu es loin de moi   Mais lorsque tombe la nuit   Que tu viens dormir près de moi   J'oublie toute ma vie   Quand se ferment sur notre amour   Les portes de ton sommeil   En moi que de tourments s'éveillent     À t'regarder   J'ai le cœur qui soupire   J'voudrais crier, sangloter ou bien rire   À t'regarder   Je sens comme une angoisse   Si tu savais ce que tu tiens de place     À t'regarder   J'ai le cœur qui chavire   Et mes pensées me font mal   Me déchirent   Si tu devais rêver à quelqu'un d 'autre   Et partager ces joies qui sont les nôtres     À t'regarder   Quand la peur me domine   Pour libérer   Ce cri de ma poitrine   J'veux t'éveiller   Te voir de venir blême   Et m'effondrer   En te criant   Je t'aime"
8,A Tout Jamais,2:37,"Quand nous aurons fermé les yeux   À tout jamais, à tout jamais   À l'instant du dernier adieu   J'en aurai encore du regret   J'en aurai encore du remords   Et partirai avec ma peine   Et pour peu que je me souvienne   Ce mal n'en sera que plus fort   Car nous avons fermé nos cœurs   À tout jamais, à tout jamais   Pour remplacer tant de bonheur   Par du chagrin et des regrets     Lorsque les siècles bout à bout   À tout jamais, à tout jamais   Aurons mis le passé sur nous   Et que l'oubli sera complet   S'il reste encore une lueur   S'il reste encore un rien de flamme   Sous la cendre tiède de l'âme     Qui paraît-il jamais ne meurt   Pour trouver le calme infini   À tout jamais, à tout jamais   Tout comme au temps de notre vie   Mon amour je te chercherai   T'appellerai   Te trouverai   Te garderai   À tout jamais"
9,Retiens la nuit,4:00,"Retiens la nuit  Pour nous deux jusqu'à la fin du monde  Retiens la nuit  Pour nos cœurs, dans sa course vagabonde    Serre-moi fort  Contre ton corps  Il faut qu'à l'heure des folies  Le grand amour  Raye le jour  Et nous fasse oublier la vie    Retiens la nuit  Avec toi elle paraît si belle  Retiens la nuit  Mon amour qu'elle devienne éternelle    Pour le bonheur  De nos deux cœurs  Arrête le temps et les heures  Je t'en supplie  A l'infini  Retiens la nuit    Ne me demande pas d'où me vient ma tristesse  Ne me demande pas que tu ne comprendrais pas  En découvrant l'amour je frôle la détresse  En croyant au bonheur la peur entre mes joies    Serre-moi fort  Contre ton corps  Il faut qu'à l'heure des folies  Le grand amour  Raye le jour  Et nous fasse oublier la vie    Retiens la nuit  Avec toi elle paraît si belle  Retiens la nuit  Mon amour qu'elle devienne éternelle    Pour le bonheur  De nos deux cœurs  Arrête le temps et les heures  Je t'en supplie  A l'infini  Retiens la nuit"
