,song,time,lyrics
0,Un Ecureuil a Central Park,10:36,"Comédie musicale en trois actes et dix sept tableaux  Décor Un châtaignier de Central Park  Coco Bel oeil soupire après Gerbe de feu, la belle écureuille    Je bande dessinée pour une jeune écureuille  qui me snobe un peu en m'roulant de l'oeil  mais oh! là là, oh! là là, oh! là là ma jolie  je ne suis pas Disney de la dernière pluie  moi c'est du sérieux  et d'abord vise ma queue  quel panache  Et que penses tu de mes moustaches?  belle Gerbe de Feu  et que dis tu de mes noisettes?  y en a pas trois, y en a que deux  pointure fillette  c'est le nectar de Central Park  Gerbe de Feu, ma Jeanne d'Arc  je serai ton Robin des Bois  que tu le veuilles ou pas    Gerbe de Feu, l'écureuille    Casse toi, dit l'écureuille  Coco Bel oeil dégage  t'es qu'un blaireau à barbe  Coco Bel oeil casse toi  mais oh! là là, oh! là là, oh! là là  j'rêve ou quoi?  on dirait qu't'es sorti  d'un cartoon d'Tex Avery  Moi, je mouille pour une mouette  qui t'a une autre silhouette  c'est une mouette poète  Elle perche au sommet de l'Empire State Building  tu vois l'standing  Ascenseur particulier  je te laisse à tes châtaigniers  oh! là là!  Quand ma mouette descend du ciel  On dirait Superman  Elle me prend sous son aile    Et l'on survole Manhattan  En s'roulant des pelles  Hou! là là, hou! là là     Deuxième acte. Même décor sous la lune    Rongée de jalousie  Coco Bel oeil se mite  Dans Central Park la nuit  les carottes sont cuites  ah! là là ah là là  quel affront  l'épouvantable garce  Ah! si j'étais King Kong  ah! oui si j'étais King Kong, King Kong  je grimperais sur la terrasse  de son gratte ciel à la Kong  King Kong King Kong  pour lui cueillir à ma manière  un p'tit bouquet d'hélicoptères  hou! là là, hou! là là    Troisième acte    l'enchanteur, le magicien de Central Park, Merlin le Noir  passait par là. Il entendit cette supplique  et d'un coup de sa canne magique, il l'exauça    Et nous retrouvons au final  de cette comédie musicale  Coco Bel oeil, Gerbe de Feu  trinquant un drink ou deux  là haut, en haut des nids  de la Cinquième Avenue  oh! là là, oh! là là  Gerbe de Feu est tout émue  oh! là là  et depuis  elle me fait mouette mouette  je lui fais mouette mouette  on se fait mouette mouette  et puis ça y est"
1,Il Faut Tourner La Page,4:27,"Il faut tourner la page  Changer de paysage  Le pied sur une berge  Vierge    Il faut tourner la page  Toucher l'autre rivage  Littoral inconnu  Nu    Et là, enlacer l'arbre  La colonne de marbre  Qui fuse dans le ciel  Tel    Que tu quittes la terre  Vers un point solitaire  Constellé de pluriel    Il faut tourner la page  Redevenir tout simple  Comme ces âmes saintes  Qui disent dans leurs yeux  Mieux    Que toutes les facondes  Des redresseurs de monde  Des faussaires de  Dieu    Il faut tourner la page  Jeter le vieux cahier  Le vieux cahier des charges  Oh ! yeah !    Il faut faire silence  Traversé d'une lance  Qui fait saigner un sang  Blanc    Il faut tourner la page  Aborder le rivage  Où rien ne fait semblant  Saluer le mystère  Sourire    Et puis se taire"
2,Le Gardien de Phare,5:00,"Le gardien de phare est rond Et son phare son phare Son phare ne tourne plus rond Le gardien de phare est rond L'a trop fêté l'réveillon Tout seulâbre sur son arbre Planté dans le court bouillon Le gardien de phare est rond Y s'prend pour un pharaon Pyramides humides Bandelettes en ébullition Il jette un drôle de rayon Le gardien de phare est rond Alors gare le cigare Et gare aux petits galions Près des récifs de Cromagnon  Ça fait trop longtemps qu'il est là Sur son rocher brisé de vagues Et qu'il regarde dans le vague Sa sirène de cinéma C'est une affiche d'Ava Gardner Scotchée au mur grandeur nature Il faut qu'il prenne une biture Pour qu'elle prenne des couleurs Et du relief en peau de satin Faite au moule, viens poupoule Pour mieux l'avoir sous la main Il a carrément tout éteint  "" Bon Dieu, qu'est c'qu'il fout ce con ! Plus de phare, on s'égare On s'effare dans l'entrepont Le gardien de phare est rond Ça y est, on boit le bouillon Ça bascule, bulles, bulles Naufrages et perditions Dans les récifs de Cromagnon ! ""  Ne survivra qu'Eva Palmer La légendaire piratesse Qui se cogne un crawl de diablesse Vers le rocher du phare amer La fureur lui donne des ailes Elle veut la peau de ce bandit Devant le phare elle bondit Nom de Neptune, qu'elle est belle !  Elle grimpe le colimaçon Abordage, carnage Elle casse à coups de talon La porte, la serrure, les gonds Et que voit elle, mille millions Mille millions de sabordeu Un mec en adoration Devant un poster, mais non Mais si, c'est elle, quelle question ! C'est bien elle là devant elle Ava Gardner, Eva Palmer Jumelles gouttes d'eau de mer  L'gardien ouvre des yeux ronds Bouche béante, la géante Le prend dans ses avirons Allez ! pantalons, caleçons Ça vole dans les environs Eh balèze ! on baise Le phare est en érection Comme une fusée à réaction Il s'arrache dans un tourbillon À la terre sédentaire Et dans les constellations Il plonge jusqu'au trognon  C'est ainsi, mesdames et messieurs, Qu'est née la comète de Halley Vous avez tout pigé, c'est vu ? non ? Allez, on reprend du début  Le gardien de phare est rond Et son phare son phare Son phare ne tourne plus rond..."
3,Le Petit Oiseau de Marrakech,5:05,"Le p'tit oiseau de Marrakech  A tous les jours toujours l'haleine fraîche Quand il s'éveille réjoui Il fait pipi et il pépie  Vous dire en deux mots ce qu'il dit ?... Je n'entends goutte à son dialecte Il appartient à une secte Trop près du ciel sans sauf conduit Sachez toujours qu'il fait tutut Et tututut dans le silence La symphonie d'oiseaux commence Sur ce poids plume de la flûte L'arbre s'embrase de gosiers Bruyants de contre chants, de fugues Le paradis fait une fugue Sur Marrakech il s'est posé  Il est tout neuf, tout gai, tout vif Radieusement primitif Il a fixé son port d'attache À dix pieds du plancher des dattes Ensuite l'homme reprendra Du poil de la bête : Moteur ! Cours du dollar, goût de l'horreur Qu'il soit nu tête ou en chéchia Le p'tit oiseau de Marrakech Assis sur son tapis de feuilles Attendra que le Bon Dieu veuille Ôter le noyau de la pêche Il soupera d'un ver luisant En tête à tête à la fauvette Puis galipettes et navettes Pour célébrer le jour suivant Et se coucher dans le couchant Et quand la nuit se met à poil À vous renverser de vertige Il dormira entre deux tiges Les bras croisés sur une étoile  Le p'tit oiseau de Marrakech A tous les jours d'amour l'haleine fraîche Quand il s'éveille réjoui Il fait pipi et il pépie"
4,Rythm'flouze,4:14,L'compte en banque à zéro Ton jazz band bande velpeau Tu t'sens mal dans ta peau Y a d'la mouise dans ton show Ton showbiz tomb' de haut Alaska météo  Aïe rythm'flouze Aïe rythm'flouze  Y a du gaz dans ton eau Plus qu'ta peau sur les os Désolant mélodrame S.O.S. à Soho Pauvre mélomane T'as plus qu'ton walkman  Al Jarreau Fais moi ton bel canto Tiens moi l'oreille au chaud ou j'cane Chaka Khan Sors moi d'la bouse Du rythm'flouze  Tout s'en va à vau l'eau À vue d'œil t'es K. O. Tu titubes sur tes cannes Y t'faudrait un micro Pour planter tes crocs Un tube où tu clames  Chaka Khan Sors moi ton bel organe Fais moi planer tes gammes là haut Al Jarreau Tire moi d'la bouse Du Rythm'Flouze  Puis tu sors du studio T'es toujours top niveau Chaka Khan Al Jarreau Un concert à Tokyo Puis Paris par Pan Am Al Jarreau Chaka Khan
5,Allez Les Verts,3:24,"La tribune a brûlé Plus d'ballon d'oxygène L'hooligan est passé Bombes lacrymogènes Le football a des effets pervers Manque de bol, allez, allez les Verts  La guerre a éclaté La furie se déchaîne Ces salauds d'à côté Sont vraiment sans gêne Qu'ils périssent avec les tripes à l'air Qu'ils pourrissent, allez, allez les vers  Célébrons les héros de l'enfer Et trinquons, allez, allez les verres  Le papier est froissé Le poète est exsangue Sa muse est fracassée A perdu sa langue Et pourtant contre tout et envers Il écrit, allez, allez les vers  Le football a des effets pervers Manque de bol, allez, allez les Verts"
6,Le Rocher de Biarritz,3:33,"En face de l'hôtel Miramar, à Biarritz Se dresse un grand rocher troué par l'eau de mer Des oiseaux y descendent, cérémonieux et fiers Et hautains comme la clientèle du Ritz  Il a la beauté délabrée des vieux palaces Mais lui, des cinq étoiles, il en a plein ses nuits L'océan tout entier lui cire les godasses L'orchestre de la mer s'accorde contre lui  Il gerbe de partout des mousses de champagne Du "" Mouette et Chandon "", ça donne de l'humour Et les nuits de folie quand l'ivresse le gagne Il aime le tournis de ses portes-tambour  Mais là-haut, bien crochée, la gentry des rapaces La jet-set emplumée sobrement tient le choc Et quand l'aube est levée, je vois de ma terrasse Debout sur le rocher les oiseaux de Hitchcock  J'aimerais l'habiter en vieux marin de l'âme Dormir sur des oiseaux, vous parlez d'un plumard Les larmes de ma vie balayées par les lames Et ma tête de mort pour dernier étendard"
7,Tchin Chine,3:22,"Chine Chine Chine Je reviens de Chine Quand Paris me mine J'mets les turbin's, je m'débine Chine Chine Chine J'ai filé en Chine J'ai trinqué, tchin-tchin Des tass's de thé au jasmine Chine Chine Chine Je reviens de Chine Ça fait ping-pong-ping Les yeux ça t'les cligne C'est pas tellement clean Mais tu dodelines Quand la baie d'Hong Kong La nuit s'illumine Ça fait GONG !  Chine Chine Chine Je reviens de Chine J'ai trinqué tchin-tchin Du thé au jasmine Croqué des pim' pim' Pimentées cuisines Qui t'allong'nt la tongue De flamm's aussi longues Qu'un dragong ! J'ai vu le royaume  De la vie en jaune Les pagodes rouges où bouge La dynastie Ming J'ai visité Xian J'ai zieuté Guilin J'ai vu les rouleaux d'vélos Quand ils font leurs dring dring dring  Chine Chine Chine J'ai filé en Chine Quand Paris me mine J'mets les turbin's, je m'débine Chine Chine Chine J'ai filé en Chine Tamponné, bing bing Le visa pour Deng Xiaoping Chine Chine Chine Je reviens de Chine J'ai vu des fill's fines Porcelain's de Chine Des rond's enfantines Et mêm' des usines Qui sans dout' machinent Des jeux de ma-jong Qui font BOUNG !  À Macao dans la rade J'ai dragué Suzy J'ai taché d'ombres chinoises Les draps de son lit J'ai glissé dans l'eau de jade De la rivière Li Chine Chine Chine Je reviens de Chine Ça fait ping-pong-ping Les yeux ça t'les cligne C'est pas tell'ment clean Mais tu dodelines Lorsque s'illumine Dans la nuit Hong Kong Ça fait GONG!"
8,Armstrong,3:17,"Armstrong, je ne suis pas noir  Je suis blanc de peau  Quand on veut chanter l'espoir  Quel manque de pot  Oui, j'ai beau voir le ciel, l'oiseau  Rien, rien, rien ne luit là-haut  Les anges zéro  Je suis blanc de peau  Armstrong, tu te fends la poire  On voit toutes tes dents  Moi, je broie plutôt du noir  Du noir en dedans  Chante pour moi, louis, oh oui  Chante, chante, chante, ça tient chaud  J'ai froid, oh moi  Qui suis blanc de peau  Armstrong, la vie, quelle histoire?     C'est pas très marrant  Qu'on l'écrive blanc sur noir  Ou bien noir sur blanc  On voit surtout du rouge, du rouge  Sang, sang, sans trêve ni repos  Qu'on soit, ma foi  Noir ou blanc de peau  Armstrong, un jour, tôt ou tard  On n'est que des os  Est-ce que les tiens seront noirs?     Ce serait rigolo  Allez louis, alléluia  Au-delà de nos oripeaux  Noir et blanc sont ressemblants  Comme deux gouttes d'eau  Armstrong, je ne suis pas noir  Je suis blanc de peau  Quand on veut chanter l'espoir  Quel manque de pot  Oui, j'ai beau voir le ciel, l'oiseau  Rien, rien, rien ne luit là-haut  Les anges... zéro  Je suis blanc de peau  Armstrong, tu te fends la poire  On voit toutes tes dents  Moi, je broie plutôt du noir  Du noir en dedans    Chante pour moi, louis, oh oui  Chante, chante, chante, ça tient chaud  J'ai froid, oh moi  Qui suis blanc de peau  Armstrong, la vie, quelle histoire?   C'est pas très marrant  Qu'on l'écrive blanc sur noir  Ou bien noir sur blanc  On voit surtout du rouge, du rouge  Sang, sang, sans trêve ni repos  Qu'on soit, ma foi  Noir ou blanc de peau  Armstrong, un jour, tôt ou tard  On n'est que des os  Est-ce que les tiens seront noirs?   Ce serait rigolo  Allez louis, alléluia  Au-delà de nos oripeaux  Noir et blanc sont ressemblants  Comme deux gouttes d'eau"
9,Beaucoup de Vent,4:40,"Ici, tu vois tout est tranquille Ici, ça va, ça vole, ça coule Et s\'il n\'y a pas les lumières de la ville La lune, c\'est pas nul comme ampoule C\'est pas mal, les étoiles, à l\'aise C\'est pas rien, la terre le matin Voir le soleil qui s\'couche au creux d\'une falaise Et se lève là-bas sur un bouquet de thym  Et puis, puis surtout, bien souvent, très souvent Y a des coups, des beaux coups, beaucoup d\'vent Dorénavant, toi qui vends, soi-disant, vends du vent Tu feras moins le malin, l\'important Devant autant de vent  Ici, tu vois tout est sauvage Ici, la garrigue, le rocher Avec la vigne pour faire bon ménage La vigne a l\'esprit de clocher Les clochers, ils ont la dégaine De clochers d\'églises mexicaines Imperturbablement laissant tomber leurs plombes De bronze sur les saisons et sur les tombes  Et puis, puis surtout, bien souvent, très souvent Y a des coups, des beaux coups, beaucoup d\'vent Tour à tour vent émouvant, enivrant, déchirant Allégresse et détresse qui s\'mélangent Vent de diable et vent d\'ange  Et puis tout redevient paisible Tu peux sortir ton cerf-volant Et si ton chant passe à côté d\'la cible Autant, autant en emporte le vent"
