,song,time,lyrics
0,Aghani Aghani [Egypte],7:28,"Ils ont changé ma chanson, ma Ils ont changé ma chanson Moi qui l'avais écrite paroles et musique J'aimais bien ma chanson, ma Ils ont changé ma chanson  Ils ont changé mon tempo, ma Et ma musique et mes mots Ils n'ont rien compris à la chanson Où j'avais écrit ma vie, oh ma Ils ont changé ma chanson  J'y racontais mes amours, ma J'y racontais mes amours De tous mes regrets et mes secrets Il restait même un succès, oh ma, ma Ils ont changé ma chanson  Look, what they've done to my song Look, what they've done to my song When it's the only thing that I could you Half light and the storming got how long mama Look, what they've done to my song  Ils ont traduit ma chanson, ma Ils ont trahi ma chanson, ma Ce n'était rien qu'une chanson Mais c'était ma chanson, ma Ils ont changé ma chanson  La, la, la, la  Mais moi dans mon cœur je reste la même Ils ne m'ont pas changé oh Mama Ils ont changé ma chanson, oh Mama Ils peuvent changer ma chanson, ma  Et bien changez ma chanson Mais moi dans mon cœur je reste la même Ils ne m'ont pas changé oh Mama Ils ont changé ma chanson  "
1,Alabama Song,4:19,"Show me the way to  The next whiskey  bar  Oh don't ask why, oh don't ask why  Show me the way to the next whiskey bar  Oh don't ask why, oh don't ask why  For if we don't find  The next whiskey bar  I tell you we must die,    I tell you we must die  I tell you, I  tell you, I tell you we must die    Oh moon of Alabama  We now must say good-bye  We've lost our good  o' Alabama  And must have whiskey oh you know why  Oh moon of Alabama  We now must say good bye  We've lost our good o' Alabama  And must have whiskey oh you know why    Show me the way to the next little dollar  Oh don't ask why, oh don't ask why  Show me the way to the next little dollar  Oh don't ask why, oh don't ask why  For if we don't find the next thirty dollars  I tell you we must die,    I tell you we must die  I tell you, I tell you,    I tell you we must die    Oh moon of Alabama  We now must say good bye  We've lost our good o' Alabama  And must have whiskey oh you know why    Oh moon of Alabama  We now must say good bye  We've lost our good o' Alabama  And must have whiskey, oh you know why    Oh moon of Alabama  We now must say good bye  We've lost our good o' Alabama  And must have whiskey oh you know why."
2,Americana,3:58,"Americana, c'est un mot qui craque dans la nuit  Americana, c'est un peu de rêve et de folie  Americana, c'est un mot qui parle de géant  Americana a la fureur de vivre en noir et blanc    L'avion se pose en silence  Comme un goéland qui vient de France  Sur la ville qui sommeille, l'ombre d'une statue se réveille  Du ciel gris de l'Atlantique, au soleil brûlant du Pacifique  C'est une île qui vagabonde  Une lie jusqu'au beau milieu du monde    Americana, Americana  C'est l'Amérique qui fait rêver  Americana, Americana  Joue ta musique, fais moi danser    Manhattan, centième étage  Accroché son cœur dans les nuages  Quand San Francisco s'affole  Au rythmes des amours qui s'envolent  On se saoule de musique  Sur des mots souvent mélancolique  Las Vegas et ses machines  Et ses filles sorties des magazines    Americana, Americana  C'est l'Amérique qui fait rêver  Americana, Americana  Joue ta musique, fais moi danser    Americana, c'est un mot qui craque dans la nuit  Americana, c'est un peu de rêve et de folie  Americana, c'est un mot qui parle de géant  Americana a la fureur de vivre en noir et blanc    Et moi qui suis d'ici, d'ailleurs, de nul part  Je refais souvent le voyage, ce voyage  Depuis que j'ai vu l'Amérique  Ces plages au parfums d'Acapulco  Plongés d'avenues aux numéros  Et ses boulevards plus longs que des villes  Ces quartiers qui parlent en italien  Restaurants chinois ou parisien  Ou chacun retrouve un peu de son pays    Americana, c'est un mot qui craque dans la nuit  Americana, c'est un peu de rêve et de folie  Americana, c'est un mot qui parle de géant  Americana a la fureur de vivre en noir et blanc    Americana, Americana  C'est l'Amérique qui fait rêver  Americana, American,  Joue ta musique, fais moi danser    Americana, c'est un mot qui parle de géant  Americana a la fureur de vivre en noir et blanc  Americana, c'est un peu de rêve et de folie  Americana, c'est un mot qui claque dans la nuit"
3,Amtag Als Der Regen Kam [Alemagne],4:08,"Am Tag, als der Regen kam  Lang ersehnt, heiß erfleht  Auf die glühenden Felder  Auf die durstigen Wälder    Am Tag, als der Regen kam  Lang ersehnt, heiß erfleht  Da erblühten die Bäume  Da erwachten die Träume  Da kamst du    Ich war allein im fremden Land  Die Sonne hat die Erde verbrannt  Überall nur Leid und Einsamkeit  Und du, ja, du  Soweit, soweit    Doch eines Tag's von Süden her  Da zogen Wolken über das Meer  Und als endlich dann der Regen rann  Fing auch für mich das Leben an  Ja ja ja ja ja ja ja    Am Tag, als der Regen kam  Lang ersehnt, heiß erfleht  Auf die glühenden Felder  Auf die durstigen Wälder    Am Tag als der Regen kam  Weit und breit, wundersam,  Als die Glocken erklangen  Als von Liebe sie sangen  Da kamst du, da kamst du"
4,Bang Bang,3:24,"Mi ricordo quando noi  Eravamo due bambini  E puntavamo le pistole  Dai cavalli a dondolo    Bang, bang  Io sparo a te bang, bang  Tu spari a me bang, bang  E vincerà bang, bang  Chi al cuore colpirà    Son passati gli anni e poi  Noi ci siamo innamorati  Correvamo per i prati  Tu scherzavi insieme a me    Bang, bang per ridere  Bang, bang sparavi a me  Bang, bang e vincerà  Bang, bang chi al cuore colpirà    Certo non scherzavi tu  Quando mi sparavi al cuor  Nel mirar non sbagliavi mai  Prova a negare se tu puoi    Ora non mi ami più  Ed ho sentito un colpo al cuore  Quando mi hai detto che  Non vuoi stare più con me    Bang, bang e resto qui  Bang, bang a piangere  Bang, bang hai vinto tu  Bang, bang il cuore non l'ho più    Quando vedo intorno a me  Che i bambini giocano  E poi fingon di sparare  Come mi si stringe Il cuor    Bang, bang  Rivedo te bang, bang  Che spari a me bang, bang  Quel suono sai bang, bang  Non lo scorderò mai"
5,J'Aurais Voulu Danser [From My Fair Lady],2:44,"J'aurais voulu danser   J'aurais voulu tourner   Jusqu'à la fin des jours   Toute étourdie de joie   Toute imprégnée de toi   Au rythme de l'amour   Toute la nuit, toute la vie peut-être   Juste le temps de se connaître     Si j'avais su   J'aurais compris comme un aveu   Tout ce que me disaient   Tes yeux     Mais depuis lors   Je danse encore en rêve   Avec ton nom au bord des lèvres   J'ai le regret de toi   Ton souvenir m'entoure   Car c'était toi, oui toi     L'amour"
6,Jésus Bambino,3:39,"Il paraît que c’était un bel homme qui venait du large Sachant comme personne parler d’amour aux femmes Il offrit à Marie une bague de pacotille Prit sa jeunesse et repartit sur les vagues  Sans comprendre elle resta dans la chambre d’avril à décembre Avec sa robe courte de jour en jour plus courte La fille ne savait pas grand-chose des gens et des usages Elle n’avait connu qu’un homme, l’homme des lointains rivages  Elle n’avait que seize ans quand l’enfant vint au monde De taverne en taverne elle chantait à la ronde Des refrains de bastringues en croyant que c’était des berceuses Elle jouait à la Madone, elle n’était pas malheureuse  Elle passait comme une ombre dans les faubourgs de Rome Se prenant pour la Vierge, que le Ciel lui pardonne De sa vie brève, il n’est rien resté que l’enfant de la chance Et que ce nom qu’il porte comme une croix immense  Comme un fardeau aussi lourd que le monde posé sur son dos Ce drôle de nom de baptême Jésus Bambino  Comme un fardeau aussi lourd que le monde posé sur son dos Ce drôle de nom de baptême Jésus Bambino  Jésus Bambino Jésus Bambino"
7,Jésus Kitsch,3:08,"On t'avait mis en croix et l'on t'a mis en scène J'ai vu un golgoita sur les bords de la Seine On t'avait mis en doute et l'on t'a fait super Elle est dorée la route Qui monte à ton calvaire  Jésus Kitsch, Jésus Kitsch oh Jésus Tout est consommé Jésus barbe et cheveux longs Jésus lumière au néon Il est né le dernier enfant de la consommation  Juda t'avait vendu pour trente pièces d'or Te voilà revendu dans tous bons drugstores Ta pub est au grand jour sur les murs de nos villes Tu auras le concours pour tes quatre évangiles  Jésus Kitsch, Jésus Kitsch oh Jésus Tout est consommé Jésus barbe et cheveux longs Jésus lumière au néon Il est né le dernier enfant de la consommation  Jésus Kitsch, Jésus Kitsch oh Jésus Tout est consommé Jésus barbe et cheveux longs Jésus lumière au néon Il est né le dernier enfant de la consommation"
8,Mamy Blue,4:59,"Oh Mamy, Mamy  Dove sei Mamy  Oh Mamy, Mamy, Mamy blue  Oh Mamy blue    Finestre chiuse sulla via  ha spento gli occhi casa mia  e da che parte andro non so  Piu  A sedici anni ero giu  Ferita dalla realtr  e mi sentivo sempre piu  Giu    Oh Mamy  Oh Mamy, Mamy  Dove sei Mamy  Oh Mamy, Mamy, Mamy blue  oh Mamy, Mamy blue, oh Mamy blue    Trovavo sempre in braccio a te  Risposta a tutti i miei perche  Ma adesso non risponderai  Piu  Incontro al mio destino andro  La direzione non la so  Il primo treno e saliro  Su    Oh Mamy  Oh Mamy, Mamy blue, oh Mamy blue  Oh Mamy, Mamy  Oh Mamy, oh Mamy, Mamy blue  Oh Mamy blue  Dove sei Mamy  Oh Mamy, oh Mamy, Mamy blue, oh Mamy blue  Oh Mamy, Mamy, Mamy blue  Oh Mamy, Mamy blue  Oh Mamy blue    Un giorno tu m'hai detto sai  Col primo amore te ne andrai  e invece sei fuggita tu  Tu  Finestre chiase sulla via  Ha spento gli occhi casa mia  Neanche io ci tornero  Piu    Oh Mamy  Oh Mamy, Mamy blue, oh Mamy blue  Oh Mamy  Oh Mamy, Mamy blue, oh Mamy blue  Oh Mamy, oh Mamy, Mamy blue  Oh Mamy blue  Oh Mamy, Mamy  Oh Mamy, oh Mamy blue, ohmamy blue  Dove sei mamy"
9,Mon Italie,3:34,"MON ITALIE Auteurs : Didier BARBELIVIEN et Pierre DELANOE Compositeur : François ORENN  Mon Italie, c’est une mama napolitaine  Mon Italie, c’est une princesse égyptienne Mon Italie, elle vit sur les bords de la Seine Elle est ici entre Valence et Valenciennes Mon c’est Platini de Saint-Etienne  C’est Fellini, Mastroianni qui dit je t’aime Mon Italie, des oliviers qui pleurent sous la pluie  Refrain :  Mon Italie elle est menteuse et mandoline Elle est Paris rue de Milan, rue Mazarine et j’en oublie  Mon Italie, c’est le carnaval de Venise  Et vue d’ici, elle penche comme la tour de Pise Mon Italie, vers Colombey les deux églises Mon Italie, c’est mon pays c’est ma payse  Mon Italie, c’est le moulin de la galette Les spaghettis d’un italien de la villette Mon Italie, c’est la Callas et Capri c’est fini  Refrain :  Mon Italie elle est menteuse et mandoline Elle est Paris rue de Milan, rue Mazarine et j’en oublie  Mon Italie, elle joue les stars américaines Moi je vous dis que sa musique est sicilienne Mon Italie, elle est un peu cartomancienne Et fantaisie et tragédienne et comédie Mon c’est Platini de Saint-Etienne  C’est Fellini, Mastroianni qui dit je t’aime Mon Italie, des oliviers qui pleurent sous la pluie  Refrain :  Mon Italie elle est menteuse et mandoline Elle est Paris rue de Milan, rue Mazarine et j’en oublie  Mon Italie, c’est une chanson près des fontaines C’est dans la nuit des amoureux de la Bohême Mon Italie, sa Cosa Nostra est la mienne Elle est bandit, elle est catholique et Romaine Mon c’est Platini de Saint-Etienne  C’est Fellini, Mastroianni qui dit je t’aime Mon Italie, des oliviers qui pleurent sous la pluie  Mon Italie, des oliviers qui pleuvent sous la pluie"
