,song,time,lyrics
0,Les Trois Cloches, ,"Village au fond de la vallée  Comme égaré, presqu'ignoré  Voici qu'en la nuit étoilée  Un nouveau-né nous est donné  Jean-François Nicot il se nomme  Il est joufflu, tendre et rosé  À l'église, beau petit homme  Demain tu seras baptisé    Une cloche sonne, sonne  Sa voix, d'écho en écho  Dit au monde qui s'étonne:  ""C'est pour Jean-François Nicot  C'est pour accueillir une âme  Une fleur qui s'ouvre au jour  À peine, à peine une flamme  Encore faible qui réclame  Protection, tendresse, amour""    Village au fond de la vallée  Loin des chemins, loin des humains  Voici qu'après dix-neuf années  Cœur en émoi, le Jean-François  Prend pour femme la douce Elise  Blanche comme fleur de pommier  Devant Dieu, dans la vieille église  Ce jour, ils se sont mariés    Toutes les cloches sonnent, sonnent  Leurs voix, d'écho en écho  Merveilleusement couronnent  La noce à François Nicot  ""Un seul cœur, une seule âme""  Dit le prêtre, ""et, pour toujours  Soyez une pure flamme  Qui s'élève et qui proclame  La grandeur de votre amour""    Village au fond de la vallée  Des jours, des nuits, le temps a fui  Voici qu'en la nuit étoilée  Un c?ur s'endort, François est mort  Car toute chair est comme l'herbe  Elle est comme la fleur des champs  Epis, fruits mûrs, bouquets et gerbes  Hélas! vont en se desséchant    Une cloche sonne, sonne  Elle chante dans le vent  Obsédante et monotone  Elle redit aux vivants:  ""Ne tremblez pas, c?urs fidèles  Dieu vous fera signe un jour  Vous trouverez sous son aile  Avec la vie éternelle  L'éternité de l'amour"""
1,Si Tu Partais,3:29,"Notre bonheur est merveilleux. Notre amour fait plaisir à Dieu. Il est plus pur, il est plus clair Que l'eau limpide des rivières. Mon coeur étouff' quand tu es là. Ne touche pas à tout cela !  {Refrain:} Si un jour, Tu brisais notre amour, Si un jour, Tu partais pour toujours, Tout sombrerait dans la nuit. Les oiseaux, dans leurs nids, Ne chanteraient plus Leurs chants éperdus. Si un jour, Tu brisais notre amour, Si un jour, Tu partais sans retour, Les fleurs perdraient leur parfum Et ce serait la fin de toute joie. Reste avec moi. Crois-moi, c'est vrai : J'en mourrais si tu partais.  Tes yeux pour moi sont bien plus beaux Qu'un rayon de lune dans l'eau. Lorsque tu pars quelques instants, C'est comme la neige au printemps. Tu reviens, tu me tends les bras. Ne touche pas à tout cela !  {Refrain}"
2,C'Est Toi le Plus Fort,2:31,"Ah, c'que t'es grand ! Qu't'as une belle gueule Et quand ton rir' m'a croché l'coeur, Parc' que j'suis v'nue vers toi tout' seule Sans que tu m'cherches, Tu fais l'crâneur Et, sur le boul'vard, Quand tu t'balades, Tu march' comm' un bel animal. Tu r'gardes les femm's. Ça m'rend malade Et tu l'sais bien Qu'ça m'fait du mal Mais j'te dis rien Parce que je t'aime. Souffrir par toi C'est bon tout d'même. Tu pourrais m'faire Plus de mal encore Que j'dirais rien, Alors t'es fort.  Parce que t'es grand, Moi toute petite Et que tes poings Ont l'air d'être lourds, J'dis toujours oui Et t'en profites Et j't'obéis. Tu gagnes toujours. Ah... t'es pas méchant. T'es un peu brute. C'est pas d'ta faute Si t'es comm' ça, Et puis moi J'aime pas les disputes. J'ai peur des coups, On s'refait pas. Alors j'dis rien Parce que je t'aime Et qu't'obéir C'est bon tout d'même. Puis ça vaut mieux Car j'aurais tort. Y a qu'à nous voir, C'est toi le plus fort.  Mais y a des jours Où t'es plus l'même. Quand t'as l'cafard Ou des ennuis, Quand t'as besoin d'sentir Qu'on t'aime Et ces jours-là, Tu deviens tout petit. Alors j'te prends Sur ma poitrine. J'écoute ton c?ur Et c'est très doux. J'deviens toute grande Et j'te câline. J'suis presque heureuse Et j'oublie tout. Là, dans mes bras, T'oses plus rien dire. T'as sur les lèvres Un beau sourire Et, comme un p'tit môme, Tu t'endors. Ben là... vraiment, C'est toi l'plus fort."
3,C'Est un Monsieur Trés Distinguè,3:36,"C'est un Monsieur très distingué  1.  Il descend dans les grands hôtels, Il a beaucoup de personnel, Il a aussi beaucoup d'argent, C'est pour ça qu'il est mon amant.  REFRAIN  C'est un Monsieur très distingué, C'est un Monsieur qui est marié, Ses enfants seront très bien él'vés ; Comme il se doit, sa femme est blonde. (Variante : Sa femme est née dans le grand monde) C'est un Monsieur très demandé, Tous les gens l'écoutent parler, Il est de la haute société, C'est c'qu'on appelle un homme du monde.  2. Il a aussi un petit chien, On dit qu'il fait beaucoup de bien, Sa femme, moi et puis le chien, Nous faisons partie de ses biens.  Refrain  C'est un Monsieur très distingué, C'est un Monsieur qui est marié, Ses enfants seront très bien él'vés, Comme il se doit, je n'suis pas blonde. (Variante : Je n'suis pas née dans le grand monde.) Ce Monsieur-là peut tout ach'ter, Même l'illusion d'être aimé. Il est de la haute société C'est c'qu'on appelle un homm' du monde.  3. Je sais pourtant qu'un jour viendra, Où doucement, il me dira : ""Chère amie, je suis désolé, Nos relations doivent cesser"".  Refrain  C'est un Monsieur très distingué, C'est un Monsieur qui est marié, Ses enfants seront très bien él'vés, Comme il se doit, sa femme est blonde. (Variante : Sa femme est née dans le grand monde.) Je resterai seule à pleurer Mon amour sera bien payé. C'est comm'ça dans la haut' société, C'est c'qu'on appelle les gens du monde."
4,Un Coin Tout Bleu,3:44,UN COIN TOUT BLEU    Voilà l’printemps Les fleurs jolies Tout l’monde a l’air d’aimer la vie J’crois bien qui a qu’moi qu’aim’pas l’soleil C’est pas d’ma faute Y m’donn’sommeil A quoi qu’ça sert l’soleil qui brille  REFRAIN  Puisque l’hiver il s’éparpille  Madam’ la pluie vient l’remplacer Mais j’ai trouvé dans tes grands yeux Un coin d’espoir  Un coin tout bleu Mais ce coin là n’est pas pour moi Puisque ton cœur n’est pas à toi Et quand mon cœur est malheureux  Il va tout seul dans ce coin bleu Tu as caché dans tes grands yeux  Un ciel d’amour Un ciel tout bleu   Mais un beau jour rempli d’étoiles Mon ciel tout bleu sera sans voile J’entendrai les fleurs du printemps Crier l’amour à tous les vents Adieu les cieux couverts de pluie D’un coup s’éclaircira ma vie Et que mon cœur sera en joie Puisque le tien viendra vers moi  REFRAIN  Je t’emmen’rai dans mon coin bleu Qui se cache dans tes grands yeux Tu verras tout est merveilleux Nous serons seuls et très heureux Tout est soleil tout est printemps On y peut vivre qu’en chantant En attendant ce jour heureux Je t’attendrai dans mon coin bleu
5,Le Contrebandier,2:51,"Il était né sur la frontière, Là-haut dans l'Nord où c'qu'y a du vent. Contrebandier tout comme son père, Il avait la fraud' dans le sang. Il attendait les nuits sans lune - Quand i'fait sombre, on pass'bien mieux. - Pour s'faufiler par les grand's dunes Où l'vent de la mer nous piqu'les yeux.  Ohé, la douane ! Ohé, les gabelous ! Lâchez tous les chiens Et puis planquez-vous Au fond d'vos cabanes. R'gardez sur la dune L'homm'qui pass'là-bas. Il est pourtant seul Mais vous n'l'aurez pas. Il s'fout d'la douane Au fond d'vos cabanes, Allez, planquez-vous Et lâchez les chiens. Ohé, les gabelous ! Ohé, la douane !  Quand il avait rien d'autre à faire, Les nuits où qu'il faisait trop clair, Il changeait les poteaux frontières Et foutait le monde à l'envers Ou bien, d'autres fois, en plein passage, Quand il avait bu un bon coup, Il poussait de vrais cris sauvages Et v'là qu'je passe dépêchez-vous.  Ohé, la douane ! Ohé, les gabelous ! Lâchez tous les chiens Et puis planquez-vous Au fond d'vos cabanes. Regardez sur la dune L'homme qui passe là-bas. C'est moi, moi tout seul, Mais vous n'm'aurez pas. J'me fous d'la douane Au fond d'vos cabanes. Allez, planquez-vous Et lâchez les chiens. Ohé, les gabelous ! Ohé, la douane !  Il pouvait pas s'mettre dans la tête Qu'la loi des hommes, c'est très sérieux. C'était comme une sorte de poète Et ces types-là, c'est dangereux. Alors une nuit qu'y avait d'la lune, Qu'y baladait pour son plaisir, Ils l'ont étendu sur la dune A coup d'fusil pour en finir.  Ohé, la douane ! Ohé, les gabelous ! Planquez tous vos chiens Et puis amenez-vous. Du fond d'vos cabanes, C'est d'la belle ouvrage, Seulement, ce soir, Ce n'était qu'un homme. Il travaillait pas. T'entends, la douane ? Alors, fallait pas... Et puis planquez-vous Au fond d'vos cabanes. Ohé, les gabelous ! Ohé, la douane !"
6,L' Étranger,3:28,"Il avait un air très doux, Des yeux rêveurs un peu fous Aux lueurs étranges. Comme bien des gars du Nord, Dans ses cheveux un peu d'or, Un sourire d'ange. J'allais passer sans le voir Mais quand il m'a dit bonsoir D'une voix chantante, J'ai compris que, ce soir-là, Malgré la pluie et le froid, Je serais contente. Il avait un regard très doux. Il venait de je ne sais où.  D'où viens-tu ? Quel est ton nom ? Le navire est ma maison. La mer mon village. Mon nom, nul ne le saura. Je suis simplement un gars Ardent à l'ouvrage Et si j'ai le coeur trop lourd, Donne-moi donc un peu d'amour, J'ai soif de caresses. Et moi, fille au coeur blasé, J'ai senti, sous ses baisers, Une tendre ivresse. Il avait un regard très doux Il venait de je ne sais où.  Simplement, sans boniments, J'aimais mon nouvel amant, Mon époux d'une heure. Comme bien des malheureux, Il croyait voir dans mes yeux La femme qu'on pleure Et, follement, j'espérais Qu'au matin, il me dirait Suis-moi je t'emmène. J'aurais dit oui, je le sens, Mais il a fui, me laissant Rivée à ma chaîne. Il avait un regard très doux. Il venait de je ne sais où.  J'ai rêvé de l'étranger Et, le coeur tout dérangé Par les cigarettes, Par l'alcool et le cafard, Son souvenir chaque soir M'a tourné la tête Mais on dit que, près du port, On a repêché le corps D'un gars de marine Qui, par l'amour délaissé, Ne trouva pour le bercer Que la mer câline. Il avait un regard très doux. Il s'en allait je ne sais où."
7,Je N'En Connais Pas la Fin,3:15,"Depuis quelque temps l'on fredonne  Dans mon quartier une chanson  La musique en est monotone  Et les paroles sans façon  Ce n'est qu'une chanson dus rues  Dont on ne connaît pas l'auteur  Depuis que je l'ai entendue  Elle chante et danse dans mon cœur    Ha ha ha ha  À mon amour  Ha ha ha ha  À toi toujours  Ha ha ha ha  Dans tes grands yeux  Ha ha ha ha  Rien que nous deux    Avec des mots naïfs et tendres  Elle raconte un grand amour  Mais il m'a bien semblé comprendre  Que la femme souffrait un jour  Si l'amant fut méchant pour elle  Je veux en ignorer la fin  Et pour que ma chanson soit belle  Je me content du refrain    Ils s'aimeront toute la vie  Pour bien s'aimer, ce n'est pas long  Que cette histoire est donc jolie  Qu'elle est donc belle, ma chanson  Il en est de plus poétiques  Je le sais bien, oui, mais voilà  Pour moi, see'est la plus magnifique  Car ma chanson ne finit pas"
8,"Les Marins, Ça Fait des Voyages",3:31,"Il m'avait dit seulement ""je t'aime"" Et ces mots-là, ça compte tout de même. On s'est aimé huit jours tout plein Puis il m'a dit un beau matin : ""V'là que j'm'en vais. N'aie trop d'peine. J'suis matelot, faut qu'tu comprennes.""  ""Les marins ça fait des voyages. On reste jamais pour bien longtemps. On part joyeux, on revient content. Des fois; bien sûr; y a les naufrages, Mais les retours c'est tout plaisir Et nos amours peuvent pas mourir. On sait qu'on r'part, on n'a pas l'coeur De s'faire du mal à son bonheur. Faut pas pleurer ! Aie du courage ! La mer est belle et puis dis-toi Qu'on n'y peut rien ni toi ni moi Et qu'les marins, faut qu'ça voyage.""  J'l'ai vu partir sur son navire. Y m'faisait d'loin un beau sourire, Et d'un seul coup je n'l'ai plus vu Et puis l'bateau a disparu. La mer chantait d'une voix câline. On a parlé comme des copines.  Les marins ça fait des voyages. On reste jamais pour bien longtemps. S'il revient joyeux, il repart content. Pour les aimer, faut du courage, Mais les retours c'est tout plaisir Et leurs amours peuvent pas mourir. Le voilà qui part, mon pauvr'bonheur. Dessus la mer vogue mon coeur Mais v'là qu'je pense qu'y a des naufrages. Sois bonne, la mer : ne l'garde pas. Si tu veux bien, on partagera, Comme les marins, faut qu'ça voyage.  J'l'ai attendu pendant des s'maines, Et puis maint'nant c'est plus la peine. Il m'a fait dire par ses amis Qu'y r'viendrait plus, qu'c'était fini. Il m'avait fait cadeau d'une bague. Je l'ai jetée au creux des vagues.  Les marins ça fait des voyages. On les espère pendant longtemps. Y'en a qui r'viennent de temps en temps. D'autres s'font voler l'coeur au passage. Y a plus d'retour, y a plus d'plaisir. Y a plus d'amour, y a qu'à mourir. Celui qu'j'aimais, y r'viendra pas Et puis s'y r'vient, il recommenc'ra, Car les marins, faut qu'ça voyage. Ça court toujours vers d'autres bonheurs Et ça nous laisse avec notre coeur, Notre coeur fané pour tout partage."
9,Les Mômes de la Cloche,3:53,"1. D'un bout à l'autre de la s'maine Sur les boul'vards, dans les faubourgs, On les voit traîner par centaine, Leurs guêtres sal's et leurs amours Dans des chemises de dix jours, Sous la lumièr' des réverbères Prenant des airs de Pompadour, Ce sont nos belles Ferronnières ; Ce sont nos poupé's, nos guignols, nos pantins, Ecoutez dans la nuit ell's chantent ce refrain :  R : C'est nous les mômes,  Les môm's de la cloche, Clochard's qui s'en vont Sans un rond en poche, C'est nous les paumées, Les puré's d'paumées, Qui sommes aimées Un soir n'importe où Nous avons pourtant L'c?ur pas exigeant,  Mais personn'n'en veut, Ben tant pis pour eux, Quéqu'ça fout, On s'en fout, Nul ne s'y accroche Il n'y'a pas d'amour Et l'on s'ra toujours Les môm's de la cloche  2. Mais comme ell's n'ont pas les toilettes Qu'il faut pour les quartiers rupins, C'n'est pas aux gal'ries La fayette Qu'ell's vont fair' chaqu' soir leur turbin : Le long du Canal Saint-Martin, Au Sébasto, à la Chapelle, On est toujours assez grandin Pour le Monsieur qui vous appelle, C'est d'larticl' populair' c'n'est pas du beau joujou, Y'a ps d'poupée en soie aux bazars à trent'sous  R : C'est nous les mômes,  Les môm's de la cloche, Clochard's qui s'en vont Sans un rond en poche, C'est nous les paumées, Les puré's d'paumé'es, Qui sommes aimées Un soir n'importe où Tout comm' nos ribouis On n'est pas verni's, Jamais l'on ira Sur la Riviera Quéqu'ça fout,  On s'en fout, Quand l'agent nous fauche, On va fair' quatr' jours Là-bas dans la tour,  Les môm's de la cloche  3. Ell's ont vendu tout's leurs carresses Ell's fur'nt payé's tant bien que mal, Mais un jour plus rien dans la caisse, Ell's vont se fich' dans le canal. Et sans avoir comme un cheval La pitié des gens de la rue On les emporte à l'hôpital ; La foule dit : ce n'est qu'un' grue, Et voilà comment les poupé's, les pantins,  Lorsqu'ell's n'ont plus le sou s'en vont tout's à Pantin.  R : C'est nous les mômes,  Les môm's de la cloche, Clochard's qui s'en vont Sans ami, sans proche, C'est nous les paumées, Les puré's d'paumées, Qui s'en vont dormir Dans l'horrible trou Derrièr' not' convoi Jamais l'on ne voit Ni fleur, ni couronne, Mêm' pas un' personne Quéqu'ça fout, On s'en fout, Quand la mort nous fauche, C'est not' plus beau jour, Cloches sonnez pour  Les môm's de la cloche"
