,song,time,lyrics
0,"J'Ai un Problèmew/ Jean-Jacques Goldman, Alain Souchon, Michael Jones", ,"Dis-moi pourquoi tu es mon seul problème  Dis-moi pourquoi tu es mon seul souci  On récolte la vie que l'on sème  Mais quand vient l'amour on est un peu surpris    Oh, à cause de toi, je ne suis plus le même  Oh, par ta faute, j'ai changé aussi  Je ne sais pas où ça nous entraîne   C'est la chance ou bien c'est de la folie    Si tu n'es pas vraiment l'amour tu lui ressembles   Quand je m'éloigne toi tu te rapproches un peu   Si ça n'est pas vraiment l'amour de vivre ensemble   Ça lui ressemble tant que c'est peut-être mieux    J'ai un problème, je sens bien que je t'aime   Oh, j'ai un problème c'est que je t'aime aussi   Ces mots restent toujours les mêmes   C'est nous qui changeons le jour où on les dit    Oh, j'ai un problème, j'ai bien peur que je t'aime   J'ai un problème, j'en ai bien peur aussi   En perdant on y gagne quand même   Et puis après tout, on a pas choisi    Si ce n'es pas vraiment l'amour tu lui ressembles   Quand je m'éloigne toi tu te rapproches un peu   Si ça n'est pas vraiment l'amour de vivre ensemble   Ça lui ressemble tant que c'est peut-être mieux    Oh, si tu n'es pas vraiment l'amour tu lui ressembles   Quand je m'éloigne toi tu te rapproches un peu (rapproches un peu)  Si ça n'est pas vraiment l'amour de vivre ensemble   Ça lui ressemble tant que c'est peut-être mieux    Oh, si tu n'es pas vraiment l'amour tu lui ressembles   Quand je m'éloigne toi tu te rapproches un peu   Si ça n'est pas vraiment l'amour de vivre ensemble   Ça lui ressemble tant que c'est peut-être mieux"
1,Je Rêve,3:21,"Le vent a fait s'approcher les nuages  Il fait gris au-dessus des plages  Et la mer a l'air triste aussi  Le ciel n'est plus qu'un long tissu de brume  Il va faire une nuit sans lune  Et demain je n'aurais pas dormi    Peut-être je vais rencontrer une dame  Quand j'irai accrocher mon âme  Sur les arêtes des rochers  Mais le vent souffle si fort sur ces pierres  C'est plus la peine que j'espère  L'amour ne peut pas s'y poser    Mais je rêve, je lance des mots vers le jour qui s'achève  Je voulais qu'il reste, il n'a pas entendu    Plus loin sur les rocs que la mer assaille  Cheveux et jupons en bataille  Combien de femmes ont attendu  Combien ont crevé leur cœur sur les vagues  Pour celui qui avait l'autre bague  Et qui n'est jamais revenu    Mais je rêve, je lance des mots vers le jour qui s'achève  Je voulais qu'il reste, il n'a pas entendu    La mer est plus forte que mon courage  Mais ce soir il y a des nuages  Et je sais qu'il est triste aussi  Quand ces mots seront devenus des braises  Je monterais sur la falaise  Jeter leur cendres dans la nuit    Mais je rêve, je lance des mots vers le jour qui s'achève  Je voulais qu'il reste, il n'a pas entendu    Et je dédie ces mots aux amours qui s'achèvent  Je voulais que tu restes"
2,Mais le Matin,4:16,Elle est plus grande que la mer  Mais elle tient au creux de mes doigts  Elle est tellement de choses à la fois  On ne joue pas au poker  Avec une fille comme ça  C'est toujours elle qui a les quatre rois    Mais le matin   Quand on se réveille elle et moi  On a plein   De rosée sur les draps  Mais le matin  Quand on s'éveille tous les deux  On a plein   De cernes sous les yeux    Elle met du rose sur ses lèvres  Et des fleurs aux bouts de ses doigts  Elle n'a pas besoin de tricher pour ça  Le ciel est clair quand elle se lève  Et puis noir quand elle s'en va  Quand elle part avec mes rêves sous le bras    Mais le matin   Quand on se réveille elle et moi  On a plein   De rosée sur les draps  Mais le matin   Quand on s'éveille tous les deux  On a plein   De cernes sous les yeux    Et je sais qu'elle cache ses guitares  Au fond d'une armoire à poupées  Avec le début de notre histoire  Et les lambeaux de son passé    Et dans chacune de ses empreintes  Moi je pose les pieds  Sans savoir où elle va m'emmener  Mais je n'ai pas grand chose à craindre  De son corps de poupée   On a tant de choses à se partager    Mais le matin   Quand on se réveille elle et moi  On a plein   De rosée sur les draps  Mais le matin   Quand on s'éveille tous les deux  On a plein   De cernes sous les yeux    Elle est plus grande que la mer  Mais elle tien au creux de mes doigts (mais le matin)  On ne joue pas au poker  Avec une fille comme ça (mais le matin)    Elle est plus grande que la mer  Mais elle tient au creux de mes doigts (mais le matin)  On ne joue pas au poker  Avec une fille comme ça (mais le matin)    (Mais le matin)  (Mais le matin)
3,Monnaie Blues,3:12,"Je marchais dans une rue louche  Elle, elle avait les bras croisés  Et puis une si grande bouche  Que je me suis laissé tenter    Elle m'a montré des tas de choses  Qu'on ne montre qu'à ses amis  Sa bibliothèque en cuir rose  Et la soie de ses draps de lit    J'étais tout près de l'épouser  Quand elle m'a montré, la porte  Elle a pris toute ma monnaie  Elle m'a dit, ""c'est le seul moyen  Pour que je m'en sorte""    Je suis rentré chez moi de rage  J'ai allumé la télé  Un vieillard encombrait l'image  Un vieillard très bien habillé    Il prononçait des mots bizarres  Des mots que personne ne connaît  J'ai dit, ""c'est pas drôle son histoire  Il ne s'en sortira jamais""    La speakrine est venue traduire  Avant que j'éteigne mon poste  Il voudrait toute votre monnaie  Il a dit, ""c'est le seul moyen  Pour que je m'en sorte""    J'ai dit, ""mon Dieu c'est pas facile  S'ils veulent tous de mon argent""  Lorsque l'évêque de la ville  Entra dans mon appartement    Il avait ses habits de messe  Par-dessus sa tenue de plage  Il criait, ""mes quatre maîtresses  Viennent d'être prises en otages  Pâr pitié, faites quelque chose  Pour pas qu'elles me reviennent mortes""  Il a pris toute ma monnaie"
4,Les Pantins de Naphtaline,3:24,"La petite fille de mes dimanches Mettait toujours sa jupe plissée Elle marchait raide comme une planche Pour pas salir le vernis des souliers  Si ces bouts brillaient au soleil Elle sentait les bigoudis de la veille Elle portait sa couronne d'épines Pauvres pantins de naphtaline  On me mettait des socquettes blanches On me faisait la raie sur le côté Dans mon beau pantalon du dimanche J'allais faire semblant de prier  J'arrivais le premier à l'église Pour ne pas que les autres médisent On mettait les enfants en vitrine Pauvres pantins de naphtaline  J'aurais toujours au fond de moi Cette image jaunie, cette odeur d'autrefois J'aurais toujours au fond de moi  Mais aujourd'hui j'ai quitté mon village Dans mon quartier à pas de clocher Et les gamins du quinzième étage Emmènent leur copine au ciné  Mais chaque fin de semaine Il y a des images qui reviennent Et chaque fois qu'un samedi se termine Je revois les pantins de naphtaline  J'aurais toujours au fond de moi Cette image jaunie, cette odeur d'autrefois J'aurais toujours au fond de moi  La petite fille de mes dimanches Qui mettait toujours sa juppe plissée Et qui marchait raide comme une planche Pour pas salir le vernis des souliers  La petite fille de mes dimanches Qui mettait toujours sa jupe plissée Et qui marchait raide comme une planche Pour pas salir le vernis des souliers  "
5,Souviens-Toi de Nous,3:30,"Quelques fois au fond de ma mémoire   Il m'arrive de te revoir   Juste à mes côtés   Derrière nous dix-huit ans à peine   Et devant les immenses plaines   De l'éternité   On avait l'eau des cascades   Et des lits d'herbe mouillés   J’écrivais des ballades   Pour te réchauffer     Souviens-toi de nous, toi qui t'es envolée   Souviens-toi de nous, dans ton palais doré     Dis-moi s'il se passe autant de choses   Dans ton palais de marbre rose   Et ta plage privée   Est-ce que tu entends le chant des cascades   Autour de tes miroirs de jade   Pour tout faire macler   Rappelle-toi les orages   Quand nos cheveux s'emmêlaient   Sous les grands arbres sauvages   Où l'on s'abritait     Souviens-toi de nous, toi qui t'es envolée   Souviens-toi de nous, dans ton palais doré     Mais quelques fois au fond de ta Rolls noire   Il m'arrive de te revoir   Ils sont tous à tes pieds   Je sais qu'ils se battent pour te plaire   Mais tu les aperçois qu'au travers   De tes verres fumés, fumés     Souviens-toi de nous, toi qui t'es envolée   Souviens-toi de nous, dans ton palais doré     Souviens-toi de nous toi qui t'es envolée   Souviens-toi de nous, sinon tu vas tomber"
6,Cool Papa Cool,2:54,"Cool papa cool  C'est pas parce que ton rêve s'écroule  Qu'il faut que tu tires dans la foule autour de toi.  Cool papa cool  On n'est pas fait du même moule  Toi t'es rocher, moi pierre qui roule  On ne choisit pas  Ta fortune éclate  Tes prêtres se battent  Juste en bas de chez toi    Ta fille se shoote  Ton fils fait la route  Ta maîtresse reçoit  Y'a tes héros qui sautent  Y'a des mendiants qui votent  Y'a ta femme qui boit  Y'a plus de cathédrales  Y'a des stars en sandales  Et personne les croit    Cool papa cool  C'est pas parce que ton rêve s'écroule  Qu'il faut que tu tires dans la foule autour de toi.  Cool papa cool  On n'est pas fait du même moule  Toi t'es rocher, moi pierre qui roule  On ne choisit pas  Ta fortune éclate  Tes prêtres se battent  Juste en bas de chez toi    Tous les traîtres t'embrassent  Ton pavillon de chasse  Est plein de juges hors la loi    Y'a des huissiers qui sonnent  Y'a dieu au téléphone  T'as du sang sur les doigts    Le temps te bouscule  Ton image brûle  Mais ne t'en fais pas    Faut que tu comprennes  Que dans dix ans à peine  C'est peut-être à moi qu'on dira    Cool papa cool  C'est pas parce que ton rêve s'écroule  Qu'il faut que tu tires dans la foule autour de toi.  Cool papa cool  On n'est pas fait du même moule  Toi t'es rocher, moi pierre qui roule  On ne choisit pas  Ta fortune éclate  Tes prêtres se battent  Juste en bas de chez toi"
7,Elle Écoute Pousser Les Fleurs,2:40,"Elle écoute pousser les fleurs  Au milieu du bruit des moteurs  Avec de l'eau de pluie et du parfum d'encens  Elle voyage de temps en temps    Elle n'a jamais rien entendu  Des chiens qui aboient dans la rue  Elle fait du pain doré  Tous les jours à quatre heures  Elle mène sa vie en couleur  Elle collectionne  Les odeurs de l'automne et les brindilles de bois mort  Quand l'hiver arrive  Elle ferme ses livres et puis  Doucement elle s'endort  Sur des tapis de laine  Au milieu des poupées indiennes    Sur les ailes en duvet de ses deux pigeons blancs  Jusqu'aux premiers jours du printemps  Elle dit qu'elle va faire  Le tour de la Terre et qu'elle sera rentrée pour dîner  Mais les instants fragiles  Et les mots inutiles, elle sait  Tout cela quand elle écoute pousser les fleurs  Au milieu du bruit des moteurs  Quand les autres s'emportent  Quand j'arrive à  m'enfuir  C'est chez elle que je vais dormir    Et c'est vrai que j'ai peur de lui faire un enfant"
8,Petit Marie, ,"Petite Marie, je parle de toi  Parce qu'avec ta petite voix  Tes petites manies, tu as versé sur ma vie  Des milliers de roses    Petite furie, je me bats pour toi  Pour que dans dix mille ans de ça  On se retrouve à l'abri, sous un ciel aussi joli  Que des milliers de roses    Je viens du ciel et les étoiles entre elles  Ne parlent que de toi  D'un musicien qui fait jouer ses mains  Sur un morceau de bois  De leur amour plus bleu que le ciel autour    Petite Marie, je t'attends transi  Sous une tuile de ton toit  Le vent de la nuit froide me renvoie la ballade  Que j'avais écrite pour toi    Petite furie, tu dis que la vie  C'est une bague à chaque doigt  Au soleil de Floride, moi mes poches sont vides  Et mes yeux pleurent de froid    Je viens du ciel et les étoiles entre elles  Ne parlent que de toi  D'un musicien qui fait jouer ses mains  Sur un morceau de bois  De leur amour plus bleu que le ciel autour    Dans la pénombre de ta rue  Petite Marie, m'entends-tu?  Je n'attends plus que toi pour partir  Dans la pénombre de ta rue  Petite Marie, m'entends-tu?  Je n'attends plus que toi pour partir    Je viens du ciel et les étoiles entre elles  Ne parlent que de toi  D'un musicien qui fait jouer ses mains  Sur un morceau de bois  De leur amour plus bleu que le ciel autour"
9,Je L'aime a Mourir,2:45,"Moi je n'étais rien  Et voilà qu'aujourd'hui  Je suis le gardien  Du sommeil de ses nuits  Je l'aime à mourir  Vous pouvez détruire  Tout ce qu'il vous plaira  Elle n'a qu'à ouvrir  L'espace de ses bras  Pour tout reconstruire  Pour tout reconstruire  Je l'aime à mourir    Elle a gommé les chiffres  Des horloges du quartier  Elle a fait de ma vie  Des cocottes en papier  Des éclats de rire  Elle a bâti des ponts  Entre nous et le ciel  Et nous les traversons  À chaque fois qu'elle  Ne veut pas dormir  Ne veut pas dormir  Je l'aime à mourir    Elle a dû faire toutes les guerres  Pour être si forte aujourd'hui  Elle a dû faire toutes les guerres  De la vie, et l'amour aussi    Elle vit de son mieux  Son rêve d'opaline  Elle danse au milieu  Des forêts qu'elle dessine  Je l'aime à mourir    Elle porte des rubans  Qu'elle laisse s'envoler  Elle me chante souvent  Que j'ai tort d'essayer  De les retenir  De les retenir  Je l'aime à mourir  Pour monter dans sa grotte  Cachée sous les toits  Je dois clouer des notes  À mes sabots de bois  Je l'aime à mourir    Je dois juste m'asseoir  Je ne dois pas parler  Je ne dois rien vouloir  Je dois juste essayer  De lui appartenir  De lui appartenir  Je l'aime à mourir    Elle a dû faire toutes les guerres  Pour être si forte aujourd'hui  Elle a dû faire toutes les guerres  De la vie, et l'amour aussi    Moi je n'étais rien  Et voilà qu'aujourd'hui  Je suis le gardien  Du sommeil de ses nuits  Je l'aime à mourir  Vous pouvez détruire  Tout ce qu'il vous plaira  Elle n'aura qu'à ouvrir  L'espace de ses bras  Pour tout reconstruire  Pour tout reconstruire  Je l'aime à mourir"
