,song,time,lyrics
0,Fils De,3:46,Fils de bourgeois Ou fils d`apôtres Tous les enfants Sont comme les vôtres Fils de César Ou fils de rien Tous les enfants Sont comme le tien Le même sourire Les mêmes larmes Les mêmes alarmes Les mêmes soupirs Fils de César Ou fils de rien Tous les enfants Sont comme le tien Ce n`est qu`après Longtemps après  Mais fils de sultan Fils de fakir Tous les enfants Ont un empire Sous voûtes d`or Sous toits de chaumes Tous les enfants Ont un royaume Un coin de vague Une fleur qui tremble Un oiseau mort Qui leur ressemble Fils de sultan Fils de fakir Tous les enfants Ont un empire Ce n`est qu`après Longtemps après  Mais fils de bon fils Ou fils d`étranger Tous les enfants Sont des sorciers Fils de l`amour Fils d`amourettes Tous les enfants Sont des poètes Ils sont bergers Ils sont rois mages Font des nuages Pour mieux voler Mais fils de bon fils Ou fils d`étranger Tous les enfants Sont des sorciers Ce n`est qu`après Longtemps après  Mais fils de bourgeois Ou fils d`apôtres Tous les enfants Sont comme les vôtres Fils de César Ou fils de rien Tous les enfants Sont comme le tien Le même sourire Les mêmes larmes Les mêmes alarmes Les mêmes soupirs Fils de César Ou fils de rien Tous les enfants Sont comme le tien
1,La Colombe,2:59,"Pourquoi cette fanfareQuand les soldats par quatreAttendent les massacresSur le quai d'une garePourquoi ce train ventruQui ronronne et soupireAvant de nous conduireJusqu'au malentenduPourquoi les chants les crisDes foules venues fleurirCeux qui ont le droit d'partirAu nom de leurs conneriesNous n'irons plus au bois, la colombe est blesséeNous n'allons pas au bois, nous allons la tuerPourquoi l'heure que voilàOù finit notre enfanceOù finit notre chanceOù notre train s'en vaPourquoi ce lourd convoiChargé d'hommes en grisRepeints en une nuitPour partir en soldatsPourquoi ce train de pluiePourquoi ce train de guerrePourquoi ce cimetièreEn marche vers la nuitNous n'irons plus au bois, la colombe est blesséeNous n'allons pas au bois, nous allons la tuerPourquoi les monumentsQu'offriront les défaitesLes phrases déjà faitesQui suivront l'enterrementPourquoi l'enfant mort-néQue sera la victoirePourquoi les jours de gloireQue d'autres auront payésPourquoi ces coins de terreQue l'on va peindre en grisPuisque c'est au fusilQu'on éteint la lumièreNous n'irons plus au bois, la colombe est blesséeNous n'allons pas au bois, nous allons la tuerPourquoi ton cher visageDégrafé par les larmesQui me rendait les armesAux sources du voyagePourquoi ton corps qui sombreTon corps qui disparaîtEt n'est plus sur le quaiQu'une fleur sur une tombePourquoi ces prochains joursOù je devrais penserA ne plus m'habillerQue d'une moitié d'amourNous n'irons plus au bois, la colombe est blesséeNous n'allons pas au bois, nous allons la tuer"
2,La Dame Patronnesse,3:24,"Pour faire une bonne dame patronnesseIl faut avoir l’œil vigilantCar, comme le prouvent les événementsQuatre-vingt-neuf tue la noblesseCar, comme le prouvent les événementsQuatre-vingt-neuf tue la noblesseEt un point à l’enversEt un point à l’endroitUn point pour saint JosephUn point pour saint ThomasPour faire une bonne dame patronnesseIl faut organiser ses largessesCar, comme disait le duc d’Elbeuf“C’t’avec du vieux qu’on fait du neuf”Car, comme disait le duc d’Elbeuf“C’t’avec du vieux qu’on fait du neuf”Et un point à l’enversEt un point à l’endroitUn point pour saint JosephUn point pour saint ThomasPour faire une bonne dame patronnesseC’est qu’il faut faire très attentionÀ n’pas se laisser se voler ses pauvressesC’est qu’on serait sans situationÀ n’pas se laisser se voler ses pauvressesC’est qu’on serait sans situationEt un point à l’enversEt un point à l’endroitUn point pour saint JosephUn point pour saint ThomasPour faire une bonne dame patronnesseIl faut être bonne, mais sans faiblesseAinsi, j’ai dû rayer de ma listeUne pauvresse qui fréquentait un socialisteAinsi, j’ai dû rayer de ma listeUne pauvresse qui fréquentait un socialisteEt un point à l’enversEt un point à l’endroitUn point pour saint JosephUn point pour saint ThomasPour faire une bonne dame patronnesseMesdames, tricotez tout en couleur caca d’oieCe qui permet, le dimanche, à la grand-messeDe reconnaître ses pauvres à soiCe qui permet, le dimanche, à la grand-messeDe reconnaître ses pauvres à soiEt un point à l’enversEt un point à l’endroitUn point pour saint JosephUn point pour saint Thomas"
3,Dors Ma Mie Bonsoir,3:45,Dors ma mieDehors la nuit est noireDors ma mie bonsoirDors ma mieC'est notre dernier soirDors ma mie bonsoirSur les fleurs qui ferment leurs paupièresPleure la pluie légèreEt l'oiseau qui chantera l'auroreDors et rêve encoreAinsi demain déjàSerai seul à nouveauEt tu m'auras perduRien qu'en me voulant tropTu m'auras gaspilléÀ te vouloir bâtirUn bonheur éternelEnnuyeux à périrAu lieu de te pencherVers moi tout simplementMoi qui avais besoinSi fort de ton printempsNon les filles que l'on aimeNe comprendront jamaisQu'elles sont à chaque foisNotre dernier muguetNotre dernière chanceNotre dernier sursautNotre dernier départNotre dernier bateauDors ma mieDehors la nuit est noireDors ma mie bonsoirDors ma mieC'est notre dernier soirDors ma mie je pars
4,L' Homme Dans la Cite,2:24,"Pourvu que nous vienne un hommeAux portes de la citéQue l´amour soit son royaumeEt l´espoir son invitéEt qu´il soit pareil aux arbresQue mon père avait plantésFiers et nobles comme soir d´étéEt que les rires d´enfantsQui lui tintent dans la têteL´éclaboussent de reflets de fêtePourvu que nous vienne un hommeAux portes de la citéQue son regard soit un psaumeFait de soleils éclatésQu´il ne s´agenouille pasDevant tout l´or d´un seigneurMais parfois pour cueillir une fleurEt qu´il chasse de la mainA jamais et pour toujoursLes solutions qui seraient sans amourPourvu que nous vienne un hommeAux portes de la citéEt qui ne soit pas un baumeMais une force, une clartéEt que sa colère soit justeJeune et belle comme l´orageQu´il ne soit jamais ni vieux ni sageEt qu´il rechasse du templeL´écrivain sans opinionMarchand de riensMarchand d´émotionsPourvu que nous vienne un hommeAux portes de la citéAvant que les autres hommesQui vivent dans la citéHumiliés, l´espoir meurtriEt lourds de leur colère froideNe dressent au creux des nuitsDe nouvelles barricades"
5,Isabelle,3:13,Quand Isabelle dort plus rien ne bougeQuand Isabelle dort au berceau de sa joieSais-tu qu'elle vole la coquineLes oasis du SaharaLes poissons dorés de la ChineEt les jardins de l'AlhambraQuand Isabelle dort plus rien ne bougeQuand Isabelle dort au berceau de sa joieElle vole les rêves et les jeuxD'une rose et d'un bouton d'orPour se les poser dans les yeuxBelle Isabelle quand elle dortQuand Isabelle rit plus rien ne bougeQuand Isabelle rit au berceau de sa joieSais-tu qu'elle vole la cruelleLe rire des cascades sauvagesQui remplacent les escarcellesDes rois qui n'ont pas d'équipagesQuand Isabelle rit plus rien ne bougeQuand Isabelle rit au berceau de sa joieElle vole les fenêtres de l'heureQui s'ouvrent sur le paradisPour se les poser dans le cœurBelle Isabelle quand elle ritQuand Isabelle chante plus rien ne bougeQuand Isabelle chante au berceau de sa joieSais-tu qu'elle vole la dentelleTissée au cœur de rossignolEt les baisers que les ombrellesEmpêchent de prendre leur volQuand Isabelle chante plus rien ne bougeQuand Isabelle chante au berceau de sa joieElle vole le velours et la soieQu'offre la guitare à l'infantePour se les poser dans la voixBelle Isabelle quand elle chante
6,Je Ne Sais Pas,3:10,"Je ne sais pas pourquoi la pluieQuitte là-haut ses oripeauxQue sont les lourds nuages grisPour se coucher sur nos coteauxJe ne sais pas pourquoi le ventS'amuse dans les matins clairsA colporter les rires d'enfantsCarillons frêles de l'hiverJe ne sais rien de tout celaMais je sais que je t'aime encoreJe ne sais pas pourquoi la routeQui me pousse vers la citéA l'odeur fade des déroutesDe peuplier en peuplierJe ne sais pas pourquoi le voileDu brouillard glacé qui m'escorteMe fait penser aux cathédralesOù l'on prie pour les amours mortesJe ne sais rien de tout celaMais je sais que je t'aime encoreJe ne sais pas pourquoi la villeM'ouvre ses remparts de faubourgsPour me laisser glisser fragileSous la pluie parmi ses amoursJe ne sais pas pourquoi ces gensPour mieux célébrer ma défaitePour mieux suivre l'enterrementOnt le nez collé aux fenêtresJe ne sais rien de tout celaMais je sais que je t'aime encoreJe ne sais pas pourquoi ces ruesS'ouvrent devant moi une à uneVierges et froides, froides et nuesRien que mes pas et pas de luneJe ne sais pas pourquoi la nuitJouant de moi comme guitareM'a forcé à venir iciPour pleurer devant cette gareJe ne sais rien de tout celaMais je sais que je t'aime encoreJe ne sais pas à quelle heure partCe triste train pour AmsterdamQu'un couple doit prendre ce soirUn couple dont tu es la femmeEt je ne sais pas pour quel portPart d'Amsterdam ce grand navireQui brise mon cœur et mon corpsNotre amour et mon avenirJe ne sais rien de tout celaMais je sais que je t'aime encoreMais je sais que je t'aime encore"
7,Je T'Aime,2:20,"Pour la rosée qui tremble au calice des fleursDe n'être pas aimée et ressemble à ton cœurJe t'aimePour le doigt de la pluie au clavecin de l'étangJouant page de lune et ressemble à ton chantJe t'aimePour l'aube qui balance sur le fil d'horizonLumineuse et fragile et ressemble à ton frontJe t'aimePour l'aurore légère qu'un oiseau fait frémirEn la battant de l'aile et ressemble à ton rireJe t'aimePour le jour qui se lève et dentelle le boisAu point de la lumière et ressemble à ta joieJe t'aimePour le jour qui revient d'une nuit sans amourEt ressemble déjà, ressemble à ton retourJe t'aimePour la porte qui s'ouvre, pour le cri qui jaillitEnsemble de deux cœurs et ressemble à ce criJe t’aimeJe t’aimeJe t’aime"
8,Litanies Pour un Retour,2:11,"Mon cœur, ma mie, mon âmeMon ciel, mon feu, ma flammeMon puits, ma source, mon valMon miel, mon baume, mon GraalMon blé, mon or, ma terreMon soc, mon roc, ma pierreMa nuit, ma soif, ma faimMon jour, mon aube, mon painMa voile, ma vague, mon guide, ma voixMon sang, ma force, ma fièvre, mon moiMon chant, mon rire, mon vin, ma joieMon aube, mon cri, ma vie, ma foiMon cœur, ma mie, mon âmeMon ciel, mon feu, ma flammeMon corps, ma chair, mon bienVoilà que tu reviens"
9,La Lumiere Jaillira,2:58,La lumière jailliraClaire et blanche un matinBrusquement devant moiQuelque part en cheminLa lumière jailliraEt la reconnaîtraiPour l'avoir tant de foisChaque jour espéréeLa lumière jailliraEt de la voir si belleJe connaîtrai pourquoiJ'avais tant besoin d'elleLa lumière jailliraEt nous nous marieronsPour n'être qu'un combatN'être qu'une chansonLa lumière jailliraEt je l'inviteraiA venir sous mon toitPour y tout transformerLa lumière jailliraEt déjà modifiéLui avouerai du doigtLes meubles du passéLa lumière jailliraEt j'aurai un palaisTout ne change-t-il pasAu soleil de juillet?La lumière jailliraEt toute ma maisonAssise au feu de boisApprendra ses chansonsLa lumière jailliraParsemant mes silencesDe sourires de joieQui meurent et recommencentLa lumière jailliraQu'éternel voyageurMon cœur en vain cherchaMais qui était en mon cœurLa lumière jailliraReculant l'horizonLa lumière jailliraEt portera ton nom
