,song,time,lyrics
0,C'est Ma Tournée,3:08,"Allez viens, c'est ma tournée  Attention Paris, prends garde à toi  On va boire à ta santé  Tes caves ne s'en relèveront pas    Allez viens, c'est ma tournée  Attention mesdames, nous voilà  On va boire à la santé  De celles qu'on n'aime qu'une fois    Les néons qui clignotent sur des filles sans joie  Les portiers qui racolent sous la flotte  Une Bardot de Lisbonne, qui s'effeuille d'un air las  Le vieux Paris n'est pas si gai que ça    Viens, on change de taule  Je connais un endroit  Où les clients sont plus drôles  Viens, on se fait la valise  Et bonsoir Clara    Allez viens, c'est ma tournée  Attention Paris, prends garde à toi  On va boire à ta santé  Tes caves ne s'en relèveront pas    Allez viens, c'est ma tournée  Attention mesdames, nous voilà  On va boire à la santé  De celles qu'on n'aime qu'une fois    Le garçon nous regarde, mais dis moi, qu'est-ce qu'il a  A poser toutes les chaises sur les tables?  C'est quand même incroyable, à l'heure qu'il est plus un chat  On prend le tout dernier et on s'en va    Laisse tomber ta voisine  Tu l'ennuies, tu vois bien  Moi j'laisse tomber sa copine  Viens, j'ai sommeil, on se rentre  Oui mais demain    Mais demain c'est ma tournée  Attention Paris, prends garde à toi  On va boire à ta santé  Tes caves ne s'en relèveront pas    Allez viens, c'est ma tournée  Attention mesdames, nous voilà  On va boire à la santé  De celles qu'on n'aime qu'une fois"
1,Le Chanteur des Rues,2:47,"Au coin des rues, devant les cafés Et pour les queues de cinéma, la nuit tombée Il chantait des chansons de tous les pays Qui pourtant n’étaient qu’à lui  Et les passants s’arrêtaient le temps d’un refrain En se disant qu’il aurait pu faire son chemin Mais lui ne voulait pas de ce chemin là Et sa vie lui allait bien  Tant qu’on a sa chanson à chanter Et quelqu’un quelque part  Qui s’attarde à l’écouter	 Tant que les filles sont belles Que le soleil veut bien briller Tant qu’on peut encore rêver  On n’a pas besoin d’argent pour être riche Qu’importe les lauriers, il suffit pour bien vivre D’aimer la vie pour ce qu’elle est Et il chantait  Mais les gens qui ne voient pas plus loin que leur vie Disaient : « Voilà bien la jeunesse d’aujourd’hui Si chacun ne faisait que ce qui lui plaît Que deviendrait le pays »  Tant qu’on a sa chanson à chanter Et quelqu’un quelque part  Qui s’attarde à l’écouter Tant que les filles sont belles Que le soleil veut bien briller Tant qu’on peut encore rêver  On n’a pas besoin d’argent pour être riche Qu’importe les lauriers, il suffit pour bien vivre D’aimer la vie pour ce qu’elle est Et il chantait  Et puis les regardait regagner chaque nuit Leur petit pavillon, leur bonheur à crédit Leurs amours régulières, contractées par notaires Il n’en avait pas envie  Tant qu’on a sa chanson à chanter Et quelqu’un quelque part  Qui s’attarde à l’écouter Tant que les filles sont belles Que le soleil veut bien briller Tant qu’on peut encore rêver"
2,La Ligne de Vie,3:11,"On reste seul sur un quai vide Comme si on attendait quelqu’un A se redire qu’elle s’en va que tout chavire Et que l’on y comprend rien  Et que l’on y comprend rien   Où que le train t’emmène D’aussi loin que tu reviennes Tu me reviendras Il le faudra bien Ne vois-tu pas le signe Que la chance nous dessine J’ai ta ligne de vie Tracée dans ma main  Tu ne vivais que par tes rêves Je ne voyais que par les miens Le conte de fée battait de l’aile On s’aimait tant mal que bien On s’aimait tant mal que bien  Où que le train t’emmène D’aussi loin que tu reviennes Tu me reviendras Il le faudra bien Ne vois-tu pas le signe Que la chance nous dessine J’ai ta ligne de vie Tracée dans ma main  Vivons ensemble nos colères Et nos tendresses et nos chagrins A faire l’amour, à faire la guerre Qui sont écrits dans ta main Qui sont écrits dans ma main  Où que le train t’emmène D’aussi loin que tu reviennes Tu me reviendras Il le faudra bien Ne vois-tu pas le signe Que la chance nous dessine J’ai ta ligne de vie Tracée dans ma main…"
3,"Côté Banjo, Côté Violon",3:08,"Je suis né dans une ville où tout est haut  Sous les cinquante étoiles d´un drapeau  Mon enfance joue quelque part dans la nuit  Sur un palier d´escalier d´incendie    Mais c´est en France que j´ai eu mes quinze ans  Soirs de danses, baisers de débutants  La première place en anglais  Le premier amour en français    Côté banjo there´s always St. Francisco Bay  Côté violon toujours Paris au mois de mai  Côté raison, je me sens quelquefois d´ailleurs  Mais d´ici côté cœur    Et j´aime côté banjo les grands serments sur un gratte-ciel  Côté violon les petits dîners aux chandelles  Côté nana je suis de partout à la fois  Mais d´ici côté toi    Certains vont à Cannes pour finir leur vie  D´autres se rangent en Californie  Mais quand viendra l´heure de me retirer  Je serais sans doute bien embêté    A moins peut-être que j´aille passer gaiement  Ma retraite sur voilier tout blanc  Et couler des jours pacifiques  Au milieu du ciel atlantique    Côté banjo there´s always St. Francisco Bay  Côté violon toujours Paris au mois de mai  Côté raison, je me sens quelquefois d´ailleurs  Mais d´ici côté cœur    Et j´aime côté banjo les grands serments sur un gratte-ciel  Côté violon les petits dîners aux chandelles  Côté nana je suis de partout à la fois  Mais d´ici côté toi"
4,La Fan,2:46,"Pendant que le chanteur chantait ses pacotilles enviolonnés  La fille en coulisse écoutait, émerveillée, abandonnée  Mais comment faisait-il sans la connaître pour savoir sa vie par cœur?  Est-ce qu'il s'était penché à sa fenêtre une nuit en spectateur?    Pendant que le chanteur dansait ses quatre pas de dérision  La fille en coulisse pensait qu'elle était las de ses chansons  Oh, si tu savais combien de vrais chagrins  Se raccrochent au ciel artificiel de tes refrains    Après l'après-dernier appel il est allé se rhabiller  Dire qu'il était là tout près d'elle derrière la porte verrouillée  Savait-il seulement qu'aux heures grises c'est lui qui tenait sa main  Qui l’empêchait de faire des bêtises en disant ""C'est beau demain""    Pendant que le chanteur rentrait, accompagné d'une imprévue  La fille en coulisse rêvait que c'était lui qu'elle avait vu  Oh, si tu savais combien de vrais chagrins  Se raccrochent au ciel artificiel de tes refrains"
5,J'Ai Craqué,2:27,"Entre les fauteuils du quinze rue de Bretagne Et les rocking-chairs de la maison de campagne On balançait Notre vie douillette sans surprises et sans heurts Le pain quotidien de nos dix ans de bonheur Au bonheur près J’étais bien protégé Dans le film à tiroirs de ma vie bien rangée Avec les samedis soirs pour changer Pour changer de quoi ? Toi et moi, moi et toi Femme et mère à la fois J’ai craqué J’ai craqué  J’attendais ta fête pour t’apporter des fleurs Je ne chantais plus, j’avais des pantoufles au cœur Je m’endormais Tu savais quand je disais « Devine où on part ? » Tu riais avant que j’ai fini mes histoires Et même après Tu m’avais tellement dit Que je n’étais qu’un gosse, un gamin étourdi Que je m’imaginais tout petit Et puis d’un seul coup J’ai grandi et j’ai cou- Pé le fil du passé J’ai craqué J’ai craqué  Je ne sais pas où mais je m’en vais droit devant Même si l’allumette n’a craqué que le temps D’une étincelle Je m’en contre fous si ça permet de rêver De faire un détour loin des chemins programmés Toujours pareils Et le vent de folie Qui fait tourner si fort le moulin de ma vie Qu’importe s’il s’arrête aujourd’hui Puisque celle qui Lui a dit de souffler Reste et me donne envie De craquer J’ai craqué J’ai craqué"
6,Un Lord Anglais,2:54,"Elle avait épousé un lord anglais  Personne n'est parfait  Petits fours, grand amour  Le soleil de Bromley  Et un nuage de lait    J'ai débarqué un matin dans sa vie  Personne n'est à l'abri  Jardinier, diplômé  18 ans de maison  Je viens pour votre gazon    J'ai consciencieusement cultivé son jardin  J'avais des compliments tous les matins  Milord était content  Et Milady pensait,  Vive les français!  Vive les français!    Je suis devenu l'ami du lord anglais  Personne n'est parfait  Mes radis, son whisky  Les potins de Windsor  ""Ma femme aussi vous adore""    Elle venait me rejoindre chaque nuit  Personne n'est à l'abri  Calfeutrés, mots discrets  Des jeux à quatre mains  C'est beau le marché commun    J'ai conscieusement cultivé son jardin  J'avais des compliments tous les matins  Milord était content  Et Milady pensait  Vive les français!   Vive les français!    Je suis devenu moi-même un lord anglais  Personne n'est parfait  Chasse à courre, grands discours  Soirées à Buckingham  Accompagné de ma femme    Elle a fait venir hier de Paris  Personne n'est à l'abri  Un nouveau jardinier  18 mois de maison  Pour cultiver son gazon   Pour cultiver son gazon"
7,Mon Copain Julie (Southern Nights),3:04,Southern nights Have you ever felt a southern night? Free as a breeze Not to mention the trees Whistling tunes that you know and love so  Southern nights Just as good even when closed your eyes I apologize to anyone who can truly say That he has found a better way  Southern skies Have you ever noticed southern skies? Its precious beauty lies just beyond the eye It goes running through your soul Like the stories told of old Old man He and his dog that walked the old land Ev'ry flower touched his cold hand As he slowly walked by Weeping willows Would cry for joy Joy  Feel so good Feel so good It's frigth'ning Wish I could Stop this world from fighting La da da da da da la da da da da da da da da  Mysteries Like this and many others in the trees Blow in the night In the southern skies  Southern nights They feel so good it's fright'ning Wish I could Stop this world from fighting La da da da da da la da da da da da da da da da da da da da da da da
8,Petit Ballon,3:02,Petit ballon Seras-tu fille ou bien garçon ? Je n’me pose même pas la question Tu t’appelleras Nicole et pas de discussion Petit ballon Il y aura une rose à ton prénom Tu seras la plus jolie Un bébé réussi De huit livres et demi Avec des cheveux blonds Et tu auras les yeux bleus de ta mère Petit ballon Je t’aime déjà comme si	 J’allais t’embrasser dans ton lit  Petit ballon Tes jupons sont déjà trop courts Tu embellis de jour en jour Tu fais l’admiration des profs pendant les cours Petit ballon Tu as même le prix de récréation Tu étais déjà coquette Mais tu changes de tête Tu te maquilles en cachette Tu mets des hauts talons Encore un peu tu dépasses ta mère Petit ballon Je t’aime déjà comme si J’allais t’embrasser dans ton lit  Petit ballon Tu as déjà pleuré pour un garçon Je n’ai pas vu le temps passer Te voilà fiancée Te voilà mariée Tu quittes la maison Pour un salaud qui te vole à ton père Petit ballon Je t’aime déjà comme si J’allais t’embrasser dans ton lit Je t’aime déjà comme si J’allais pleurer près de ton lit
9,Pour le Plaisir de Partir,2:53,"Toujours le même ciel idiot  À travers les mêmes carreaux  ""Faut respirer un air nouveau""  Disait souvent la fille  Ça faisait longtemps qu'elle en rêvait  Longtemps que son sac était prêt  Elle avait envie de grandir  Elle avait besoin de partir    Comme d'autres se déguisent  Elle voulait voir si Venise  Ressemblait à ses chansons  Si Londres pleurait sous ses ponts  Voulait voir le temps des cerises  Qu'on a jamais pu cueillir  Et partir pour le plaisir de partir    Un jour elle a tout bazardé  Sa moto, ses robes et ses clés  Ses volets sont restés fermés  Sur une chambre vide  Et on a parlé dans le pays  D'un garçon qu'elle aurait suivi  Personne ici ne voulait croire  Simplement qu'elle en avait marre    Comme d'autres se déguisent  Elle voulait voir si Venise  Ressemblait à ses chansons  Si Londres pleurait sous ses ponts  Voulait voir le temps des cerises  Qu'on a jamais pu cueillir  Et partir pour le plaisir de partir    Y a pas de carte pour trouver  Les chemins de la liberté  Va savoir où elle est tombée  Dans quelle ville absurde  Sous les cris de quelle révolution  Dans quelle guerre de religion  Ou dans une île d'Océanie  Derniers remparts du paradis    Comme d'autres se déguisent  Elle voulait voir si Venise  Ressemblait à ses chansons  Si Londres pleurait sous ses ponts  Voulait voir le temps des cerises  Qu'on a jamais pu cueillir  Et partir pour le plaisir de partir"
