,song,time,lyrics
0,Retiens La Nuit [Bande Originale Du Film Les Parisiennes],2:57,"Retiens la nuit   Pour nous deux jusqu'à la fin du monde   Retiens la nuit   Pour nos cœurs, dans sa course vagabonde     Serre-moi fort   Contre ton corps   Il faut qu’à l’heure des folies   Le grand amour   Raye le jour   Et nous fasse oublier la vie     Retiens la nuit   Avec toi elle paraît si belle   Retiens la nuit   Mon amour qu’elle devienne éternelle     Pour le bonheur   De nos deux cœurs   Arrête le temps et les heures     Je t’en supplie   À l’infini   Retiens la nuit     Ne me demande pas d’où me vient ma tristesse   Ne me demande rien tu ne comprendrais pas   En découvrant l’amour je frôle la détresse   En croyant au bonheur la peur entre en mes joies     Retiens la nuit   Pour nous deux jusqu’à la fin du monde   Retiens la nuit   Pour nos cœurs, dans sa course vagabonde     Serre-moi fort   Contre ton corps   Il faut qu’à l’heure des folies   Le grand amour   Raye le jour   Et nous fasse oublier la vie     Retiens la nuit   Avec toi elle paraît si belle   Retiens la nuit   Mon amour qu’elle devienne éternelle     Pour le bonheur   De nos deux cœurs   Arrête le temps et les heures   Je t’en supplie   À l’infini   Retiens la nuit    Oh, je t'en supplie  À l'infini  Retiens la nuit"
1,Le Ciel nous Fait Rêver [From Les Chevaliers du Ciel],2:23,"Le ciel nous fait rêver Et l'on oublie Dans les nuages Tous les soucis du monde  Le ciel nous fait rêver Mais sur la terre On a trouvé Une amitié profonde  Les copains Une fois sur deux Pour une fille Se bagarrent entre eux  Mais très vite Ils n'y pensent plus Et jour et nuit Chacun poursuit sa ronde  La, la, la, la, la  "
2,Les Larmes de Gloire,3:32,J'aurais traversé des déserts   Franchi le mur d'un océan   Dis-moi ce que j'aurais pu faire   Aller jusqu'au bout de la terre   Réécrit pour toi l'univers   Dis-moi ce que j'aurais pu faire     Ces larmes de gloire ont la couleur   De toutes les peurs   Ces larmes de peur ont une histoire   Faite des couleurs des jours sans gloire     Je ne voulais pas d'autre chose   Que le goût d'une nuit dans tes bras   Ne fais pas semblant d'oublier   Les combats que j'ai do livrer   Quand à la tête d'une armée   Vers tes maléfices je marchais     Ces larmes de gloire ont la couleur   De toutes les peurs   Ces larmes de peur ont une histoire   Faite des couleurs des jours sans gloire     Sais-tu qu'au-delà des terreurs   Nous aurions vaincu des sommets   Rempli de cristal de lumière   Et non pas ces jours de colère   Hachés déchirés pas la guerre   Dis-moi ce que j'aurais do faire     Ces larmes de gloire ont la couleur   De toutes les peurs   Ces larmes de peur ont une histoire   Faites de couleurs de jour d'espoir     C'est larmes ont la couleur   De toutes les peurs de notre histoire
3,L' Idole des Jeunes (Teenage Idol) [Slow], ,"Les gens m'appellent l'idole des jeunes  Il en est même qui m'envient  Mais ils ne savent pas dans la vie  Que parfois je m'ennuie  Je cherche celle qui serait mienne  Mais comment faire pour la trouver?  Le temps s'en va, le temps m'entraîne  Je ne fais que passer    Et dans la nuit je file   Tout seul de ville en ville  Je ne suis qu'une pierre qui roule toujours  J'ai bien la fortune et plus  Et mon nom partout dans la rue  Pourtant je cherche tout simplement l'amour    Plus d'une fille souvent me guettent  Quand s'éteignent les projecteurs  Soudain sur moi elles se jettent  Mais pas une dans mon cœur    Dans la nuit je file  Tout seul de ville en ville  Je ne suis qu'une pierre qui roule toujours  Il me faut rire et danser  Puis le spectacle terminé  S'en aller ailleurs au lever du jour    Les gens m'appellent l'idole des jeunes  Il en est même qui m'envient  Mais s'ils pouvaient savoir dans la vie  Combien tout seul je suis  Combien tout seul je suis"
4,La Faute au Twist, ,"Ce soir-là nous avions bu champagne et whisky Et je me souviens que nous étions un p'tit peu gris Mais si nos cœurs se sont enflammés D'un amour brûlant et spontané C'est la faute, c'est la faute au twist  Et tu n'as rien dit lorsque je t'ai tutoyée Sur un ton que j'ai parfois un peu familier Si tu n'as pas rougi ce soir-là Parce que ma main glissa sur ton bras C'est la faute, c'est la faute au twist  Du rythme excitant Ainsi va l'amour Et on a tout fait Pour plaire à l'amour  Ainsi bien qu'on dansait et riait sans raison Et puis j'ai pu profiter de cette occasion Pour te serrer, serrer bien plus fort Bien plus fort contre mon corps Ca va de soi C'est la faute, c'est la faute au twist  Et c'est ainsi que nous nous sommes aimés Si nous avons commis quelques petits péchés Si tu m'as cédé sans façon Souvent je me pose la question  Est-ce bien, bien la faute au twist? N'est-ce pas la faute à l'amour? N'est-ce pas la faute à tes yeux? N'est-ce pas la faute ton corps?  "
5,Retiens La Nuit (Blues) [From Les Parisiennes], ,"Retiens la nuit   Pour nous deux jusqu'à la fin du monde   Retiens la nuit   Pour nos cœurs, dans sa course vagabonde     Serre-moi fort   Contre ton corps   Il faut qu’à l’heure des folies   Le grand amour   Raye le jour   Et nous fasse oublier la vie     Retiens la nuit   Avec toi elle paraît si belle   Retiens la nuit   Mon amour qu’elle devienne éternelle     Pour le bonheur   De nos deux cœurs   Arrête le temps et les heures     Je t’en supplie   À l’infini   Retiens la nuit     Ne me demande pas d’où me vient ma tristesse   Ne me demande rien tu ne comprendrais pas   En découvrant l’amour je frôle la détresse   En croyant au bonheur la peur entre en mes joies     Retiens la nuit   Pour nous deux jusqu’à la fin du monde   Retiens la nuit   Pour nos cœurs, dans sa course vagabonde     Serre-moi fort   Contre ton corps   Il faut qu’à l’heure des folies   Le grand amour   Raye le jour   Et nous fasse oublier la vie     Retiens la nuit   Avec toi elle paraît si belle   Retiens la nuit   Mon amour qu’elle devienne éternelle     Pour le bonheur   De nos deux cœurs   Arrête le temps et les heures   Je t’en supplie   À l’infini   Retiens la nuit    Oh, je t'en supplie  À l'infini  Retiens la nuit"
6,Sam'di Soir, ,"Si la semaine est faite pour travailler   Sans relever la tête de son métier   On se fait une fête   La joie est là   La joie est là   A la pensée du sam'di soir     Qu'on attend plein d'espoir   Cœur battant sam'di soir   Que l'on veut pour pouvoir   Etre heureux sam'di soir   On peut s'aimer sans être dérangé   Le sam'di soir     Sam'di soir   Enlacés sans rien dire   Délivrés sam'di soir   Les enfants des coins noirs   Sont amants sam'di soir   Tout est permis     Le monde vit sa vie   Le sam'di soir     On discute et l'on fait du bruit   On s'enflamme, on s'amuse et rit   Et ça vit ça chahute et ça chauffe     Et l'on danse en scandant sa joie   Et l'on chante en claquant des doigts   Et ça crie, ça remue et ça chauffe     La joie dans nos yeux brille   On oublie tout   Et vivement qu'on s'habille   Et comme un fou   On va chercher sa fille et ses copains   Et ses copains au rendez-vous   Du sam'di soir     Qu'on attend plein d'espoir   Cour battant sam'di soir   Que l'on veut pour pouvoir   Etre heureux sam'di soir   On peut s'aimer sans être dérangé   Le sam'di soir     Sam'di soir   Enlacés sans rien dire   Délivrés sam'di soir   Les enfants des coins noirs   Sont amants sam'di soir   Tout est permis   Le monde vit sa vie   Le sam'di soir     On discute et l'on fait du bruit   On s'enflamme, on s'amuse et rit   Et ça vit ça chahute et ça chauffe     Et l'on danse en scandant sa joie   Et l'on chante en claquant des doigts   Et ça crie, ça remue et ça chauffe     Le sam'di soir   Ah, sam'di soir   Que faites-vous mademoiselle sam'di soir?   Ah, vous twistez?     Sam'di soir   Tout est permis   Le monde vit sa vie   Le sam'di soir"
7,Ya Ya Twist (Ya Ya), ,"Oh, well, I'm sittin' here, la, la  Waiting for my ya ya  Uh huh, uh huh  I'm sittin' here, la, la  Waiting for my ya ya  Uh huh, uh huh  It may sound funny  But I don't believe she's comin'  Uh huh, uh huh    Baby, honey, don't leave me worried  Uh huh, uh huh  Ye, baby, honey, don't leave me worried  Uh huh  You know that I love you  Oh, how I love you  Uh huh, uh huh    I'm sittin' here, la, la  Waiting for my ya ya  Uh huh, uh huh  I'm sittin' here, la, la  Waiting for my ya ya  Uh huh, uh huh  It may sound funny  But I don't believe she's comin'  Uh huh, uh huh    Baby, honey, don't leave me worried  Uh huh, uh huh  Ye, baby, honey, don't leave me worried  Uh huh  You know how I love you  Oh, how I love you  Uh huh, uh huh    I'm sittin' here, la, la  Waiting for my ya ya  Uh huh, uh huh  I'm sittin' here, la, la  Waiting for my ya ya  Uh huh, uh huh  It may sound funny  But I don't believe she's comin'  Uh huh, uh huh    Baby, honey, don't leave me worried  Uh huh  Ye, baby, honey, don't leave me worried  Uh huh, uh huh"
8,Jsuis Mordu, ,"Ça remue dans tout mon corps  J´ai l’ cœur qui bat très fort  Voyez l’ résultat  Wououh!  Ah ah hou yeah!  Ah ah hou yeah!    J´ suis mordu pour un p’tit oiseau bleu  Ça me travaille autant qu’ ça peut  Ça remue dans tout mon corps  J´ai l’ cœur qui bat très fort    Voyez le résultat  J´ai l´air d´un type fichu  Han han  J´ suis mordu, yeah!  Ah ah hou yeah!  Ah ah hou yeah!    Elle a l´air de n’ pas y toucher  Mais croyez-moi, faut s´en méfier  Sinon, vous ferez comme moi  Vous s’rez les bras en croix    Voyez le résultat  J´ai l´air d´un type fichu  Han han  J´ suis mordu, yeah!    Elle a des yeux étranges  Vous croyez voir un p´tit ange  Mais ne vous y fiez pas  Car elle a dans le fond des yeux  Un regard qui peut être monstrueux  J´ suis mordu pour un p’tit oiseau bleu  Tellement mordu que j´en deviens gâteux  Je ne dors plus de la nuit  Je suis tout rabougri  Et tout ça sans résultat, wouh!    Je suis fichu  Han han  J´ suis mordu, yeah!    Yeah, yeah!    Oh!  Elle a des yeux étranges  Vous croyez voir un p´tit ange  Mais ne vous y fiez pas  Car elle a dans le fond des yeux  Un regard qui peut être monstrueux  J´ suis mordu pour un p’tit oiseau bleu  Tellement mordu que j´en deviens gâteux  Je ne dors plus de la nuit  Je suis tout rabougri  Et tout ça sans résultat, wouh!    J’ suis fichu  Han han  J´ suis mordu, yeah!     J’ suis fichu  Han han  J´ suis mordu, yeah!     J’ suis fichu  Han han  J´ suis mordu, yeah!"
9,Quitte-Moi Doucement [Slow], ,"Oh, dis-moi, oh, puisque tu pars Dis-le moi tout doucement Fais-moi croire encore à l'amour Entre nous, entre nous Oui, juste pour un seul jour  Oh, dis-moi, oh, puisque tu pars Laisse-moi pleurer tout doucement Et parle-moi, même si tu mens Je te croirai comme avant  Nous avions tout, nous étions tout Le ciel c'était nous, vraiment Si tu reprends en moi l'amour Reprends-le doucement  Oh, dis-moi, dis-moi, très lentement Donne-moi de voir, hélas, que j'ai perdu Que j'apprenne ce qu'est la peine Car après toi, mon cœur, le sais-tu? Il n'aimera, non, jamais plus  "
