,song,time,lyrics
0,L' Esprit de Famille,2:31,"Mon frère était un assassin Qui travaillait avec la lame Et chaque soir après l' turbin Il faisait travailler sa femme Ma soeur écrivait de beaux vers Dans un journal hebdomadaire Et si son verbe était amer C'est qu'on avait tué l' libraire  C'est c' qu'on appelle en vérité Une famille respectable Et l'assassin fut invité A mettre les pieds sous la table  Mon père avait un bar-tabac Que fréquentaient de drôl's de têtes Ils vivaient tous dans l'aléa Et papa plaçait leur galette Ma soeur accordait au comptoir D'incommensurables chopines Bossant du matin jusqu'au soir Cherchant une rime à rapine  C'est c' qu'on appelle en vérité Une famille infatigable Le travail c'est la liberté C'est une chose formidable  Ma mère alors avait un tic C'était le complexe d'Oedipe Ce n'est peut-être pas très chic Mais j'avais déjà des principes Ma belle soeur je vous l'ai dit Avait un métier unanime Elle aimait beaucoup son mari Trouvant cela plus légitime  C'est c' qu'on appell' en vérité Une famille véritable Où l'instinct de propriété Se révelait inéluctable  Tonton tata soudain fauchés Fatigués de l'Europe flasque Devinrent tous deux attachés A une ambassade fantasque On chuchote sous le manteau Que tous les soirs à Buenos Aires Tonton tata dans leur huit-clos Font dire maints et maints rosaires  C'est c' qu'on appell' en vérité Une famille présentable Et si tonton fut arrêté Ça parait à peine croyable  D'autres frangins d'autres frangines Y'en avait qui faisaient partout Faut avouer que pour la ligne Ma mère en avait pris un coup Et malgré l'odeur d'ammoniac Le père aimait à se repaître Pour qu'on lui fout' le prix cognac Y'avait plus tell'ment de kilomètres  C'est c' qu'on appell' en vérité Une famille ou une fable Écrite sans moralité Il me manque une rime en "" able ""  Et si vous saviez combien cela est préférable..."
1,L' Ile Saint-Louis,3:09,L'île Saint-Louis en ayant marre D'être à côté de la Cité Un jour a rompu ses amarres Elle avait soif de liberté Avec ses joies avec ses peines Qui s'en allaient au fil de l'eau On la vit descendre la Seine Ell' se prenait pour un bateau Quand on est une île On reste tranquille Au coeur de la ville C'est ce que l'on dit Mais un jour arrive On quitte la rive En douce on s'esquive Pour voir du pays  De la mer Noire à la Mer Rouge Des îles blanches aux îles d'or Vers l'horizon où rien ne bouge Point n'a trouvé l'île au trésor Mais tout au bout de son voyage Dans un endroit peu fréquenté On lui raconta le naufrage L'île au trésor s'était noyée Quand on est une île On vogue tranquille Trop loin de la ville Malgré ce qu'on dit Mais un jour arrive Où l'âme en dérive On songe à la rive Du bon vieux Paris  L'île Saint-Louis a de la peine Du pôle Sud au pôle Nord L'océan ne vaut pas la Seine Le large ne vaut pas le port Si l'on a trop de vague à l'âme Mourir un peu n'est pas partir Quand on est île à Notre Dame On prend le temps de réfléchir Quand on est une île On reste tranquille Au coeur de la ville Moi je vous le dis Pour les îles sages Point de grands voyages Les livres d'images Se font à Paris Tra la la la la
2,Monsieur Tout Blanc,3:24,Monsieur Tout-Blanc Vous enseignez la charité Bien ordonnée Dans vos châteaux en Italie Monsieur Tout-Blanc La charité C'est très gentil Mais qu'est-ce que c'est ? Expliquez-moi  Pendant c' temps-là moi j' vis à Aubervilliers C'est un p'tit coin perdu au bout d' la misère Où l'on a pas tell'ment d' questions à s' poser Pour briffer faut bosser mon p'tit père  Monsieur Tout-Blanc L'oiseau blessé que chaque jour Vous consommez Était d'une race maudite Monsieur Tout-Blanc Entre nous dites Rappelez-vous Y'a pas longtemps Vous vous taisiez  Pendant c' temps-là  Moi j' vis à Aubervilliers Ca n'était pas l'époque à dir' des rosaires Y'avait des tas d' questions qu'il fallait s' poser Pour durer faut lutter mon p'tit père  Monsieur Tout-Blanc Si vous partez un beau matin Les pieds devant Pour vos châteaux en paradis Monsieur Tout-Blanc Le paradis C'est p'têt' joli Priez pour moi Moi j'ai pas l' temps  Car je vivrai toujours à Aubervilliers Avec deux bras noués autour d' ma misère On n'aura plus tell'ment d' questions à s' poser Dans la vie faut s'aimer mon p'tit père  Monsieur Tout-Blanc Si j'enseignais la charité Bien ordonnée Dans mes châteaux d'Aubervilliers Monsieur Tout-Blanc Ca n'est pas vous Qu' j'irai trouver Pour m'indiquer C' qu'il faut donner
3,Le Temps des Roses Rouges,2:39,Au temps des roses rouges   Mon cœur sera glacé   Car mon œil offensé   Taira les infortunes   Au temps des roses rouges   Je vendrai pour trois thunes   Le salaud d'à côté   Qui est un gars titré!     Et la roue tournera   Comme tourne la vie   Mon couteau s'en ira   Faire de la poésie     Au temps des roses rouges   Mon gant sera de fer   Sur une main de chair   Et ça leur fera drôle   Au temps des roses rouges   D'lâcher leur monopole  En gueulant de travers   D'inutiles Pater     Vivra bien qui vivra   Le temps de barbarie   Quand l'orgue ne jouera   Que par analogie     Au temps des roses rouges   Sur mon ami Pleyel   Je mettrai au pluriel   La complainte du crime   Au temps des roses rouges   Car ils paieront la dîme   Les seigneurs sans appel   Notés sur mon lebel     Mourra bien qui mourra   D'une vraie maladie   Car la roue finira   Plus d'une biographie     Au temps des roses rouges   Le Bon Dieu sera sourd   Et le moment si court   Pour prendre les enchères   Au temps des roses rouges   Misère pour misère   On éteindra le jour   De tous ces gens de cour     Rira bien qui rira   Comme à la comédie   L'acteur disparaîtra   Y aura toujours la vie
4,Cannes la Braguette,3:57,"Faut les voir croiser Tous ces parigots Qui comm' des croisés S'en vont boire un pot Faut les voir glander Pas loin du bowling Comm' dans un clandé A r'chercher du spleen Faut les voir croiser A Cann's la Braguette Avec leur côt'lettes Et leur p'tit jersey Faut les voir croiser Le long des galets De cett' mer bidon Qui a changé d' nom Cette mer quoi donc ? Merditerranée  Y'a des femm's fatal's Y'en a comm' le lait Qui tourn'nt et s' caval'nt Rien qu'à les r'garder Et tout ça s'affale A l'heur'des aveux Et tout ça s'emballe Pour un scotch ou deux Faut les voir languir A Cann's-la-Braguette, La ville où l' soupir Joue à la roulette Faut les voir médire Ou bien méditer A Cann's-la-conn'rie Chef-lieu d' la pensée Méditer comment ? Merditativ'ment.  Y'a des miyardair's Y'a des mi-mignons Qui font leurs affaires A Cann's-li-fourchons Et tout ça s'arrange Quand le soir est bleu D'un bonheur étrange Pour un' heure ou deux Faut les voir bronzer A Cann's-la Braguette, La ville où l' congé S' paie au centimètre Faut les voir souffrir Ou bien s' fair' d' la joie Dans la poêle à frire Du soleil Cannois Et ça frit comment ? Merveilleusement !"
5,Chanson Pour Elle,2:33,Si ton corps était de fine dentelle Je le broderais par les quatre bouts Et puis m'en ferais des nappes si belles Que nous mangerions l'amour à genoux  Si tes yeux étaient de vieilles étoiles De celles qu'on voit mais qui ne sont plus J'y regarderais derrière la toile De ce grand tableau de bleu suspendu  Si tes cheveux fous étaient la misaine Et que de ton coeur je fisse un bateau Tout en remontant le cours de la Seine Tu serais Paris et moi matelot  Si ton astre noir où je m'illumine Était le calice et si j'étais Dieu J'y boirais la Mort jusqu'à la racine Et puis m'en irais refaire les cieux  Si les soleils morts des plaines célestes Descendaient un jour dans ton corps éteint Il luirait encore à tes seins modestes Un peu de leur flamme un peu de ma faim  Un peu de leur flamme un peu de ma faim...
6,Les Femmes,3:17,Un' tass' à thé Un sucrier Deux jamb's croisées Les femm's les femm's Un sac à main Un trois quart daim Dix ronds d' Guerlain Les femm's les femm's Tout pour la peau Tout en croco De bas en haut Les femm's les femm's Cheveux défaits Le lit est fait Et toi t' es r'fait Les femm's les femm's (bis)  (refrain)  C'est des cabas Toujours en r'tard C'est des mat'las Sur le dollar Les femm's les femm's C'est des câlins à l'oeil vison C'est des chrétiens Qui bouffent du lion Les femm's les femm's C'est des carreaux devant l' malheur C'est des ciseaux Qui coup'nt à coeur Les femm's les femm's On dira tout C' que l'on voudra Pour en voir l' bout Faut d'ça faut d'ça  Deux bouts d' chiffon Plus la façon Un' collection Les femm's les femm's Un roug' baiser Pour effacer L'amant lassé Les femm's les femm's Tout pour la joie Tout vic' versa De haut en bas Les femm's les femm's Un tromp' quoi donc Pour fair' le pont En tout' saison Les femm's les femm's (bis)  (refrain) C'est des bas d' soie Sur l'illusion C'est du baba Sous du nylon Les femm's les femm's C'est des travers Qui vont tout droit C'est un envers Qui vaut l'endroit Les femm's les femm's C'est des râteaux Sur tes kopecks C'est des corbeaux Qui ferm'nt le bec Les femm's les femm's C'est dur à dire Et à chanter Faut s' les farcir Et la fermer.  Chez Carita On t' fera ça Pour bien moins qu'ça Les femm's les femm's Va au Lido C'est rigolo On t' fra un lot Les femm's les femm's J'ai lu dans Ell' Qu'on peut êtr' bell' Sans êtr' pucell' Les femm's les femm's Systèm' débrouill' Pas vu j' t'embrouill' Pourvu qu' ça douill' Les femm's les femm's (bis)  (refrain) C'est un trottoir Où va la vie Te dir' bonsoir Quand t' as des louis Les femm's les femm's C'est un pastis Qu'on boit jamais Quand c'est gratis Y faut t' méfier Les femm's les femm's C'est p'têt' des grues Mais t' es l'paquet Ou des sangsues Mais t'es becqu'té Les femm's les femm's C'est dur à dir' Et à chanter Faut s' les farcir Et les aimer.
7,La Gueuse,3:32,T' as ton fichu Qu' est tout fichu La gueuse Ton bonnet qu'est tout délavé Ton coeur qui bat pour le malheur C'est pas l' moment de t' faire un' fleur La gueuse C'est des soldats qui t'ont fait ça Pourtant ça sait pas fair' du charme Mêm' que plutôt ça f'rait des larmes Avec des mitrailleuses La gueuse  Y'a l' pèr' Danton Dans la région La gueuse Y s'est r'tourné Dans son panier A croir' qu' un' têt' dans un tas d' son Ça fait penser dans la nation La gueuse Pour des soldats t' as fait tout ça Moi qui croyais qu' t' étais en forme Et v'la qu' tu fais les uniformes Comme un' pal' travailleuse La gueuse  Dans tes beaux yeux Maint'nant il pleut La gueuse Y'a des clairons Dans les chansons A croir' que pour mieux l'égorger Un p'tit mouton ça doit chanter La gueuse Mais les soldats qui t'ont fait ça Finiront dans un livre au large Avec du soleil dans la marge Et puis toi en veilleuse La gueuse  Ah ça ira Tu connais ça La gueuse Même que Louis Y'était parti Sur cett' machine à fair' des ronds Un rond dans sa réputation La gueuse Si tu r'venais on s'arrang'rait Si tu r'venais pas on s' dérang'ra Comm' des marlous qui n'admett'nt pas Qu'on leur prenne leur gueuse Leur gueuse
8,Nous Deux,4:10,"Ils sont partis sans crier gar' Avec leurs môm's et leur guitar's Nos frères gitans de Saint-Ouen Ell's sont parties à tired'ail' Et sans retour les hirondell's Paris n'en avait plus besoin Flots de béton et de bêtis' Faut des drug-stor's et du strip-tease Des buildings et des souterrains Et de Boulogn' et de Vincenn's Et des "" quais fleuris "" de la Sein' Bientôt il ne restera rien Mais ce jour là ma tourterell' Ma fill' à moi ma toute bell' Ma frangin' d'amour ma maman Malgré les planch's et puis la terr' On s'blottira comm' on sait l' faire Nous deux... Malgré la terr' et puis les planch's On s' câlin'ra comm' le Dimanch' Quand on va pas au cinéma Nous deux... Et qu'après on s' retrouv' en rêv' Fascinés comm' Adam et Eve Mais tout fiers d'avoir trouvé ça Nous deux... Deux ! ...  Tu vois c'est écrit à la une On se disput' déjà la lune Enfants de demain innocents ! Un général sur les planètes Vous suivra d' loin à la lunette Et dira : "" C'est rouge de sang ! "" A tant jongler avec la bombe Un jour faudra bien qu'elle tombe C'est son but et c'est notre lot... Il faudra bien que ce jour vienne Adieu, Paris et adieu, Vienne Adieu Rome et Monte-Carlo... Mais ce jour-là ma tourterelle Ma fille à moi ma toute belle Ma frangin' d'amour ma maman... Que tout se glace ou que tout flambe Ça fait rien si l'on est ensemble Nous deux... Que tout flambe ou que tout se glace Nous aurons déjà notre place Dans la légende des amants Nous deux... Alors quand saut'ra la planète Si jamais sonnent les trompettes On s'en foutra divinement Nous deux...  Les gens vont me traiter d'artiste De sans coeur et si j'en suis triste Je n'en serai pas étonné... Car ce coeur pitoyable et tendre A toi seule qui sus le prendre Depuis longtemps je l'ai donné... Tout comme aujourd'hui je te donne Cette chanson de fin d'automne Qui se voulait chanson d'amour... Je ne suis ni saint ni apôtre Et pour penser encore aux autres Le temps qui me reste est trop court... En attendant ma tourterelle Ma fille à moi ma toute belle Ma frangin' d'amour ma maman Puisque nos âmes vagabondent  Embrassons-nous tout près des lames De l'océan des mauvais jours Nous deux... Et puis à nos amours fidèles Au coeur des neiges éternelles Allons nous perdre pour toujours Nous deux !..."
9,Nous Les Filles,4:00,Nous les souris les pin-up les encas Nous qu'on appell' les filles Qu'on soit d' la haut' Ou qu'on vienn' d'en bas On est d' la même famille  Ramèn' ton bras Sinon ton marle Y t'astiqu'ra Sinon ton Duc T'épous'ra pas Sinon ton... écoutez-moi  Fill's garez-vous des gigolos Y' sont là pour becqu'ter not' peau Et tous ces cav's qui font l' gros dos Qu'ils aill'nt tout seuls à leur dodo On a beau connaît' la musique Y'a pas moyen faut qu'on y r'pique Y'a d' quoi pleurer des larme's de bois Y'a d' quoi s' tirer quand on voit ça Eh ! Les frangin's que cherchez vous ? On cherch' un homm' en voyez vous ?  Nous les souris les pin-up les encas Nous qu'on appell' les filles Dam's d' la haut'et vous cell's d'en bas Vous êt's d' la même famille  Chang' donc d'emploi Sinon ton homme Y't' fra la loi Sinon ton mec Y's' foutra d' toi Sinon ton... écoutez-moi Fill's garez-vous v'la les maris Y'sont là pour becqu'ter not' vie Si y'a pas d' pèz y'a des berceaux 'y pas d' fringue y'a du tricot Pour le meilleur et pour le pire La prochain' fois faudra leur dire T' as plus qu'à pleurer t' as pas l' choix Tu veux d' l'amour eh bien en v'la Eh ! Les frangin's que fait's-vous là ? On cherch' un homm' on en voit pas  Nous les souris les pin-up les encas Nous qu'on appell' les filles Qu'on soit d' la haut' Ou qu'on vienn' d'en bas On est d' la même famille  Passe à tribord Sinon ton Jules Y't' fra du tort Sinon ton homme Y't' fra des r'mords Sinon ton... qu'est-ce qu' y'sont forts ! Fill's garez-vous v'la les corbeaux S'ils sont là c'est pas pour la peau Et vous les môm's qui n' savez pas Ça s'apprend pas en un' seul' fois Comme un Jésus sur son calvaire T' as beau gueuler y't' f'ront bien taire Faut pas pleurer pour ces conn'ries Quand on est fill' c'est pour la vie Eh ! Les frangin's où allez vous ? On va leur mettr' la cord'au cou ?  Nous les souris les pin-up les encas Nous qu'on appell' les filles Qu'on soit d' la haut' Ou qu'on vienn' d'en bas On est d' la même famille
