,song,time,lyrics
0,Travailler C'est Trop Durw/ Julien Clerc,3:37,"Travailler, c'est trop dur, et voler, c'est pas beau.  D'mander la charité, c'est quéqu'chose j'peux pas faire.  Chaque jour que moi j'vis, on m'demande de quoi j'vis.  J'dis que j'vis sur l'amour, et j'espère de viv' vieux!    Et je prends mon vieux ch'val, et j'attrape ma vieille selle  Et je selle mon vieux ch'val pour aller chercher ma belle.  Tu connais, c'est loin d'un grand bout d'là, de Saint-Antoine à Beaumont  Mais le long du grand Texas, j'l'ai cherchée bien longtemps.    Et je prends mon violon, et j'attrape mon archet,  Et je joue ma vieille valse pour faire le monde danser.  Vous connaissez, mes chers amis, la vie est bien trop courte  Pour se faire des soucis, alors, allons danser!    Travailler, c'est trop dur, et voler c'est pas beau.  D'mander la charité, c'est quéqu'chose j'peux pas faire.  Chaque jour que moi j'vis, on m'demande de quoi j'vis,  J'dis que j'vis sur l'amour, et j'espère de viv' vieux!"
1,L'Aquarium,4:16,"Énervé par la colère  Un beau soir, après la guerre  Je ai balancé ma télé par la fenêtre  Comme je suis un garçon primaire  Je me suis dit: ""un militaire  Avec un peu de bol  Se la mange en pleine tête""    Libérés, enfin, mes yeux  On regardé le scaphandrier de l'aquarium  Qui cherche un trésor planqué  Sous les cailloux bariolés  Pauvre bonhomme    Énervé par France Intox  Les FM, et les juke-box  J'ai balancé ma radio par la fenêtre  En priant pour qu'elle tombe pas  Sur la tronche do môme, en bas  Petit joueur d'accordéon à casquette    Libérées, mes deux oreilles  Ont écouté le poisson rouge de l'aquarium  Que était content d'être tout seul  Qui faisait juste un peu la gueule  Ou tout comme    Énervé par un Bon Dieu  Que je trouvais bien trop dangereux  J'ai balancé ma vieille Bible par la fenêtre  Comme je suis un garçon normal  Je me suis dit: ""un cardinal  Avec un peu de bol  Se la mange en pleine tête""    Libéré, enfin, mon âme  Est allée se nicher au fond de l'aquarium  Dans une eau limpide et claire  Loin des centrales nucléaires  Loin des hommes    Énervé par ces gauchos  Devenus des patrons bien gros  J'ai balancé mon journal par la fenêtre  Comme je suis un garçon réglo  J'ai visé le caniveau  Sur d'why retrouvé le rédacteur en chef    Libérée, enfin, ma tête  A rejoint le scaphandrier de l'aquarium  Qui cherche un trésor planqué  Sous les cailloux bariolés  Pauvre bonhomme    Je suis un peu le scaphandrier  De l'aquarium, sur la cheminée  Je suis un peu le poisson rouge  Et see'est chouette  Je cherche un trésor planqué  L'amour et la liberté  Sous les cailloux bariolés  De la planète    Libérez, enfin, ma terre  Des curés, des journaleux, des militaires  De tous les preneurs de tête  Qui provoquent, sous ma fenêtre  Ma colère"
2,Camarade Bourgeois,2:28,"Camarade bourgeois  Camarade fils-à-papa  La triumph en bas de chez toi  Le petit chèque en fin de mois  Regarde-toi ah ah ah  Regarde-toi ah ah ah    Camarade bourgeois  Camarade fils-à-papa  T'as vraiment pas l'air con  Quand tu sors le dimanche  Ton petit complet-veston  Et ta chemise blanche  Regarde-toi ah ah ah  Regarde-toi ah ah ah    Camarade bourgeois  Camarade fils-à-papa  Tu roules en ferrari  Ou en lamborghini  Tu roules des épaules  Tu te crois super-drôle  Regarde-toi ah ah ah  Regarde-toi ah ah ah    Camarade bourgeois  Camarade fils-à-papa  Je sais, ton père est patron  Faut pas en faire un complexe  Le jour de la révolution  On lui coupera que la tête  Regarde-toi ah ah ah  Regarde-toi ah ah ah    Camarade bourgeois  Camarade fils-à-papa  Tu passes ton temps au drugstore  Sur les champs-elysées  Tu te crois très très fort  T'es jamais qu'un minet  Regarde-toi ah ah ah  Regarde-toi ah ah ah    Camarade bourgeois  Camarade fils-à-papa  Rejoins les rangs de la pègre  Tu prendras vraiment ton pied  Ne sois plus une petite pédé  Nous sommes tous des défoncés  Regarde-moi ah ah ah  Regarde-moi ah ah ah  Regarde-moi ah ah ah  Regarde-moi ah ah ah"
3,La Coupole,1:47,"Andy Warhol, à la Coupole  Peint les gambettes de Mistinguett  Il les dessine très longilignes  Leurs donne la forme du cou d'un cygne    Lewis Carrol, à la Coupole  Parle de fillettes en salopettes  Il les devine vêtues de Jean's  Pleines de paillettes sur les paumettes    Elles me fascinent, toutes ces gamines  Avec leurs mines de Marylin  Sortant de l'école, vers la Coupole  Elles caracolent et elles racolent    Quand vient le soir, j'aime aller boire  Un verre d'alcool à la Coupole  Pour faire du gringue à toutes ces dingues  À toutes ces folles bien trop frivoles    Toutes les idoles, de la Coupole  Les midinettes, les gigolettes  Les carolines en crinolines  Ne sont en fait que des starlettes"
4,Ecoutez-Moi Les Gavroches,3:31,"Pour toutes les fleurs du béton  Pour tous les gamins de Paris  J'ai composé cette chanson  Pour éclairer leurs sombres nuits    Pour ceux qui vivent sur le bitume  Qui n'ont jamais vu le gazon  Qui ne connaissent que la brume  Qui n'ont qu'un ciel gris pour plafond    Allez, écoutez moi, les gavroches  Vous les enfants de ma ville  Non, Paris n'est pas si moche  Ne pensez plus à l'an deux mille    Ouvrez vos yeux pleins d'innocence  Sur un Paris qui vit encore  Et qui fera de votre enfance  Le plus merveilleux des décors    Voyez plus loin que l'horizon  Le temps n'a pas tout démoli  Les rues sont pleines de chansons  Les murs ne sont pas toujours gris    Allez, écoutez-moi, les gavroches  Vous les enfants de ma ville  Non, Paris n'est pas si moche  Ne pensez plus à l'an deux mille    Traînez vos vies dans les ruelles  Dans les vieux bistrots, dans les cours  Et sur les pavés éternels  Qui n'ont pas quitté les faubourgs    Allez respirer sur la Butte  Tous les parfums de la Commune  Souvenir de Paris qui lutte  Et qui pleure parfois sous la lune    Allez, écoutez-moi, les gavroches  Vous les enfants de ma ville  Non, Paris n'est vraiment pas si moche  Ne pensez plus à l'an deux mille"
5,Greta,2:04,Ich liebe dich Greta  Ich liebe ta gretich  Ich liebe dach gredi  Dis-moi pourquoi Greta  Dis-quoi pour ta gremoi  Dis-qua pour moi gro tas  Y'a un mur entre toi et moi    I love you Greta  I lobe ya gretou  I louve yo grata  Dis-moi pourquoi Greta  Dis-quoi pourta gremoi  Dis-ma pourqua gros tas  Y'a un mur entre toi et moi    Oh oui je t'aime Greta  Oh ouaime je t'a gretoui  Oh oua je t'oui gretaime  Dis-moi pourquoi Greta  Dis-quoi pourta gremoi  Dis-ma pourqua gros tas  Y'a un mur entre toi et moi    Dis-moi warum Greta  Dis-moi pourquoi Greta   Pourquoi qu't'habites à Berlin-Est   Pourquoi qu'j'habite à Berlin-Ouest
6,La Menthe a Ll'eau,2:44,"Quand la Marie que j'aimais  S'amenait en minaudant,  Dans mon nid, au mois de mai,  J'avais jamais mal aux dents.  De tout Marie émanait  Le beau, le doux, le mignon,  Mais dans ma menue monnaie  Y'avait pas le mot million.    Marie n'était pas mémère,  Elle aimait bien ma moumouth,  Mes mimiquées, ma marinière,  Et mes manières de mammouth.    Les amis de mon aimée  M'amusaient, mais allons-donc,  Les habits amidonnés,  Ils donnaient dans le bidon.    Mais Marie, ma muse, ma reine,  N'était pas des masses ma mie,  La muse ment et l'amant peine,  Si je puis m'exprimer ainsi.    C'est décidé, dès demain,  J'ai des idées détonantes,  Je vais demander la main  De Marie, si ça l'enchante.  Si j'aimais sa tombola,  Si jamais ça tombe à l'eau,  Mon amante deviendra,  Ben voyons, l'amante à l'eau."
7,Petite Fille des Sombres Rues,2:29,"Non, ne crois pas, fillette  Me retenir encore  Dans tes rues sans violettes  Dans ton triste décor  N'essaie pas de me suivre  Déserte mes rivages  Loin de toi, je veux vivre  De plus beaux paysages    Petite fille des sombres rues, éloigne-toi  Petite fille aux yeux perdus, tu m'oublieras    J'ai trop longtemps vécu  Dans de pauvres ruelles  Trop longtemps attendu  Un dernier arc-en-ciel  J'ai besoin de soleil  Et d'horizons moins gris  Je veux voir les merveilles  Que, près de toi, j'oublie    Petite fille des sombres rues, éloigne-toi  Petite fille aux yeux perdus, tu m'oublieras    Je ne suis pas de ceux  Que chasse la lumière  Et qui vivent heureux  Un éternel hiver  De l'amour je ne veux  Que les filles des rivières  Lorsque j'aime les yeux  J'aime aussi la chaumière    Petite fille des sombres rues, éloigne-toi  Petite fille aux yeux perdus, tu m'oublieras    Nos chemins se séparent  Entends, la vie m'appelle  Je quitte tes trottoirs  Et tes grises dentelles  Je pars pour des royaumes  Où l'on m'attend peut-être  Où le bonheur embaume  Et donne un air de fête    Petite fille des sombres rues, éloigne-toi  Petite fille aux yeux perdus, tu m'oublieras    Laisse-moi m'en aller  Je n'ai plus rien à dire  Mais si tu veux pleurer  N'essaie pas de sourire  Retourne dans ta nuit  Au fond de tes faubourgs  Retourne dans l'ennui  Qui habite tes jours    Petite fille des sombres rues, éloigne-toi  Petite fille aux yeux perdus, tu m'oublieras"
8,Rita (Chanson d'Amour),:39,"Rita, donne-moi ton cœur  Rita, donne-moi ta main  Rita, donne-moi ta sœur  Rita, nous partons demain"
9,Chtimi Rock,2:27,"Depuis qu'Eddy Mitchell est allé Nashville  Tous les rockers français ont carrément flippé  Ils ont pris leur guitare et ont quitté Belleville  Pour aller faire du rock là bas au U.S.A  Ils font du rock 'n' roll à Memphis, Tennessee  Avec des musicos qui assurent comme des bêtes  Ils vont à New Orléans ou à New York City  Pour trouver le meilleur feeling de la planète  Mais moi, pour m'éclater, pas besoin d'aller si loin  Je joue du rock 'n' roll à Lille, Roubaix, Tourcoing    Avec deux, trois copains aussi mauvais que moi  On assassine Mozart, Beethoven et Chuck Berry  Avec le gros Lulu et sa guitare en bois  On fait du rock 'n' roll qu'est carrément pourris  Dans les bouges de Lille et les bistrots de Tourcoing  Où la bière coule à flot sous des tonnes de frites  On fait danser le twist et le rock au copain  En jouant des vieux tubes de Johnny et d'Elvis  On a des blousons de cuir et des vieux mocassins  On fait du rock 'n' roll à Lille, Roubaix, Tourcoing    Un des ces quatre matins on deviendra des pop stars  A nous, les hits parade et puis à nous, Guy Lux  Même si on est mauvais on garde quand même l'espoir  De connaître la gloire, la fortune et le luxe  Mais on n'oublieras pas notre pays natal  Et on retournera dimanche et jour de fête  Jouer comme autrefois dans tous les festivals  Pour trouver le meilleur feeling de la planète  On laissera pas tomber tous nos anciens copains  On fera du rock 'n' roll à Lille, Roubaix, Tourcoing  On fera du rock 'n' roll à Lille, Roubaix, Tourcoing  On fera du rock 'n' roll à Lille, Roubaix, Tourcoing"
10,J'Ai la Vie Qui M'Pique Les Yeux,3:36,"J'ai la vie qui m'pique les yeux   J'ai mon p'tit cœur qu'est tout bleu   Dans ma tête j'crois bien qu'il pleut   Pas beaucoup, mais un p'tit peu     J'm'interesse plus à grand chose  Même pas fatigué, j' me r'pose  J'bois la vie à toute petite dose  J'vois plus la couleur des roses  Dans ma guitare, y'a plus rien  Plus une note, plus un refrain  Dans mes doigts, y'a rien qui tient  Dans ma peau, y'a qu'du chagrin    J'ai la vie qui m'pique les yeux  J'ai mon p'tit cœur qu'est tout bleu  Dans ma tête j'crois bien qu'il pleut  Pas beaucoup, mais un p'tit peu    Au bistrot du temps qui passe  J'bois un verre à la terrasse  J'me dis qu'à l'école de l'angoisse  J's'rai toujours l'premier d'la classe  Me raconter pas d'histoires:  La vie c'est une tonne de cafards  C'est toujours un fond d'tiroir  C'est toujours un train qui part    J'ai la vie qui m'pique les yeux  J'ai mon p'tit cœur qu'est tout bleu  Dans ma tête j' crois bien qu'il pleut  Pas beaucoup, mais un p'tit peu    J'voudrais vivre rien qu'en vacances  Que ce soit tous les jours bizance  Que ce soit tous les jours l'enfance  Dans un monde que d'innocence  Mais, j'vis au fond d'un abîme  Tout seul, avec ma p'tite frime  Et dans mon dictionnaire de rimes  Avec amour, y'a que déprime    J'ai la vie qui m'pique les yeux  J'ai mon p'tit cœur qu'est tout bleu  Dans ma tête j'crois bien qu'il pleut  Pas beaucoup, mais un p'tit peu    Alors l'soir avant que j'me couche  J'écoute chanter la pauv'e souche  Les mots qui sortent de sa bouche  Ca m'fait tout drôle, et ça m'touche  Et tout au fond d'sa détresse  Je découvre tellement de tendresse  Que même si j'tombe et que j'me blesse  J'dis bonne nuit à ma tristesse    J'ai la vie qui m' pique les yeux  J'ai mon p'tit cœur qu'est tout bleu  Dans ma tête j'crois bien qu'il pleut  Pas beaucoup, mais un p'tit peu    J'ai la vie qui m'pique les yeux  Heureusement, j'suis amoureux  D'une p'tite fille qui m'rend heureux  Pas beaucoup mais un p'tit peu"
11,Peau Aime [Live],3:57,"J'ai garé ma mobylette  Devant l'entrée des artistes  J'ai laissé la porte ouverte  Pour avoir un oeil sur elle.  Il faudrait pas qu'on profite  Que j' suis en train d' vendre ma cam'lote  Pour s' débiner sur ma chiotte.  J'ai beau mettre des antivols,  Ca fait la neuvième qu'on m' pique,  Ca fait la onzième que j' vole.    Quoi ?  Qui c'est qui dit qu' c'est pas vrai ?  Toi ?  Bah t'as raison mon pote.    J'ai jamais eu d' mobylette  Ou alors quand j'étais p'tit,  Et j' l'avais acheté avec les ronds d' mes économies.  Laisse béton, j' démystifie.    Non, maintenant j'ai une Harley,  Une grosse qu'a un grand guidon, une grande fourche, une grande roue  Un grand trou dans mon budget.  Ma bécane, c'est comme un ch'val.  Ca tombe bien, j' suis conçu pour :  Elle est faite pour épouser la forme de mes jambes arquées.  Sans blague, t'avais pas r'marqué ?  Avec elle, j' suis un cow-boy,  J' suis shérif dans mon quartier.  Porte d'Orléans, j' fais la loi.  Par ici on y croit pas.  Dans l' quartier, on m' traite de goye.  C'était pour rimer avec cow-boy.  Et tous les apaches de Paris  Qu'y m' voient passé sur ma bête,  Y s' fendent la gueule, c'est pas gentil.  Laisse béton, j' démystifie.    J'ai laissé mon perfecto  Derrière, dans la coulisse,  Accrochée au portemanteau  Et pis j'ai eu peur qu'i' glisse  Entre les doigts du tôlier que  Bien qu' ce soit un brave mec,  Qu' aimerai bien m' le chouraver.  Alors j' viens sur scène avec.    Là, j'ai un insigne SS,  L'initiale de ma gonzesse,  Que c'est même pas ma gonzesse,  C'est la femme à mon copain,  Que c'est même pas mon copain.  Parce que moi j'ai pas d' copains,  Pas d'amis, pas d' parents, pas d' relations.  Ma famille c'est la prison,  Mon copain, c'est mon blouson, c'est mon surin.    Quoi?  Qui c'est qui dit qu' c'est pas vrai?  Toi?  Bah t'as raison mon pote.    Des copains j'en ai des tonnes  Toutes les nuits dans tous les rades,  Tous les paumés, tous les ivrognes,  Tous les fous, tous les malades,  Qui devant un perroquet, une Kanter ou un p'tit joint  S' déballonnent dans un hoquet,  Et r'font l' monde à leur image.  Tous ces mecs c'est mes copains.  Touche pas à mon copain.  "" Sort dehors si t'es un homme ! ""  Moi, euh, dans ces cas là, j' sors pas.  Dans ma tête, j' suis pas un homme,  Dans ma tête, j'ai quatorze ans ;  Dans les muscles aussi d'ailleurs.  J' parlais des muscles des bras.  ""Eh, tu veux m' casser la tête ?  Bah qu'est-ce t'attends ? Vas-y ? ""  Laisse béton, j' démystifie.    Sur l' bras droit, j'ai un tatouage :  Y'a une fleur, y'a un oiseau, qui s'envolera plus jamais,  Pis y'a l' prénom d'une souris. Une souris qu'est tellement belle,  Qu'i' faudrait qu' j' m'appelle Verlaine pour trouver les mots pour la décrire un peu,  Mais j' vais essayer quand même.  Dans ces yeux, y'a tant d' soleil,  Que quand elle me regarde, je bronze.  Dans son sourire, y'a la mer,  Quand elle me parle, je plonge.  Quand j' serai grand, on s' mariera,  Pis on aura plein d'enfants,  Même que ce s'ra un garçon,  Même qu'i' s'appellera Pierrot.  ""Eh !Laisse moi fermer les yeux, Ouais, laisse moi rêver un peu.""  Sur l' bras gauche y' en a un autre  Un poulbot qui a une gueule d'ange  Et qui joue d' l'accordéon.  Pis en d' sous y'a mon prénom.  Euh, y'en a qu' ça dérange ?  Dans l' dos, j' voulais faire tatouer un aigle,  Aux ailes déployées,  On m'a dit "" Y'a pas la place.  Nan, t'es pas assez carré, alors t'auras un moineau. ""  Eh, y'a des moineaux rapaces.  Ca fait marrer mes conneries?  Laisse béton, j' démystifie.    Bon c'est l'heure, moi j'ai fini,  J' vous voie tout à l'heure au bar,  J' vais m' jeter un petit Ricard,  Et ça, c'est pas des conneries."
